settlement_m,R_kN,q_kPa,q_over_qVesic
0.0025,664.7122533344866,166.17806333362165,0.2606807327721359
0.005,1877.0382323309932,469.2595580827483,0.7361195756370927
0.007499999999999999,3657.6161959174115,914.4040489793529,1.4344102510040415
0.01,5973.86454289816,1493.46613572454,2.3427752064328895
0.0125,8841.840973117462,2210.4602432793654,3.4675118028358636
0.014999999999999998,12284.756761298431,3071.189190324608,4.817722824271846
0.0175,16309.347134099618,4077.3367835249046,6.396049629933375
0.02,20921.089039182254,5230.2722597955635,8.204640118738398
0.0225,26125.549210335546,6531.387302583887,10.245677401102045
0.025,31930.202207039063,7982.550551759766,12.522092780956967
0.0275,38311.88452376358,9577.971130940896,15.024802207927026
0.029999999999999995,45295.01788662667,11323.754471656668,17.763383169756658
0.0325,52865.43899596219,13216.359748990548,20.732281233957337
0.035,61037.579567902336,15259.394891975584,23.937156098116446
0.0375,69814.79126064612,17453.69781516153,27.379322184694136
0.04,79199.7950870563,19799.948771764077,31.059846595467743
0.042499999999999996,89195.99893161588,22298.99973290397,34.98006580320389
0.045,99803.58803283717,24950.897008209293,39.140052453037214
0.0475,111009.9996202736,27752.4999050684,43.53487979329548
