s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
1.25e-05,1.25e-05,63.2396731,15.8099183,0.0248007529,0.0125,74.1664336,0.00220731515
2.5e-05,2.5e-05,65.3545684,16.3386421,0.025630153,0.0125,76.9649479,0.00146475472
3.75e-05,3.75e-05,67.460673,16.8651683,0.0264561058,0.0125,80.1239038,0.00146055419
5e-05,5e-05,69.5585735,17.3896434,0.0272788411,0.0125,85.7312179,0.00146898991
6.25e-05,6.25e-05,71.6498802,17.91247,0.0280989905,0.025,89.6228566,0.00147734237
8.75e-05,8.75e-05,75.7899086,18.9474772,0.0297225887,0.025,93.1313846,0.00149761968
0.0001125,0.0001125,79.9045206,19.9761302,0.0313362194,0.025,97.9608347,0.00151574485
0.0001375,0.0001375,83.99339,20.9983475,0.0329397545,0.025,102.025467,0.001534014
0.0001625,0.0001625,88.0586625,22.0146656,0.0345340357,0.025,108.217022,0.00155379487
0.0001875,0.0001875,92.1033364,23.0258341,0.0361202387,0.05,113.016158,0.00157390108
0.0002125,0.0002125,96.125566,24.0313915,0.0376976396,0.025,148.760306,0.00159338343
0.0002375,0.0002375,100.124291,25.0310727,0.0392658227,0.025,153.711858,0.00161393896
0.0002625,0.0002625,104.104954,26.0262384,0.0408269225,0.025,157.75511,0.00163560499
0.0002875,0.0002875,108.066352,27.016588,0.0423804671,0.025,161.861128,0.00165867506
0.0003125,0.0003125,112.009834,28.0024585,0.0439269856,0.05,166.345087,0.00167742322
0.0003625,0.0003625,119.78942,29.9473551,0.0469779122,0.05,170.73332,0.0017219322
0.0004125,0.0004125,127.507796,31.8769491,0.0500048339,0.05,177.224046,0.00176406329
0.0004625,0.0004625,135.165843,33.7914607,0.0530080961,0.05,181.772484,0.00180704885
0.0005125,0.0005125,142.757174,35.6892934,0.0559851943,0.05,187.160863,0.00185465721
0.0005625,0.0005625,150.292347,37.5730867,0.0589402691,0.1,191.999879,0.00189815738
0.0006625,0.0006625,165.049958,41.2624896,0.0647277734,0.1,197.19608,0.00199269067
0.0007625,0.0007625,179.612639,44.9031596,0.0704388312,0.1,202.316197,0.0020815109
0.0008625,0.0008625,193.963458,48.4908645,0.0760668035,0.1,206.722552,0.00217556868
0.0009625,0.0009625,208.147506,52.0368766,0.081629373,0.1,213.022011,0.00226934666
0.0010125,0.0010125,215.221819,53.8054548,0.0844037119,0.05,249.063611,0.0023137722
