s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
1.25e-05,1.25e-05,62.2011088,15.5502772,0.0243934583,0.0125,76.1324773,0.00142215529
2.5e-05,2.5e-05,64.3991059,16.0997765,0.0252554486,0.0125,78.9986434,0.00146855255
3.75e-05,3.75e-05,66.5937545,16.6484386,0.0261161256,0.0125,82.0317652,0.0014821478
5e-05,5e-05,68.7857442,17.1964361,0.02697576,0.0125,85.1532228,0.00149321649
6.25e-05,6.25e-05,70.9755467,17.7438867,0.0278345366,0.025,88.7526875,0.00150333326
8.75e-05,8.75e-05,75.3211567,18.8302892,0.0295387579,0.025,94.4581871,0.00152374592
0.0001125,0.0001125,79.6327983,19.9081996,0.0312296578,0.025,98.3972871,0.00154113522
0.0001375,0.0001375,83.9185009,20.9796252,0.0329103852,0.025,102.341956,0.00156088368
0.0001625,0.0001625,88.1842554,22.0460639,0.0345832896,0.025,106.262016,0.00158109174
0.0001875,0.0001875,92.4352054,23.1088014,0.036250388,0.05,110.488147,0.00160248997
0.0002375,0.0002375,100.836448,25.2091121,0.0395451102,0.05,116.743231,0.00164734948
0.0002875,0.0002875,109.198992,27.299748,0.0428246554,0.05,122.209771,0.00169160345
0.0003375,0.0003375,117.528712,29.3821781,0.0460913286,0.05,126.081563,0.00173636232
0.0003875,0.0003875,125.818534,31.4546336,0.0493423547,0.05,130.115069,0.001781385
0.0004375,0.0004375,134.048496,33.512124,0.0525699053,0.1,135.631304,0.00182518427
0.0005375,0.0005375,150.171392,37.542848,0.0588928342,0.1,140.186739,0.00191831774
0.0006375,0.0006375,166.15222,41.538055,0.0651600482,0.1,144.095738,0.00201139341
0.0007375,0.0007375,182.008488,45.502122,0.0713784134,0.1,147.606524,0.00210621776
0.0008375,0.0008375,197.731596,49.4328989,0.0775445571,0.1,151.428979,0.0022024756
0.0009375,0.0009375,213.309797,53.3274492,0.0836538726,0.2,157.75036,0.00229891907
0.0011375,0.0011375,243.598771,60.8996926,0.0955323235,0.2,162.230247,0.00250171628
0.0012375,0.0012375,258.801992,64.7004979,0.101494583,0.1,199.040402,0.00259889665
0.0013375,0.0013375,273.890445,68.4726112,0.107411833,0.1,204.69071,0.00270145348
0.0014375,0.0014375,288.861954,72.2154885,0.113283222,0.1,210.671801,0.00280463046
0.0015375,0.0015375,303.699944,75.9249861,0.119102249,0.1,215.492426,0.00290801772
