s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
1.25e-05,1.25e-05,62.2010947,15.5502737,0.0243934528,0.0125,118.588947,0.00142215841
2.5e-05,2.5e-05,64.3991057,16.0997764,0.0252554485,0.0125,123.952814,0.0014685593
3.75e-05,3.75e-05,66.5937542,16.6484386,0.0261161255,0.0125,131.372941,0.00148214779
5e-05,5e-05,68.7857439,17.196436,0.0269757599,0.0125,137.450124,0.00149321649
6.25e-05,6.25e-05,70.9755465,17.7438866,0.0278345365,0.025,142.045515,0.00150333325
8.75e-05,8.75e-05,75.3211564,18.8302891,0.0295387578,0.025,146.887072,0.00152374591
0.0001125,0.0001125,79.6327979,19.9081995,0.0312296577,0.025,153.755033,0.00154113522
0.0001375,0.0001375,83.9185006,20.9796251,0.0329103851,0.025,159.890404,0.00156088367
0.0001625,0.0001625,88.1842551,22.0460638,0.0345832894,0.025,164.932174,0.00158109174
0.0001875,0.0001875,92.4352051,23.1088013,0.0362503879,0.05,171.162979,0.00160248997
