s_m,s_meas_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0002,160.230027,40.0575067,0.2,0,1.65318942
0.0004,0.0004,257.363324,64.340831,0.2,0,3.31169796
0.0006,0.0006,352.614588,88.1536469,0.2,0,6.18738151
0.0008,0.0008,445.563638,111.390909,0.2,0,8.05034757
0.001,0.001,536.19865,134.049662,0.2,0,10.0773392
0.0012,0.0012,624.484985,156.121246,0.4,0,13.3277009
0.0016,0.0016,796.669389,199.167347,0.4,0,18.2645199
0.002,0.002,962.946357,240.736589,0.4,0,26.9516616
0.0024,0.0024,1125.65886,281.414715,0.4,0,30.5064635
0.0028,0.0028,1283.27396,320.818489,0.4,0,39.8565803
0.0032,0.0032,1439.14059,359.785148,0.4,0,43.9827244
0.0036,0.0036,1586.83579,396.708947,0.5,0,98.8542922
0.0041,0.0041,1777.81976,444.45494,0.5,0,104.631608
0.0046,0.0046,1963.43309,490.858272,0.5,0,118.68345
0.0051,0.0051,2149.14466,537.286165,0.5,1,202.390894
0.00535,0.00535,2240.17232,560.043081,0.25,0,320.55954
0.0056,0.0056,2331.03274,582.758184,0.25,0,324.0119
0.00585,0.00585,2420.27815,605.069537,0.25,0,328.283859
0.0061,0.0061,2508.78832,627.19708,0.25,0,333.200753
0.00635,0.00635,2597.46657,649.366642,0.25,0,337.440379
0.0066,0.0066,2683.60715,670.901788,0.5,0,341.781559
0.00685,0.00685,2771.16849,692.792123,0.25,0,464.171348
0.0071,0.0071,2857.03404,714.258511,0.25,0,469.223579
0.00735,0.00735,2943.22287,735.805718,0.25,0,475.284035
0.0076,0.0076,3022.40961,755.602402,0.25,0,491.067326
0.00785,0.00785,3108.77819,777.194546,0.25,0,495.043795
0.0081,0.0081,3192.92593,798.231482,0.5,0,501.469286
0.00835,0.00835,3278.49313,819.623282,0.25,0,637.962999
0.0086,0.0086,3359.01946,839.754866,0.25,0,645.747985
0.00885,0.00885,3443.71845,860.929612,0.25,0,649.493539
0.0091,0.0091,3525.66312,881.415779,0.25,0,654.461232
0.00935,0.00935,3609.61673,902.404181,0.25,0,657.887135
0.0096,0.0096,3684.1803,921.045076,0.5,0,671.976027
0.00985,0.00985,3768.05135,942.012836,0.25,0,798.190147
0.0101,0.0101,3849.89515,962.473787,0.25,0,802.647514
0.01035,0.01035,3930.74776,982.686939,0.25,0,807.298421
0.0106,0.0106,4013.1466,1003.28665,0.25,0,810.462832
0.01085,0.01085,4089.29686,1022.32421,0.25,0,817.285409
0.0111,0.0111,4171.04073,1042.76018,0.5,0,821.167949
0.01135,0.01135,4249.6329,1062.40822,0.25,0,997.759425
0.0116,0.0116,4330.64481,1082.6612,0.25,0,1003.6383
0.01185,0.01185,4412.07398,1103.01849,0.25,1,1083.85639
0.011975,0.011975,4450.57942,1112.64486,0.125,0,1196.9607
0.0121,0.0121,4490.59488,1122.64872,0.125,0,1200.84164
0.012225,0.012225,4530.2205,1132.55512,0.125,0,1204.75744
0.01235,0.01235,4570.08129,1142.52032,0.125,0,1208.46121
0.012475,0.012475,4609.8413,1152.46033,0.125,0,1211.9646
0.0126,0.0126,4647.332,1161.833,0.25,0,1222.05886
0.01285,0.01285,4717.34191,1179.33548,0.25,1,1302.15674
0.0131,0.0131,4791.52627,1197.88157,0.25,0,1307.86294
0.01335,0.01335,4870.96862,1217.74215,0.25,0,1311.53815
0.0136,0.0136,4947.17467,1236.79367,0.25,0,1318.17063
0.01385,0.01385,5025.05141,1256.26285,0.25,0,1322.09034
0.0141,0.0141,5104.43104,1276.10776,0.5,1,1398.22956
0.014225,0.014225,5141.87868,1285.46967,0.125,0,1639.97178
0.01435,0.01435,5180.62079,1295.1552,0.125,0,1643.14357
0.014475,0.014475,5219.37562,1304.8439,0.125,0,1646.63419
0.0146,0.0146,5257.27362,1314.3184,0.125,0,1650.4041
0.014725,0.014725,5295.87511,1323.96878,0.125,0,1654.15534
0.01485,0.01485,5334.14541,1333.53635,0.25,0,1658.34825
0.0151,0.0151,5400.58984,1350.14746,0.25,1,1747.80308
0.01535,0.01535,5474.75033,1368.68758,0.25,1,1825.48971
0.0156,0.0156,5551.91686,1387.97921,0.25,1,1903.14039
0.015725,0.015725,5589.39709,1397.34927,0.125,0,2023.78345
0.01585,0.01585,5627.49986,1406.87497,0.125,0,2027.97563
0.015975,0.015975,5665.61441,1416.4036,0.125,0,2031.58982
0.0161,0.0161,5703.62219,1425.90555,0.125,0,2035.4574
0.016225,0.016225,5740.67955,1435.16989,0.125,0,2039.16334
0.01635,0.01635,5778.26572,1444.56643,0.25,0,2042.58149
0.016475,0.016475,5815.67929,1453.91982,0.125,0,2162.38393
0.0166,0.0166,5851.94886,1462.98721,0.125,0,2168.8505
0.016725,0.016725,5889.22618,1472.30654,0.125,0,2174.33049
0.01685,0.01685,5925.74138,1481.43535,0.125,0,2178.30854
0.016975,0.016975,5962.95309,1490.73827,0.125,0,2182.77201
0.0171,0.0171,5997.51735,1499.37934,0.25,0,2197.78585
0.017225,0.017225,6035.0095,1508.75237,0.125,0,2324.08196
0.01735,0.01735,6072.3356,1518.0839,0.125,0,2327.82476
0.017475,0.017475,6108.84253,1527.21063,0.125,0,2331.82537
0.0176,0.0176,6144.82262,1536.20565,0.125,0,2340.54717
0.017725,0.017725,6180.41569,1545.10392,0.125,0,2351.55143
0.01785,0.01785,6217.04261,1554.26065,0.25,0,2356.10987
0.017975,0.017975,6253.95692,1563.48923,0.125,0,2481.00359
0.0181,0.0181,6290.02622,1572.50655,0.125,0,2490.41623
0.018225,0.018225,6325.62915,1581.40729,0.125,0,2497.78923
0.01835,0.01835,6361.20381,1590.30095,0.125,0,2505.49323
0.018475,0.018475,6397.56852,1599.39213,0.125,0,2514.20123
0.0186,0.0186,6433.9901,1608.49753,0.25,0,2518.24718
0.018725,0.018725,6467.66966,1616.91742,0.125,0,2681.74807
0.01885,0.01885,6503.80238,1625.95059,0.125,0,2694.39496
0.018975,0.018975,6539.77444,1634.94361,0.125,0,2701.40807
0.0191,0.0191,6576.01976,1644.00494,0.125,0,2705.54155
0.019225,0.019225,6611.96633,1652.99158,0.125,0,2710.10357
0.01935,0.01935,6647.84984,1661.96246,0.25,0,2715.8809
0.019475,0.019475,6682.45425,1670.61356,0.125,0,2843.1879
0.0196,0.0196,6718.59282,1679.64821,0.125,0,2846.71936
0.019725,0.019725,6777.85256,1694.46314,0.125,1,2923.63696
0.0197875,0.0197875,6761.32444,1690.33111,0.0625,0,3047.09639
0.01985,0.01985,6779.63778,1694.90944,0.0625,0,3050.72265
0.0199125,0.0199125,6798.05377,1699.51344,0.0625,0,3054.12681
