s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0002,0.0002,160.230027,40.0575067,0.2,1.60013032
0.0004,0.0004,257.363324,64.340831,0.2,2.54429984
0.0006,0.0006,352.614588,88.1536469,0.2,3.89610028
0.0008,0.0008,445.563638,111.390909,0.2,5.09429049
0.001,0.001,536.19865,134.049662,0.2,7.12953091
0.0012,0.0012,624.484985,156.121246,0.4,8.5694952
0.0016,0.0016,796.669389,199.167347,0.4,12.0210702
0.002,0.002,962.946357,240.736589,0.4,21.1211293
0.0024,0.0024,1125.65886,281.414715,0.4,25.1316392
0.0028,0.0028,1283.27396,320.818489,0.4,30.6260412
0.0032,0.0032,1439.14059,359.785148,0.4,34.818603
0.0034,0.0034,1516.71312,379.178281,0.2,48.5722694
0.0036,0.0036,1593.87668,398.46917,0.2,50.7237315
0.0038,0.0038,1669.8866,417.47165,0.2,53.7641494
0.004,0.004,1745.25117,436.312792,0.2,57.3939457
0.0042,0.0042,1819.9199,454.979974,0.2,60.9794824
0.0044,0.0044,1894.65008,473.662519,0.4,66.0054183
0.0046,0.0046,1968.45438,492.113596,0.2,81.8604014
0.0048,0.0048,2042.60727,510.651817,0.2,84.2569044
0.005,0.005,2115.04422,528.761055,0.2,86.6882234
0.0052,0.0052,2186.80586,546.701465,0.2,91.6353579
0.0054,0.0054,2259.49613,564.874033,0.2,94.8827517
0.0056,0.0056,2329.92858,582.482146,0.4,100.924373
0.0058,0.0058,2401.91319,600.478297,0.2,115.290808
0.006,0.006,2471.13328,617.783319,0.2,118.516327
0.0062,0.0062,2541.97516,635.493789,0.2,122.472643
0.0064,0.0064,2612.03461,653.008653,0.2,125.97112
0.0065,0.0065,2647.36053,661.840133,0.1,142.086526
0.0066,0.0066,2682.86523,670.716308,0.1,146.359892
0.0067,0.0067,2717.99156,679.497891,0.1,150.544003
0.0068,0.0068,2752.48515,688.121288,0.1,158.106725
0.0069,0.0069,2787.89072,696.97268,0.1,163.539913
0.007,0.007,2821.78806,705.447015,0.2,171.092511
0.0072,0.0072,2887.50019,721.875049,0.2,180.383445
0.0074,0.0074,2955.34796,738.836991,0.2,186.671367
0.0076,0.0076,3024.42581,756.106453,0.2,191.642662
0.0078,0.0078,3089.40322,772.350804,0.2,202.392968
0.008,0.008,3157.93465,789.483663,0.2,208.071271
0.0082,0.0082,3224.9245,806.231125,0.4,214.405776
0.0084,0.0084,3293.12609,823.281523,0.2,241.301931
0.0086,0.0086,3355.42947,838.857366,0.2,262.404205
0.0088,0.0088,3422.88108,855.72027,0.2,267.88967
0.009,0.009,3489.31256,872.32814,0.2,273.178433
0.0092,0.0092,3556.24843,889.062107,0.2,281.066128
0.0094,0.0094,3620.1379,905.034475,0.4,287.518476
0.0096,0.0096,3687.0485,921.762124,0.2,317.041139
0.0097,0.0097,3720.21135,930.052837,0.1,347.110429
0.0098,0.0098,3753.38251,938.345629,0.1,351.798565
0.0099,0.0099,3786.53135,946.632838,0.1,356.567642
0.01,0.01,3819.60797,954.901994,0.1,361.025178
0.0101,0.0101,3852.42308,963.10577,0.1,366.023919
0.0102,0.0102,3885.02605,971.256512,0.2,370.753794
0.0104,0.0104,3945.15654,986.289136,0.2,381.994932
0.0106,0.0106,4009.31955,1002.32989,0.2,387.757902
0.0108,0.0108,4074.87918,1018.71979,0.2,392.96866
0.011,0.011,4135.88041,1033.9701,0.2,402.213114
0.0112,0.0112,4201.01485,1050.25371,0.2,407.269702
0.0114,0.0114,4264.30188,1066.07547,0.4,413.592212
0.0116,0.0116,4328.40403,1082.10101,0.2,448.910895
0.0118,0.0118,4389.36707,1097.34177,0.2,459.934221
0.012,0.012,4453.58351,1113.39588,0.2,465.316242
0.0122,0.0122,4515.31941,1128.82985,0.2,480.208877
0.0124,0.0124,4578.83186,1144.70796,0.2,488.121199
0.0125,0.0125,4611.07706,1152.76926,0.1,519.601193
0.0126,0.0126,4642.49637,1160.62409,0.1,524.207526
0.0127,0.0127,4674.21634,1168.55409,0.1,529.645464
0.0128,0.0128,4705.87225,1176.46806,0.1,534.349198
