s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0002,0.0002,159.265337,39.8163342,0.2,0.776477575
0.0004,0.0004,254.155963,63.5389908,0.2,1.66227722
0.0006,0.0006,339.188429,84.7971072,0.2,2.51892543
0.0008,0.0008,415.816819,103.954205,0.2,3.66454005
0.001,0.001,485.917262,121.479315,0.2,6.27597857
0.0012,0.0012,549.887035,137.471759,0.4,8.76163411
0.0016,0.0016,663.992932,165.998233,0.4,11.7080119
0.002,0.002,767.738433,191.934608,0.4,15.4769957
0.0022,0.0022,816.800977,204.200244,0.2,32.089165
0.0024,0.0024,864.546686,216.136672,0.2,34.1559532
0.0026,0.0026,910.283213,227.570803,0.2,35.7119884
0.0028,0.0028,953.8621,238.465525,0.2,38.3291981
0.003,0.003,996.569551,249.142388,0.2,42.3073623
0.0032,0.0032,1037.89113,259.472782,0.4,45.4529376
0.0034,0.0034,1078.28262,269.570655,0.2,60.8955166
0.0036,0.0036,1117.49425,279.373563,0.2,65.0274625
0.0037,0.0037,1136.75399,284.188496,0.1,82.6572077
0.0038,0.0038,1156.29522,289.073805,0.1,84.9889264
0.0039,0.0039,1175.03429,293.758572,0.1,86.7119384
0.004,0.004,1193.57176,298.392939,0.1,88.6394889
0.0041,0.0041,1211.87924,302.96981,0.1,90.0722146
0.0042,0.0042,1229.99077,307.497693,0.2,92.1144764
0.0043,0.0043,1247.03908,311.75977,0.1,108.415149
0.0044,0.0044,1264.70786,316.176966,0.1,111.129977
0.0045,0.0045,1283.22899,320.807247,0.1,113.270652
0.0046,0.0046,1300.49851,325.124629,0.1,115.114942
0.0047,0.0047,1316.52685,329.131713,0.1,116.443686
0.0048,0.0048,1333.40928,333.35232,0.2,120.49772
0.0049,0.0049,1349.97351,337.493379,0.1,132.51774
0.005,0.005,1366.50341,341.625853,0.1,134.015469
0.0051,0.0051,1382.80603,345.701506,0.1,136.798152
0.0052,0.0052,1398.97494,349.743734,0.1,139.867583
0.0053,0.0053,1414.89077,353.722692,0.1,142.540531
0.0054,0.0054,1430.79373,357.698433,0.2,147.015724
0.0055,0.0055,1446.34696,361.586741,0.1,182.92383
0.0056,0.0056,1461.55306,365.388264,0.1,188.391203
0.0057,0.0057,1476.6339,369.158475,0.1,194.952179
0.00575,0.00575,1485.58801,371.397003,0.05,221.193239
0.0058,0.0058,1492.35512,373.088781,0.05,224.627525
0.00585,0.00585,1499.89265,374.973162,0.05,227.79766
0.0059,0.0059,1507.25938,376.814846,0.05,231.400413
0.00595,0.00595,1514.6925,378.673125,0.05,235.162045
0.006,0.006,1522.06032,380.515081,0.1,238.110007
0.0061,0.0061,1537.19902,384.299754,0.1,242.571821
0.0062,0.0062,1550.21973,387.554932,0.1,249.306179
0.00625,0.00625,1559.15768,389.78942,0.05,276.220438
0.0063,0.0063,1565.60997,391.402493,0.05,279.179325
0.00635,0.00635,1572.89951,393.224877,0.05,282.350518
0.0064,0.0064,1579.89643,394.974108,0.05,287.440103
0.00645,0.00645,1587.08016,396.770041,0.05,289.271995
0.0065,0.0065,1594.1141,398.528525,0.1,291.141305
0.0066,0.0066,1608.74959,402.187398,0.1,294.164472
0.00665,0.00665,1614.58434,403.646084,0.05,319.462115
0.0067,0.0067,1621.59146,405.397866,0.05,325.448074
0.00675,0.00675,1629.16904,407.292261,0.05,329.872353
0.0068,0.0068,1635.98588,408.99647,0.05,333.806544
0.00685,0.00685,1642.97422,410.743554,0.05,337.662717
0.0069,0.0069,1649.83522,412.458806,0.1,341.68398
0.007,0.007,1664.16839,416.042098,0.1,345.787543
0.00705,0.00705,1669.7202,417.43005,0.05,369.213071
0.0071,0.0071,1676.55445,419.138613,0.05,374.361175
0.00715,0.00715,1683.98727,420.996817,0.05,377.966473
0.0072,0.0072,1690.46767,422.616918,0.05,380.465008
0.00725,0.00725,1697.41509,424.353773,0.05,382.869527
0.0073,0.0073,1703.85985,425.964962,0.1,386.510014
0.0074,0.0074,1717.85714,429.464285,0.1,389.728133
0.00745,0.00745,1723.09706,430.774264,0.05,413.958672
0.0075,0.0075,1729.67738,432.419346,0.05,418.629282
0.00755,0.00755,1736.83904,434.209761,0.05,422.105888
0.0076,0.0076,1743.13132,435.782831,0.05,426.008335
0.00765,0.00765,1749.75942,437.439854,0.05,429.855981
0.0077,0.0077,1756.01059,439.002647,0.1,434.438443
0.0078,0.0078,1769.60998,442.402494,0.1,438.884594
0.00785,0.00785,1774.54996,443.637491,0.05,466.176045
0.0079,0.0079,1780.91866,445.229665,0.05,470.99335
0.00795,0.00795,1787.87301,446.968253,0.05,474.098642
0.008,0.008,1793.93366,448.483415,0.05,477.75087
0.00805,0.00805,1800.47069,450.117672,0.05,482.12788
0.0081,0.0081,1806.54195,451.635489,0.1,486.86154
0.00815,0.00815,1814.22897,453.557244,0.05,516.873065
0.0082,0.0082,1818.81781,454.704454,0.05,520.93751
0.00825,0.00825,1824.41567,456.103918,0.05,526.084103
0.0083,0.0083,1830.48709,457.621772,0.05,530.666395
0.00835,0.00835,1837.30405,459.326013,0.05,533.64879
0.0084,0.0084,1843.10364,460.775909,0.1,537.171516
0.00845,0.00845,1850.94646,462.736615,0.05,561.953181
0.0085,0.0085,1855.20924,463.80231,0.05,565.178101
0.00855,0.00855,1860.63452,465.15863,0.05,570.769897
0.0086,0.0086,1866.54872,466.63718,0.05,575.974569
0.00865,0.00865,1873.259,468.31475,0.05,579.115068
0.0087,0.0087,1878.87816,469.719541,0.1,582.880998
0.00875,0.00875,1886.59557,471.648893,0.05,608.596161
0.0088,0.0088,1890.73017,472.682541,0.05,611.355759
0.00885,0.00885,1896.06279,474.015697,0.05,616.504301
0.0089,0.0089,1903.59868,475.89967,0.05,620.657681
0.00895,0.00895,1908.18627,477.046567,0.05,624.493402
0.009,0.009,1914.81854,478.704634,0.1,628.14263
0.00905,0.00905,1919.26359,479.815896,0.05,658.070957
0.0091,0.0091,1925.04495,481.261238,0.05,663.953498
0.00915,0.00915,1931.52509,482.881272,0.05,667.821341
0.0092,0.0092,1936.99489,484.248721,0.05,672.654056
0.00925,0.00925,1942.97774,485.744436,0.05,677.17641
0.0093,0.0093,1948.51416,487.128541,0.1,680.521709
0.00935,0.00935,1953.63302,488.408256,0.05,707.792997
0.0094,0.0094,1961.01215,490.253039,0.05,711.131747
0.00945,0.00945,1965.45178,491.362944,0.05,714.524729
0.0095,0.0095,1971.85142,492.962856,0.05,719.189432
0.00955,0.00955,1976.75531,494.188827,0.05,721.606719
0.0096,0.0096,1982.86613,495.716533,0.1,724.492113
0.00965,0.00965,1987.47957,496.869891,0.05,751.469009
0.0097,0.0097,1993.06613,498.266532,0.05,756.634815
0.00975,0.00975,1999.39618,499.849044,0.05,760.693144
0.0098,0.0098,2004.6782,501.169551,0.05,764.245447
0.00985,0.00985,2010.47686,502.619216,0.05,767.113693
0.0099,0.0099,2015.80274,503.950685,0.1,770.186233
0.01,0.01,2026.11034,506.527584,0.1,779.636753
0.01005,0.01005,2033.63135,508.407837,0.05,806.137565
0.0101,0.0101,2037.23945,509.309862,0.05,809.658931
0.01015,0.01015,2043.36717,510.841793,0.05,813.180494
0.0102,0.0102,2047.87848,511.96962,0.05,816.713941
0.01025,0.01025,2053.64849,513.412122,0.05,820.182837
0.0103,0.0103,2058.26014,514.565036,0.1,823.434721
0.0104,0.0104,2067.83007,516.957518,0.1,830.399062
0.01045,0.01045,2075.52613,518.881532,0.05,858.269436
0.0105,0.0105,2078.83926,519.709816,0.05,862.957342
0.01055,0.01055,2084.44054,521.110136,0.05,866.462255
0.0106,0.0106,2088.39693,522.099232,0.05,871.918251
0.01065,0.01065,2093.54501,523.386252,0.05,876.437934
0.0107,0.0107,2099.33543,524.833857,0.1,879.999184
0.0108,0.0108,2108.30735,527.076837,0.1,886.448549
0.01085,0.01085,2115.91565,528.978912,0.05,914.540416
0.0109,0.0109,2118.98489,529.746223,0.05,919.6587
0.01095,0.01095,2124.30056,531.07514,0.05,924.425618
0.011,0.011,2128.19518,532.048794,0.05,930.498294
0.01105,0.01105,2133.184,533.296,0.05,935.973057
0.0111,0.0111,2138.83582,534.708956,0.1,940.18343
0.0112,0.0112,2147.5133,536.878326,0.1,947.061169
0.01125,0.01125,2154.99124,538.74781,0.05,976.352681
0.0113,0.0113,2157.26043,539.315107,0.05,982.446719
0.01135,0.01135,2162.19993,540.549982,0.05,987.954978
0.0114,0.0114,2167.75225,541.938064,0.05,992.327391
0.01145,0.01145,2172.35891,543.089728,0.05,995.451669
0.0115,0.0115,2176.45802,544.114505,0.1,1001.36762
0.0116,0.0116,2185.94357,546.485893,0.1,1007.52817
0.0117,0.0117,2195.36329,548.840823,0.1,1013.73012
0.0118,0.0118,2204.63122,551.157804,0.1,1020.47335
0.0119,0.0119,2213.94447,553.486116,0.1,1029.0711
0.012,0.012,2223.02052,555.755131,0.1,1035.9751
0.0121,0.0121,2232.12207,558.030519,0.2,1041.82854
0.0122,0.0122,2240.94366,560.235916,0.1,1072.54865
0.0123,0.0123,2249.94588,562.48647,0.1,1078.76597
0.0124,0.0124,2258.69334,564.673334,0.1,1085.19477
0.0125,0.0125,2267.53789,566.884473,0.1,1091.48956
0.0126,0.0126,2276.18009,569.045023,0.1,1097.75051
0.0127,0.0127,2284.93036,571.232589,0.2,1103.56061
0.0129,0.0129,2301.56179,575.390448,0.2,1111.69878
0.013,0.013,2310.15052,577.53763,0.1,1137.58258
0.0131,0.0131,2318.6736,579.6684,0.1,1143.05781
0.0132,0.0132,2326.86988,581.717469,0.1,1148.59676
0.0133,0.0133,2335.18425,583.796062,0.1,1155.02235
0.0134,0.0134,2343.24746,585.811866,0.1,1160.33673
0.0135,0.0135,2351.44717,587.861792,0.2,1165.83818
0.0137,0.0137,2367.42666,591.856665,0.2,1172.62988
0.0138,0.0138,2375.34122,593.835305,0.1,1201.66796
0.0139,0.0139,2383.78927,595.947317,0.1,1206.02704
0.014,0.014,2391.04219,597.760547,0.1,1211.57424
0.0141,0.0141,2399.04638,599.761596,0.1,1216.70728
0.0142,0.0142,2407.28135,601.820338,0.1,1220.59252
0.0143,0.0143,2414.33455,603.583638,0.2,1224.70398
0.0145,0.0145,2429.74423,607.436058,0.2,1230.78327
0.0146,0.0146,2437.25803,609.314509,0.1,1254.88329
0.0147,0.0147,2445.34225,611.335564,0.1,1259.3113
0.0148,0.0148,2452.59658,613.149146,0.1,1265.0602
0.0149,0.0149,2459.83026,614.957565,0.1,1271.64413
0.015,0.015,2467.7856,616.9464,0.1,1277.34645
0.0151,0.0151,2474.78398,618.695994,0.2,1282.55414
0.0153,0.0153,2489.19424,622.298561,0.2,1289.16897
0.0154,0.0154,2496.39188,624.09797,0.1,1317.99297
0.0155,0.0155,2504.05555,626.013887,0.1,1322.48267
0.0156,0.0156,2510.93962,627.734906,0.1,1326.8703
0.0157,0.0157,2518.35319,629.588297,0.1,1332.74255
0.0158,0.0158,2525.05634,631.264085,0.1,1337.96293
0.0159,0.0159,2532.43515,633.108789,0.2,1343.66687
0.0161,0.0161,2545.51694,636.379235,0.2,1349.92309
0.0162,0.0162,2552.65967,638.164918,0.1,1376.3459
0.0163,0.0163,2559.55611,639.889028,0.1,1381.17545
0.0164,0.0164,2566.42797,641.606993,0.1,1385.92713
0.0165,0.0165,2573.03759,643.259397,0.1,1390.93207
0.0166,0.0166,2579.70229,644.925574,0.1,1396.83347
0.0167,0.0167,2586.28543,646.571357,0.2,1401.47626
0.0169,0.0169,2598.86743,649.716857,0.2,1407.41082
0.017,0.017,2605.63433,651.408582,0.1,1434.73562
0.0171,0.0171,2612.12322,653.030806,0.1,1439.4816
0.0172,0.0172,2618.84782,654.711954,0.1,1445.2067
0.0173,0.0173,2624.9691,656.242274,0.1,1450.86436
0.0174,0.0174,2631.55151,657.887879,0.1,1455.32373
0.0175,0.0175,2637.63636,659.409091,0.2,1459.89698
0.0177,0.0177,2649.78235,662.445586,0.2,1465.9478
0.0178,0.0178,2656.22255,664.055636,0.1,1483.13082
0.0179,0.0179,2662.36002,665.590005,0.1,1485.97527
0.018,0.018,2668.94523,667.236308,0.1,1490.01849
0.0181,0.0181,2674.56126,668.640316,0.1,1493.7439
0.0182,0.0182,2681.07664,670.269159,0.1,1497.30019
0.0183,0.0183,2686.65618,671.664045,0.2,1501.76258
0.0185,0.0185,2698.52291,674.630726,0.2,1506.14511
0.0186,0.0186,2704.4823,676.120575,0.1,1527.30544
0.0187,0.0187,2710.37334,677.593334,0.1,1531.93538
0.0188,0.0188,2716.67777,679.169442,0.1,1535.85047
0.0189,0.0189,2721.9937,680.498425,0.1,1539.84833
0.019,0.019,2728.24516,682.06129,0.1,1544.38533
0.0191,0.0191,2733.52082,683.380205,0.2,1548.66017
0.0193,0.0193,2744.82776,686.206941,0.2,1553.97258
0.0194,0.0194,2750.57575,687.643937,0.1,1577.71153
0.0195,0.0195,2756.18742,689.046855,0.1,1582.78047
0.0196,0.0196,2762.27292,690.56823,0.1,1588.53405
0.0197,0.0197,2767.31744,691.829361,0.1,1593.11596
0.0198,0.0198,2773.33537,693.333842,0.1,1597.59118
0.0199,0.0199,2778.35048,694.587621,0.2,1602.42876
0.0201,0.0201,2789.00606,697.251515,0.2,1608.11862
0.0202,0.0202,2794.8246,698.706151,0.1,1635.18482
0.0203,0.0203,2800.03201,700.008002,0.1,1643.32532
0.0204,0.0204,2805.93829,701.484573,0.1,1650.68966
0.0205,0.0205,2810.72712,702.681781,0.1,1657.28265
0.0206,0.0206,2816.4607,704.115174,0.1,1662.72698
0.0207,0.0207,2821.2874,705.321851,0.2,1667.71256
0.0209,0.0209,2831.41666,707.854166,0.2,1672.77385
0.021,0.021,2837.10954,709.277385,0.1,1695.18778
0.0211,0.0211,2841.9401,710.485026,0.1,1699.84537
0.0212,0.0212,2847.64822,711.912054,0.1,1704.56515
0.0213,0.0213,2852.17818,713.044545,0.1,1709.42419
0.0214,0.0214,2857.62072,714.40518,0.1,1716.59169
0.0215,0.0215,2862.31135,715.577839,0.2,1722.27521
0.0217,0.0217,2872.0037,718.000925,0.2,1727.52232
0.0218,0.0218,2877.5002,719.375051,0.1,1750.55926
0.0219,0.0219,2882.11698,720.529244,0.1,1755.45511
0.022,0.022,2887.6496,721.9124,0.1,1760.05788
0.0221,0.0221,2891.94833,722.987083,0.1,1764.26777
0.0222,0.0222,2897.19955,724.299887,0.1,1769.56564
0.0223,0.0223,2901.67095,725.417738,0.2,1774.54776
0.0225,0.0225,2910.98218,727.745545,0.2,1779.71177
0.0226,0.0226,2916.30054,729.075134,0.1,1801.99792
0.0227,0.0227,2920.7338,730.183451,0.1,1806.75687
0.0228,0.0228,2926.09785,731.524462,0.1,1811.98163
0.0229,0.0229,2930.23196,732.557989,0.1,1816.24762
0.023,0.023,2935.28353,733.820884,0.1,1821.75873
0.0231,0.0231,2939.55822,734.889556,0.2,1827.0827
0.0233,0.0233,2948.48252,737.12063,0.2,1834.0496
0.0235,0.0235,2958.71707,739.679268,0.2,1840.9159
0.0236,0.0236,2962.5974,740.649351,0.1,1866.24578
0.0237,0.0237,2966.98901,741.747252,0.1,1870.99199
0.0238,0.0238,2971.85455,742.963638,0.1,1876.40962
0.0239,0.0239,2975.8972,743.9743,0.1,1880.73403
0.024,0.024,2980.73713,745.184283,0.1,1885.45488
0.0241,0.0241,2984.76072,746.19018,0.2,1890.07236
