s_m,s_meas_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0002,164.590203,41.1475508,0.2,0,2.0321548
0.0004,0.0004,263.523794,65.8809485,0.2,0,3.85925388
0.0006,0.0006,356.517288,89.129322,0.2,0,5.75457144
0.0008,0.0008,440.889584,110.222396,0.2,0,7.379354
0.001,0.001,516.563714,129.140929,0.2,0,9.75693822
0.0012,0.0012,585.448521,146.36213,0.4,0,12.3511155
0.0016,0.0016,712.834945,178.208736,0.4,0,15.0966396
0.002,0.002,829.098016,207.274504,0.4,0,19.0017257
0.0024,0.0024,937.475624,234.368906,0.4,0,26.0363867
0.0028,0.0028,1049.39982,262.349954,0.4,1,109.220285
0.0032,0.0032,1143.78835,285.947086,0.4,1,204.689814
0.0036,0.0036,1245.84907,311.462266,0.5,1,292.681963
0.0041,0.0041,1354.47325,338.618311,0.5,1,377.156275
0.0046,0.0046,1464.80973,366.202434,0.5,1,457.093459
0.0051,0.0051,1570.35525,392.588813,0.5,1,546.246218
0.0056,0.0056,1671.84993,417.962483,0.5,1,633.242773
0.0061,0.0061,1770.06285,442.515713,0.5,1,724.111086
