s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0002,0.0002,160.50767,40.1269176,0.2,2.81943989
0.0004,0.0004,255.760686,63.9401716,0.2,4.5251863
0.0006,0.0006,345.944909,86.4862272,0.2,6.07960773
0.0008,0.0008,426.021332,106.505333,0.2,7.27968812
0.001,0.001,499.998758,124.99969,0.2,9.63040161
0.0012,0.0012,568.121483,142.030371,0.4,11.0405915
0.0016,0.0016,688.464769,172.116192,0.4,14.0621226
0.002,0.002,795.774531,198.943633,0.4,16.6488459
0.0024,0.0024,895.534935,223.883734,0.4,20.9323123
0.0028,0.0028,988.418023,247.104506,0.4,31.1206934
0.003,0.003,1032.85276,258.213189,0.2,65.1617773
0.0032,0.0032,1076.06861,269.017152,0.2,69.957844
0.0034,0.0034,1117.89586,279.473966,0.2,75.1659946
0.0036,0.0036,1158.59553,289.648882,0.2,82.3806601
0.0038,0.0038,1198.1955,299.548875,0.2,88.2772124
0.004,0.004,1236.8522,309.213051,0.4,94.2815518
0.0042,0.0042,1274.9075,318.726876,0.2,121.185678
0.0044,0.0044,1311.74328,327.935819,0.2,129.463879
0.0045,0.0045,1329.86496,332.46624,0.1,155.705529
0.0046,0.0046,1348.48253,337.120634,0.1,161.005387
0.0047,0.0047,1366.25771,341.564428,0.1,162.883354
0.0048,0.0048,1383.93694,345.984235,0.1,165.25077
0.0049,0.0049,1401.43408,350.358519,0.1,167.882795
0.005,0.005,1418.77581,354.693953,0.2,170.950386
0.0051,0.0051,1435.00695,358.751739,0.1,200.206103
0.0052,0.0052,1451.94495,362.986236,0.1,206.287765
0.0053,0.0053,1469.519,367.37975,0.1,210.287844
0.0054,0.0054,1485.95305,371.488264,0.1,214.470228
0.0055,0.0055,1501.34192,375.335481,0.1,221.08502
0.0056,0.0056,1517.58095,379.395239,0.2,225.591681
0.0057,0.0057,1533.5011,383.375275,0.1,250.892055
0.0058,0.0058,1549.43635,387.359087,0.1,254.990389
0.0059,0.0059,1565.1222,391.280551,0.1,259.655365
0.006,0.006,1580.72362,395.180904,0.1,264.869186
0.0061,0.0061,1596.18022,399.045055,0.1,270.064665
0.0062,0.0062,1611.28325,402.820813,0.2,274.92342
0.0063,0.0063,1626.12965,406.532413,0.1,299.665173
0.0064,0.0064,1641.11746,410.279365,0.1,306.588621
0.0065,0.0065,1655.74618,413.936544,0.1,313.612242
0.0066,0.0066,1670.27197,417.567993,0.1,321.383284
0.0067,0.0067,1684.8564,421.2141,0.1,327.077151
0.0068,0.0068,1699.30592,424.826481,0.2,331.701398
0.0069,0.0069,1713.52751,428.381878,0.1,358.787288
0.007,0.007,1727.58221,431.895552,0.1,366.610925
0.00705,0.00705,1735.84479,433.961198,0.05,396.512342
0.0071,0.0071,1742.27194,435.567985,0.05,399.366499
0.00715,0.00715,1749.39849,437.349622,0.05,402.240793
0.0072,0.0072,1756.295,439.073751,0.05,405.370884
0.00725,0.00725,1763.29207,440.823017,0.05,408.440768
0.0073,0.0073,1770.21842,442.554605,0.1,411.553624
0.0074,0.0074,1784.56009,446.140022,0.1,414.551286
0.0075,0.0075,1797.08259,449.270648,0.1,422.52441
0.00755,0.00755,1805.23853,451.309634,0.05,447.349562
0.0076,0.0076,1811.39863,452.849658,0.05,451.713524
0.00765,0.00765,1818.34574,454.586435,0.05,455.229564
0.0077,0.0077,1824.98526,456.246315,0.05,459.212116
0.00775,0.00775,1831.79196,457.947991,0.05,462.959371
0.0078,0.0078,1838.49373,459.623433,0.1,466.632069
0.0079,0.0079,1852.47018,463.117545,0.1,470.689033
0.008,0.008,1864.47915,466.119788,0.1,477.656102
0.00805,0.00805,1872.46003,468.115008,0.05,504.605129
0.0081,0.0081,1878.33644,469.584111,0.05,510.665336
0.00815,0.00815,1885.01315,471.253287,0.05,514.577095
0.0082,0.0082,1891.35448,472.83862,0.05,519.363387
0.00825,0.00825,1897.8915,474.472875,0.05,523.49987
0.0083,0.0083,1904.30097,476.075243,0.1,527.692832
0.0084,0.0084,1917.74519,479.436298,0.1,531.950317
0.0085,0.0085,1929.10406,482.276014,0.1,540.488166
0.00855,0.00855,1936.99357,484.248392,0.05,568.241393
0.0086,0.0086,1942.25858,485.564646,0.05,573.171577
0.00865,0.00865,1948.94694,487.236734,0.05,577.437577
0.0087,0.0087,1954.82969,488.707422,0.05,581.346843
0.00875,0.00875,1961.20847,490.302118,0.05,584.556612
0.0088,0.0088,1967.31132,491.827831,0.1,587.614933
0.0089,0.0089,1980.47975,495.119937,0.1,592.563058
0.009,0.009,1991.45953,497.864883,0.1,597.954703
0.00905,0.00905,1999.1192,499.779799,0.05,622.759622
0.0091,0.0091,2004.17112,501.042781,0.05,626.858498
0.00915,0.00915,2010.54547,502.636369,0.05,629.693784
0.0092,0.0092,2016.21155,504.052888,0.05,633.611311
0.00925,0.00925,2022.32955,505.582388,0.05,636.793568
0.0093,0.0093,2028.20388,507.050969,0.1,640.303596
0.0094,0.0094,2039.44819,509.862048,0.1,644.971667
0.00945,0.00945,2047.00891,511.752227,0.05,670.915766
0.0095,0.0095,2051.81097,512.952743,0.05,675.300679
0.00955,0.00955,2058.08315,514.520788,0.05,678.675518
0.0096,0.0096,2063.61202,515.903004,0.05,682.405402
0.00965,0.00965,2069.55839,517.389597,0.05,686.31982
0.0097,0.0097,2075.30462,518.826156,0.1,690.676761
0.0098,0.0098,2086.22928,521.557321,0.1,696.95257
0.00985,0.00985,2093.71009,523.427523,0.05,723.56141
0.0099,0.0099,2098.29327,524.573317,0.05,727.364387
0.00995,0.00995,2104.39413,526.098532,0.05,730.979306
0.01,0.01,2109.8043,527.451074,0.05,735.332458
0.01005,0.01005,2115.61365,528.903412,0.05,739.029597
0.0101,0.0101,2121.23551,530.308876,0.1,743.730037
0.0102,0.0102,2131.84933,532.962334,0.1,748.423305
0.01025,0.01025,2139.28856,534.82214,0.05,772.665745
0.0103,0.0103,2143.70219,535.925547,0.05,775.760185
0.01035,0.01035,2149.68331,537.420828,0.05,779.689892
0.0104,0.0104,2154.96757,538.741893,0.05,783.858837
0.01045,0.01045,2160.63705,540.159263,0.05,788.590009
0.0105,0.0105,2166.1326,541.53315,0.1,793.790638
0.0106,0.0106,2176.54676,544.136689,0.1,801.196817
0.01065,0.01065,2183.89821,545.974552,0.05,829.046474
0.0107,0.0107,2188.16811,547.042026,0.05,833.500522
0.01075,0.01075,2194.00258,548.500644,0.05,838.128381
0.0108,0.0108,2199.2333,549.808324,0.05,842.829461
0.01085,0.01085,2204.77314,551.193284,0.05,847.422599
0.0109,0.0109,2210.17447,552.543617,0.1,852.406359
0.011,0.011,2220.38243,555.095608,0.1,860.362128
0.01105,0.01105,2227.63852,556.909629,0.05,889.299635
0.0111,0.0111,2231.54412,557.886031,0.05,893.193682
0.01115,0.01115,2237.13244,559.283109,0.05,897.662688
0.0112,0.0112,2242.17056,560.54264,0.05,903.076627
0.01125,0.01125,2247.47725,561.869312,0.05,906.899396
0.0113,0.0113,2252.65357,563.163393,0.1,911.299868
0.0114,0.0114,2262.35982,565.589954,0.1,918.623582
0.01145,0.01145,2269.65158,567.412895,0.05,948.781622
0.0115,0.0115,2273.11288,568.27822,0.05,952.871489
0.01155,0.01155,2278.37234,569.593086,0.05,956.404059
0.0116,0.0116,2283.25126,570.812815,0.05,960.372049
0.01165,0.01165,2288.31152,572.07788,0.05,964.93681
0.0117,0.0117,2293.31987,573.329967,0.1,969.113151
0.0118,0.0118,2302.6372,575.6593,0.1,976.06446
0.01185,0.01185,2309.80749,577.451872,0.05,1001.65134
0.0119,0.0119,2313.16227,578.290568,0.05,1006.26723
0.01195,0.01195,2318.18821,579.547053,0.05,1009.77061
0.012,0.012,2323.04785,580.761963,0.05,1013.8181
0.01205,0.01205,2327.92823,581.982057,0.05,1017.47058
0.0121,0.0121,2332.79331,583.198328,0.1,1020.86732
0.0122,0.0122,2342.00511,585.501277,0.1,1026.30183
0.01225,0.01225,2349.10362,587.275905,0.05,1052.05511
0.0123,0.0123,2351.50822,587.877056,0.05,1057.41484
0.01235,0.01235,2358.51714,589.629286,0.05,1061.64456
0.0124,0.0124,2361.70542,590.426355,0.05,1066.89348
0.01245,0.01245,2365.8623,591.465574,0.05,1072.36286
0.0125,0.0125,2372.12767,593.031917,0.1,1076.27399
0.0126,0.0126,2379.97277,594.993192,0.1,1082.44731
0.01265,0.01265,2387.07283,596.768207,0.05,1103.69899
0.0127,0.0127,2389.43957,597.359894,0.05,1108.24287
0.01275,0.01275,2396.11635,599.029088,0.05,1111.52275
0.0128,0.0128,2399.47101,599.867753,0.05,1115.02989
0.01285,0.01285,2403.48813,600.872032,0.05,1118.97728
0.0129,0.0129,2409.52359,602.380898,0.1,1122.02827
0.013,0.013,2417.47691,604.369229,0.1,1127.79384
0.0131,0.0131,2426.39203,606.598008,0.1,1133.06159
0.0132,0.0132,2435.47922,608.869804,0.1,1139.55438
0.0133,0.0133,2444.55232,611.13808,0.1,1146.3186
0.0134,0.0134,2453.34673,613.336683,0.1,1152.39734
0.0135,0.0135,2462.21702,615.554255,0.2,1158.77218
0.0137,0.0137,2479.25591,619.813978,0.2,1165.19039
0.0138,0.0138,2488.05843,622.014609,0.1,1193.59109
0.0139,0.0139,2496.70281,624.175703,0.1,1198.764
0.014,0.014,2505.22983,626.307456,0.1,1203.76154
0.0141,0.0141,2513.71059,628.427647,0.1,1209.33763
0.0142,0.0142,2522.15805,630.539513,0.1,1215.85474
0.0143,0.0143,2530.48121,632.620302,0.2,1221.56239
0.0145,0.0145,2546.97982,636.744954,0.2,1227.214
0.0146,0.0146,2555.07756,638.76939,0.1,1253.84177
0.0147,0.0147,2563.69963,640.924908,0.1,1258.83854
0.0148,0.0148,2571.59006,642.897516,0.1,1263.34455
0.0149,0.0149,2579.42073,644.855184,0.1,1269.17738
0.015,0.015,2587.83396,646.95849,0.1,1274.91856
0.0151,0.0151,2595.40461,648.851151,0.2,1279.88575
0.0153,0.0153,2610.8654,652.716351,0.2,1286.02991
0.0154,0.0154,2618.59189,654.647971,0.1,1313.67884
0.0155,0.0155,2626.7458,656.686451,0.1,1318.8751
0.0156,0.0156,2634.20843,658.552107,0.1,1324.26277
0.0157,0.0157,2642.1159,660.528976,0.1,1329.18912
0.0158,0.0158,2649.41787,662.354468,0.1,1334.50869
0.0159,0.0159,2657.28931,664.322327,0.2,1340.62928
0.0161,0.0161,2671.66045,667.915111,0.2,1344.1875
0.0162,0.0162,2679.28831,669.822078,0.1,1361.28441
0.0163,0.0163,2686.93895,671.734739,0.1,1365.02516
0.0164,0.0164,2694.18003,673.545006,0.1,1368.70906
0.0165,0.0165,2701.75049,675.437624,0.1,1373.00394
0.0166,0.0166,2708.71905,677.179762,0.1,1377.27254
0.0167,0.0167,2716.26318,679.065796,0.2,1381.44924
0.0169,0.0169,2730.01856,682.504641,0.2,1386.21075
0.017,0.017,2737.33606,684.334015,0.1,1406.82116
0.0171,0.0171,2744.46639,686.116598,0.1,1410.66156
0.0172,0.0172,2751.84856,687.962141,0.1,1414.37488
0.0173,0.0173,2758.48995,689.622488,0.1,1418.98466
0.0174,0.0174,2765.78482,691.446205,0.1,1423.05147
0.0175,0.0175,2772.36966,693.092416,0.2,1427.84286
