s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0002,0.0002,147.073615,36.7684036,0.2,1.32530046
0.0004,0.0004,218.239076,54.5597691,0.2,3.34232879
0.0006,0.0006,281.846188,70.4615471,0.2,5.3823626
0.0008,0.0008,340.492916,85.123229,0.2,7.97752094
0.001,0.001,394.201612,98.5504031,0.2,11.7361801
0.0012,0.0012,444.257327,111.064332,0.4,17.4977834
0.0013,0.0013,468.514437,117.128609,0.1,73.3846042
0.0014,0.0014,492.058758,123.01469,0.1,77.4142654
0.0015,0.0015,514.809114,128.702278,0.1,81.126265
0.0016,0.0016,536.932757,134.233189,0.1,85.349014
0.0017,0.0017,558.350338,139.587585,0.1,89.4637527
0.0018,0.0018,578.585532,144.646383,0.2,95.4969146
0.0019,0.0019,598.707336,149.676834,0.1,124.904984
0.002,0.002,619.197237,154.799309,0.1,129.602098
0.0021,0.0021,637.901526,159.475381,0.1,135.215869
0.0022,0.0022,657.627157,164.406789,0.1,139.452685
0.00225,0.00225,667.24438,166.811095,0.05,162.153461
0.0023,0.0023,675.99034,168.997585,0.05,165.652807
0.00235,0.00235,684.864393,171.216098,0.05,168.927076
0.0024,0.0024,693.91597,173.478993,0.05,172.63232
0.00245,0.00245,702.81589,175.703972,0.05,175.535832
0.0025,0.0025,711.658589,177.914647,0.1,179.283041
0.00255,0.00255,718.266696,179.566674,0.05,212.558313
0.0026,0.0026,726.87845,181.719612,0.05,216.747899
0.00265,0.00265,735.729376,183.932344,0.05,219.557812
0.0027,0.0027,744.062388,186.015597,0.05,223.016478
0.00275,0.00275,751.765876,187.941469,0.05,228.386244
0.0028,0.0028,759.8735,189.968375,0.1,232.401479
0.00285,0.00285,767.911216,191.977804,0.05,257.72178
0.0029,0.0029,776.149395,194.037349,0.05,260.771485
0.00295,0.00295,783.956083,195.989021,0.05,264.9998
0.003,0.003,791.360712,197.840178,0.05,269.695563
0.00305,0.00305,799.233716,199.808429,0.05,273.313721
0.0031,0.0031,806.915747,201.728937,0.1,276.274684
0.00315,0.00315,813.827599,203.4569,0.05,304.753806
0.003175,0.003175,818.950333,204.737583,0.025,331.844136
0.0032,0.0032,821.619103,205.404776,0.025,334.931995
0.003225,0.003225,825.416402,206.3541,0.025,337.478244
0.00325,0.00325,828.997041,207.24926,0.025,340.313024
0.003275,0.003275,832.395542,208.098886,0.025,343.918449
0.0033,0.0033,836.254788,209.063697,0.05,347.963022
0.003325,0.003325,839.509066,209.877267,0.025,382.064255
0.00335,0.00335,843.201251,210.800313,0.025,386.790267
0.003375,0.003375,847.256565,211.814141,0.025,390.382821
0.0033875,0.0033875,849.823846,212.455962,0.0125,413.0151
0.0034,0.0034,850.437101,212.609275,0.0125,416.67079
0.0034125,0.0034125,853.300487,213.325122,0.0125,420.119165
0.003425,0.003425,853.477065,213.369266,0.0125,426.95137
0.0034375,0.0034375,856.801951,214.200488,0.0125,428.874634
0.00345,0.00345,857.175566,214.293891,0.025,432.179786
0.0034625,0.0034625,859.972289,214.993072,0.0125,455.471536
0.003475,0.003475,860.700621,215.175155,0.0125,458.73434
0.0034875,0.0034875,863.558511,215.889628,0.0125,461.165035
0.0035,0.0035,864.086588,216.021647,0.0125,467.882382
0.0035125,0.0035125,867.225284,216.806321,0.0125,470.411897
0.003525,0.003525,866.904965,216.726241,0.025,477.631846
0.00355,0.00355,870.429345,217.607336,0.025,481.599314
0.003575,0.003575,873.826856,218.456714,0.025,485.986685
0.0035875,0.0035875,876.621457,219.155364,0.0125,515.508269
0.0036,0.0036,877.269779,219.317445,0.0125,519.293881
0.0036125,0.0036125,880.081918,220.020479,0.0125,522.268366
0.003625,0.003625,880.626972,220.156743,0.0125,525.85489
0.0036375,0.0036375,883.451107,220.862777,0.0125,529.580917
0.00365,0.00365,882.287775,220.571944,0.025,550.24132
0.003675,0.003675,886.079,221.51975,0.025,553.219044
0.0037,0.0037,889.348875,222.337219,0.025,556.06073
0.003725,0.003725,892.684722,223.17118,0.025,559.41694
0.00375,0.00375,895.983645,223.995911,0.025,563.083968
0.003775,0.003775,899.403128,224.850782,0.025,567.038387
0.0037875,0.0037875,902.06804,225.51701,0.0125,594.317414
0.0038,0.0038,902.469765,225.617441,0.0125,597.637209
0.0038125,0.0038125,905.245242,226.31131,0.0125,600.326799
0.003825,0.003825,905.520229,226.380057,0.0125,621.046713
0.0038375,0.0038375,908.157295,227.039324,0.0125,622.869281
0.00384375,0.00384375,909.909766,227.477441,0.00625,645.776219
0.00385,0.00385,908.44792,227.11198,0.00625,649.29241
0.00385625,0.00385625,910.09104,227.52276,0.00625,651.517146
0.0038625,0.0038625,911.398212,227.849553,0.00625,653.385872
0.00386875,0.00386875,912.175379,228.043845,0.00625,656.226006
0.003875,0.003875,912.981908,228.245477,0.0125,659.612009
0.00388125,0.00388125,914.764872,228.691218,0.00625,686.046603
