s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0002,0.0002,134.839239,33.7098097,0.2,3.50536823
0.0004,0.0004,185.19322,46.2983051,0.2,7.265095
0.0006,0.0006,227.80868,56.95217,0.2,10.4914217
0.0008,0.0008,265.143771,66.2859428,0.2,14.0035951
0.001,0.001,298.715016,74.678754,0.2,18.4212325
0.0012,0.0012,329.055347,82.2638366,0.4,22.1012802
0.0016,0.0016,381.699188,95.424797,0.4,27.012913
0.0017,0.0017,393.433819,98.3584548,0.1,77.3427062
0.0018,0.0018,404.783211,101.195803,0.1,81.2064543
0.0019,0.0019,415.816489,103.954122,0.1,84.7734175
0.002,0.002,426.387991,106.596998,0.1,88.2894726
0.0021,0.0021,436.528803,109.132201,0.1,91.73154
0.0022,0.0022,446.281024,111.570256,0.2,96.0046546
0.0024,0.0024,464.386024,116.096506,0.2,99.99558
0.0025,0.0025,473.369584,118.342396,0.1,129.65788
0.0026,0.0026,481.141636,120.285409,0.1,134.053466
0.0027,0.0027,489.041636,122.260409,0.1,139.014971
0.0028,0.0028,496.632273,124.158068,0.1,142.400041
0.0029,0.0029,503.951667,125.987917,0.1,147.282331
0.003,0.003,510.999572,127.749893,0.2,150.951954
0.0031,0.0031,517.922939,129.480735,0.1,181.102768
0.0032,0.0032,524.407607,131.101902,0.1,187.937822
0.0033,0.0033,530.664011,132.666003,0.1,195.022163
0.0034,0.0034,536.690527,134.172632,0.1,200.756711
0.0035,0.0035,542.50145,135.625363,0.1,207.371895
0.0036,0.0036,548.10545,137.026363,0.2,213.223499
0.0037,0.0037,553.565408,138.391352,0.1,244.521762
0.0038,0.0038,558.732465,139.683116,0.1,251.096037
0.0039,0.0039,563.770716,140.942679,0.1,256.41358
0.004,0.004,568.63478,142.158695,0.1,263.042826
0.0041,0.0041,573.337598,143.334399,0.1,269.433433
0.0042,0.0042,577.88507,144.471267,0.2,274.088449
0.0043,0.0043,582.383647,145.595912,0.1,303.785652
0.0044,0.0044,586.542585,146.635646,0.1,309.960489
0.0045,0.0045,590.678329,147.669582,0.1,314.701304
0.0046,0.0046,594.66643,148.666607,0.1,319.193876
0.0047,0.0047,598.538705,149.634676,0.1,323.908978
0.0048,0.0048,602.289243,150.572311,0.2,330.370839
0.0049,0.0049,606.041947,151.510487,0.1,357.354655
0.005,0.005,609.444246,152.361061,0.1,362.21687
0.0051,0.0051,612.902343,153.225586,0.1,367.207773
0.0052,0.0052,616.195606,154.048902,0.1,372.393566
0.0053,0.0053,619.42756,154.85689,0.1,377.005925
0.0054,0.0054,622.545851,155.636463,0.2,382.706908
0.0055,0.0055,625.661045,156.415261,0.1,405.612327
0.0056,0.0056,628.502036,157.125509,0.1,410.293054
0.0057,0.0057,631.406458,157.851615,0.1,415.051205
0.0058,0.0058,634.152762,158.53819,0.1,421.050043
0.0059,0.0059,636.864134,159.216033,0.1,427.356675
0.006,0.006,639.473297,159.868324,0.2,432.536728
0.0061,0.0061,642.06803,160.517008,0.1,460.561573
0.0062,0.0062,644.485661,161.121415,0.1,466.862099
