s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7281294,15.7281294,0.2,0,0.245117188
0.0004,18.9562589,18.9562589,0.2,0,0.557293177
0.0006,22.1843883,22.1843883,0.2,0,0.934845448
0.0008,25.4125177,25.4125177,0.2,0,1.6358285
0.001,28.6406471,28.6406471,0.2,0,2.29336905
0.0012,31.8687766,31.8687766,0.4,0,2.62413239
0.0016,38.3250354,38.3250354,0.4,0,2.93887615
0.002,44.7812943,44.7812943,0.4,0,3.22436237
0.0024,51.2375532,51.2375532,0.4,0,3.70571876
0.0028,57.693812,57.693812,0.4,0,4.01896572
0.0032,64.1500709,64.1500709,0.4,0,4.28391719
0.0036,70.6063297,70.6063297,0.8,0,4.61227465
0.0044,83.5450248,83.5450248,0.8,0,4.90099978
0.0052,96.4459216,96.4459216,0.8,0,5.32583785
0.006,109.327102,109.327102,0.8,0,5.87474275
0.0068,122.219736,122.219736,0.8,0,6.32428527
0.0076,135.094456,135.094456,0.8,0,6.93674755
0.0084,147.967547,147.967547,1,0,7.92985749
0.0094,164.048705,164.048705,1,0,8.83985543
0.0104,180.127784,180.127784,1,0,9.93761754
0.0114,196.201947,196.201947,1,0,10.9302459
0.0124,212.269159,212.269159,1,0,11.8066158
0.0134,228.336481,228.336481,1,0,12.6023343
0.0144,244.399157,244.399157,1,0,13.5691156
0.0154,260.458154,260.458154,1,0,14.3584273
0.0164,276.510942,276.510942,1,0,15.1261864
0.0174,292.550507,292.550507,1,0,15.8047154
0.0184,308.608052,308.608052,1,0,16.9155695
0.0194,324.566705,324.566705,1,0,18.1001635
0.0204,340.535891,340.535891,1,0,19.0447626
0.0214,356.499645,356.499645,1,0,20.5209401
0.0224,372.436406,372.436406,1,0,21.338979
0.0234,388.335425,388.335425,1,0,22.2163994
0.0244,404.227167,404.227167,1,0,23.0778975
0.0254,420.071652,420.071652,1,0,23.9321082
0.0264,435.886837,435.886837,1,0,25.5626814
0.0274,451.705527,451.705527,1,0,26.5388389
0.0284,467.477246,467.477246,1,0,27.5392888
0.0294,483.259338,483.259338,1,0,28.5214188
0.0304,498.993767,498.993767,1,0,29.4856064
0.0314,514.740386,514.740386,1,0,30.2193484
0.0324,530.437796,530.437796,1,0,31.6034729
0.0334,546.107421,546.107421,1,0,32.8694253
0.0344,561.805588,561.805588,1,0,33.7526531
0.0354,577.455726,577.455726,1,0,34.6924207
0.0364,593.127494,593.127494,1,0,35.3778923
0.0374,608.73637,608.73637,1,0,36.3873725
0.0384,624.38087,624.38087,1,0,37.2255256
0.0394,639.95343,639.95343,1,0,39.1840475
0.0404,655.5558,655.5558,1,0,39.9988978
0.0414,671.09784,671.09784,1,0,40.8836155
0.0424,686.615206,686.615206,1,0,41.8977926
0.0434,702.154653,702.154653,1,0,42.7756495
0.0444,718.157094,718.157094,1,1,63.1761551
0.0454,733.158684,733.158684,1,0,68.1358292
0.0464,748.691991,748.691991,1,0,69.2289526
0.0474,764.208725,764.208725,1,0,70.1618176
0.0484,779.700518,779.700518,1,0,71.1442287
0.0494,795.180344,795.180344,1,0,72.0258942
0.0504,810.650288,810.650288,1,0,72.9210012
0.0514,826.102521,826.102521,1,0,74.0179958
0.0524,841.525039,841.525039,1,0,75.4253404
0.0534,856.870164,856.870164,1,0,76.5830855
0.0544,872.262234,872.262234,1,0,77.5987194
0.0554,887.581894,887.581894,1,0,78.9289923
0.0564,902.958098,902.958098,1,0,79.93818
0.0574,918.318665,918.318665,1,0,80.8121943
0.0584,933.614173,933.614173,1,0,82.0866325
0.0594,948.96328,948.96328,1,0,83.0342913
0.0604,964.23697,964.23697,1,0,84.4405854
0.0614,979.564997,979.564997,1,0,85.4620636
0.0624,994.786021,994.786021,1,0,86.8700769
0.0634,1010.10877,1010.10877,1,0,88.1285191
0.0644,1025.36087,1025.36087,1,0,89.2562208
0.0654,1040.67078,1040.67078,1,0,90.3533015
0.0664,1055.90388,1055.90388,1,0,92.1836586
0.0674,1071.20937,1071.20937,1,0,93.1503448
0.0684,1086.4905,1086.4905,1,0,94.2860889
0.0694,1101.66563,1101.66563,1,0,96.0837812
0.0704,1116.93225,1116.93225,1,0,97.273864
0.0714,1132.12847,1132.12847,1,0,98.2108188
0.0724,1147.38012,1147.38012,1,0,99.4159417
0.0734,1162.55657,1162.55657,1,0,100.760113
0.0744,1177.79986,1177.79986,1,0,101.667916
0.0754,1192.925,1192.925,1,0,103.505773
0.0764,1208.16034,1208.16034,1,0,104.564401
0.0774,1223.37461,1223.37461,1,0,105.428847
0.0784,1238.49314,1238.49314,1,0,106.512268
0.0794,1253.66392,1253.66392,1,0,108.023823
0.0804,1268.76517,1268.76517,1,0,109.168629
0.0814,1283.91623,1283.91623,1,0,110.036637
0.0824,1298.96858,1298.96858,1,1,128.310821
0.0834,1313.88632,1313.88632,1,1,151.676782
0.0844,1329.00801,1329.00801,1,0,152.670961
0.0854,1344.14268,1344.14268,1,0,153.591438
0.0864,1359.27039,1359.27039,1,0,154.575489
0.0874,1374.38197,1374.38197,1,0,155.77399
0.0884,1389.48475,1389.48475,1,0,157.046637
0.0894,1404.4962,1404.4962,1,0,158.561798
0.0904,1419.57155,1419.57155,1,0,159.583631
0.0914,1434.58421,1434.58421,1,0,160.602477
0.0924,1449.66282,1449.66282,1,0,161.71237
0.0934,1464.65101,1464.65101,1,0,163.648835
0.0944,1479.73292,1479.73292,1,0,164.721306
0.0954,1494.79284,1494.79284,1,0,165.959624
0.0964,1509.72458,1509.72458,1,0,167.371024
0.0974,1524.79653,1524.79653,1,0,168.400766
0.0984,1539.77553,1539.77553,1,0,169.686599
0.0994,1554.83249,1554.83249,1,0,170.973539
0.1004,1569.88592,1569.88592,1,0,171.848307
0.1014,1584.83517,1584.83517,1,0,173.403834
0.1024,1599.86774,1599.86774,1,0,175.261977
0.1034,1614.76393,1614.76393,1,0,176.722722
0.1044,1629.79728,1629.79728,1,0,178.00733
0.1054,1644.83268,1644.83268,1,0,179.251622
0.1064,1659.75902,1659.75902,1,0,180.917526
0.1074,1674.69949,1674.69949,1,0,183.266783
0.1084,1689.73156,1689.73156,1,0,184.159405
0.1094,1704.58537,1704.58537,1,0,186.346623
0.1104,1719.60522,1719.60522,1,0,188.691136
0.1114,1734.62739,1734.62739,1,0,189.805054
0.1124,1749.53665,1749.53665,1,0,191.453646
0.1134,1764.55485,1764.55485,1,0,192.409009
0.1144,1779.40369,1779.40369,1,0,196.002816
0.1154,1794.40832,1794.40832,1,0,196.966569
0.1164,1809.24564,1809.24564,1,0,199.70036
0.1174,1824.24759,1824.24759,1,0,200.744218
0.1184,1839.22261,1839.22261,1,0,201.836613
0.1194,1854.21197,1854.21197,1,0,203.303783
0.1204,1869.09717,1869.09717,1,0,205.299561
0.1214,1883.97596,1883.97596,1,0,207.481634
0.1224,1898.94322,1898.94322,1,0,208.950698
0.1234,1913.91433,1913.91433,1,0,210.125308
0.1244,1928.72589,1928.72589,1,0,213.967022
0.1254,1943.69483,1943.69483,1,0,216.287591
0.1264,1958.55382,1958.55382,1,0,218.470215
0.1274,1973.51233,1973.51233,1,0,219.590674
0.1284,1988.44473,1988.44473,1,0,226.482068
0.1294,2003.28976,2003.28976,1,0,228.470964
0.1304,2018.2409,2018.2409,1,0,229.62756
0.1314,2033.07589,2033.07589,1,0,232.487846
0.1324,2048.00698,2048.00698,1,0,234.50992
0.1334,2062.92214,2062.92214,1,0,241.732455
0.1344,2077.84446,2077.84446,1,1,259.029597
0.1349,2085.28811,2085.28811,0.5,0,281.403664
0.1354,2092.73697,2092.73697,0.5,0,282.146099
0.1359,2100.18322,2100.18322,0.5,0,283.194973
0.1364,2107.6284,2107.6284,0.5,0,284.190016
0.1369,2115.07214,2115.07214,0.5,0,285.278882
0.1374,2122.51462,2122.51462,1,0,286.331516
