s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7281294,15.7281294,0.2,0,0.185076475
0.0004,18.9562589,18.9562589,0.2,0,0.388723135
0.0006,22.1843883,22.1843883,0.2,0,0.952674866
0.0008,25.4125177,25.4125177,0.2,0,1.18885899
0.001,28.6406471,28.6406471,0.2,0,1.40021634
0.0012,31.8687766,31.8687766,0.4,0,1.68922472
0.0016,38.3250354,38.3250354,0.4,0,2.38575459
0.002,44.7812943,44.7812943,0.4,0,2.68799114
0.0024,51.2375532,51.2375532,0.4,0,3.01258254
0.0028,57.693812,57.693812,0.4,0,3.31198788
0.0032,64.1500709,64.1500709,0.4,0,3.60205317
0.0036,70.6063297,70.6063297,0.8,0,3.86953688
0.0044,83.4447863,83.4447863,0.8,0,4.13570595
0.0052,96.3017999,96.3017999,0.8,0,4.46495056
0.006,109.156305,109.156305,0.8,0,4.84476972
0.0068,121.800646,121.800646,0.8,0,5.2629385
0.0076,134.396645,134.396645,0.8,0,5.82585263
0.0084,146.940195,146.940195,1,0,6.21756577
0.0094,162.646313,162.646313,1,0,6.59072828
0.0104,178.195626,178.195626,1,0,7.03000426
0.0114,193.693881,193.693881,1,0,7.49615741
0.0124,209.132261,209.132261,1,0,8.17348146
0.0134,224.543427,224.543427,1,0,8.87023568
0.0144,239.909049,239.909049,1,0,9.34413838
0.0154,254.814214,254.814214,1,0,10.0167603
0.0164,269.579853,269.579853,1,0,10.7455654
0.0174,284.230827,284.230827,1,0,11.3831339
0.0184,298.837219,298.837219,1,0,12.0259118
0.0194,313.318639,313.318639,1,0,12.6560266
0.0204,327.669251,327.669251,1,0,13.4615431
0.0214,341.879746,341.879746,1,0,14.058377
0.0224,355.912605,355.912605,1,0,14.7749646
0.0234,369.663181,369.663181,1,0,15.3081067
0.0244,383.339174,383.339174,1,0,15.8875856
0.0254,396.894007,396.894007,1,0,16.4664791
0.0264,410.099728,410.099728,1,0,17.2325211
0.0274,423.151918,423.151918,1,0,17.852006
0.0284,436.056597,436.056597,1,0,18.3911803
0.0294,448.822248,448.822248,1,0,18.9840143
0.0304,461.410887,461.410887,1,0,20.1692967
0.0314,473.843499,473.843499,1,0,21.0843604
0.0324,486.177965,486.177965,1,0,21.8721473
0.0334,498.384695,498.384695,1,0,22.3740709
0.0344,510.48223,510.48223,1,0,22.8710768
0.0354,522.519995,522.519995,1,0,23.4353571
0.0364,534.487819,534.487819,1,0,23.8695226
0.0374,546.362048,546.362048,1,0,24.375421
0.0384,558.124072,558.124072,1,0,25.0837789
0.0394,569.815261,569.815261,1,0,25.6672716
0.0404,581.369758,581.369758,1,0,26.2356822
0.0414,592.803775,592.803775,1,0,26.6881416
0.0424,604.199424,604.199424,1,0,27.2080038
0.0434,615.500271,615.500271,1,0,27.7562106
0.0444,626.766272,626.766272,1,0,28.2928891
0.0454,637.858697,637.858697,1,0,29.1807516
0.0464,648.915853,648.915853,1,0,31.0220115
0.0474,659.914328,659.914328,1,0,34.2914495
0.0484,670.806282,670.806282,1,0,37.226398
0.0494,681.704135,681.704135,1,0,40.3529601
0.0504,692.538519,692.538519,1,0,42.2519922
0.0514,703.165167,703.165167,1,0,42.8509805
0.0524,713.648517,713.648517,1,0,43.9064877
0.0534,724.018181,724.018181,1,0,44.7158306
0.0544,734.255782,734.255782,1,0,45.3185604
0.0554,744.393926,744.393926,1,0,46.2231998
0.0564,754.396413,754.396413,1,0,46.6607597
0.0574,764.362423,764.362423,1,0,47.2557452
0.0584,774.216623,774.216623,1,0,47.8033214
0.0594,783.841582,783.841582,1,0,48.4878049
0.0604,793.378085,793.378085,1,0,49.4517357
0.0614,802.89429,802.89429,1,0,51.086334
0.0624,812.270881,812.270881,1,0,52.0035837
0.0634,821.455968,821.455968,1,0,53.1559196
0.0644,830.610696,830.610696,1,0,54.2632105
0.0654,839.747437,839.747437,1,0,55.4641173
0.0664,848.867073,848.867073,1,0,56.7621505
0.0674,857.974242,857.974242,1,0,57.9168813
0.0684,866.870953,866.870953,1,0,59.0792477
0.0694,875.667881,875.667881,1,0,60.0956032
0.0704,884.44918,884.44918,1,0,61.6175032
0.0714,893.215352,893.215352,1,0,62.7430446
0.0724,901.969466,901.969466,1,0,63.8222353
0.0734,910.711538,910.711538,1,0,64.6986465
0.0744,919.312156,919.312156,1,0,66.201484
0.0754,927.866345,927.866345,1,0,67.3102033
0.0764,936.317922,936.317922,1,0,67.9908822
0.0774,944.534475,944.534475,1,0,68.7768321
0.0784,952.759137,952.759137,1,0,69.8318784
0.0794,961.004775,961.004775,1,0,71.0412843
0.0804,969.221599,969.221599,1,0,71.9978874
0.0814,977.482383,977.482383,1,0,73.0823133
0.0824,985.558669,985.558669,1,0,73.9802303
0.0834,993.62963,993.62963,1,0,75.3071089
0.0844,1001.69377,1001.69377,1,0,76.1155915
0.0854,1009.6555,1009.6555,1,0,76.8447926
0.0864,1017.43201,1017.43201,1,0,77.517415
0.0874,1025.01056,1025.01056,1,0,78.1093831
0.0884,1032.59464,1032.59464,1,0,78.8392339
0.0894,1040.36014,1040.36014,1,0,79.8635812
0.0904,1047.6392,1047.6392,1,0,80.3759236
0.0914,1055.14521,1055.14521,1,0,81.1679447
0.0924,1062.6225,1062.6225,1,0,82.0202622
0.0934,1070.2358,1070.2358,1,0,82.7943697
0.0944,1077.41301,1077.41301,1,0,83.6108189
0.0954,1084.80877,1084.80877,1,0,84.2238946
0.0964,1091.94791,1091.94791,1,0,84.9103642
0.0974,1099.44213,1099.44213,1,0,85.677825
0.0984,1106.6248,1106.6248,1,0,86.3364968
0.0994,1114.00304,1114.00304,1,0,87.3923681
0.1004,1121.42763,1121.42763,1,0,88.1927087
0.1014,1128.87967,1128.87967,1,0,89.3757937
0.1024,1135.95245,1135.95245,1,0,90.0976269
0.1034,1143.00471,1143.00471,1,0,90.8372231
0.1044,1150.08109,1150.08109,1,0,92.2197571
0.1054,1157.15541,1157.15541,1,0,93.1456182
0.1064,1164.26527,1164.26527,1,0,93.8638821
0.1074,1171.36143,1171.36143,1,0,94.6723926
0.1084,1178.4687,1178.4687,1,0,95.7651205
0.1094,1185.57822,1185.57822,1,0,96.9812462
0.1104,1192.77218,1192.77218,1,0,97.619899
0.1114,1200.15161,1200.15161,1,0,98.4568539
0.1124,1207.55411,1207.55411,1,0,99.4267583
0.1134,1214.92612,1214.92612,1,0,100.414274
0.1144,1222.25956,1222.25956,1,0,101.188081
0.1154,1229.6286,1229.6286,1,0,102.129066
0.1164,1236.76392,1236.76392,1,0,102.803801
0.1174,1244.0287,1244.0287,1,0,103.585714
0.1184,1251.23397,1251.23397,1,0,104.847043
0.1194,1258.40868,1258.40868,1,0,105.694257
0.1204,1265.64819,1265.64819,1,0,106.587718
0.1214,1273.04953,1273.04953,1,0,107.360869
0.1224,1280.53668,1280.53668,1,0,108.798675
0.1234,1287.82628,1287.82628,1,0,110.336912
0.1244,1294.91782,1294.91782,1,0,111.153307
0.1254,1302.0065,1302.0065,1,0,112.035272
0.1264,1309.54253,1309.54253,1,0,113.51159
0.1274,1315.63016,1315.63016,1,0,116.814969
