s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,21.1984835,21.1984835,0.2,0,0.342047215
0.0004,29.6795672,29.6795672,0.2,0,0.732206583
0.0006,38.378487,38.378487,0.2,0,1.02691245
0.0008,46.964235,46.964235,0.2,0,1.29211903
0.001,55.5490023,55.5490023,0.2,0,1.57725453
0.0012,64.1124686,64.1124686,0.4,0,1.90605807
0.0016,81.1045295,81.1045295,0.4,0,2.37441301
0.002,97.8817011,97.8817011,0.4,0,2.71527076
0.0024,114.424765,114.424765,0.4,0,3.11022425
0.0028,130.356512,130.356512,0.4,0,3.55478621
0.0032,145.72424,145.72424,0.4,0,4.25069213
0.0036,160.615574,160.615574,0.8,0,5.1228323
0.0044,188.417909,188.417909,0.8,0,6.29378748
0.0052,214.425927,214.425927,0.8,0,7.00056887
0.006,238.95798,238.95798,0.8,0,7.94262886
0.0068,262.036465,262.036465,0.8,0,8.88976383
0.0076,284.254046,284.254046,0.8,0,9.9639256
0.0084,305.424005,305.424005,1,1,20.9913495
0.0089,317.975859,317.975859,0.5,0,39.0515938
0.0094,330.165538,330.165538,0.5,0,40.0267718
0.0099,341.979459,341.979459,0.5,0,40.9134953
0.0104,353.378526,353.378526,0.5,0,41.7524052
0.0109,364.255305,364.255305,0.5,0,42.5676224
0.0114,374.404723,374.404723,1,0,43.9498246
0.0119,385.488214,385.488214,0.5,0,67.4661775
0.0124,396.474453,396.474453,0.5,0,72.2958162
0.0129,405.800827,405.800827,0.5,0,82.6382241
0.0134,420.682362,420.682362,0.5,1,95.2477231
0.01365,422.123047,422.123047,0.25,0,116.089926
0.0139,426.642775,426.642775,0.25,0,119.43565
0.01415,431.291711,431.291711,0.25,0,121.972067
0.0144,436.132934,436.132934,0.25,0,123.809832
0.01465,441.126854,441.126854,0.25,0,125.066594
0.0149,446.25992,446.25992,0.5,0,126.335527
0.0154,456.702729,456.702729,0.5,0,128.205781
0.0159,471.406906,471.406906,0.5,1,139.010379
0.0164,481.54402,481.54402,0.5,1,151.225712
0.0169,493.659467,493.659467,0.5,0,152.944541
0.0174,505.427764,505.427764,0.5,0,156.045623
0.0179,516.962613,516.962613,1,0,157.947145
0.0184,528.273869,528.273869,0.5,0,177.98836
0.0189,539.364635,539.364635,0.5,0,179.191222
0.0194,550.219327,550.219327,0.5,0,179.924789
0.0199,560.863073,560.863073,0.5,0,180.902354
0.0204,571.363938,571.363938,0.5,0,181.864208
0.0209,581.631434,581.631434,1,0,182.829139
0.0214,591.552277,591.552277,0.5,0,199.951448
0.0219,601.158201,601.158201,0.5,0,200.62885
0.0224,610.6165,610.6165,0.5,0,201.506913
0.0229,619.8954,619.8954,0.5,0,202.761962
0.0234,628.874506,628.874506,0.5,0,203.955772
0.0239,637.506615,637.506615,1,0,205.434976
0.0244,645.918636,645.918636,0.5,0,221.59566
0.0249,654.147491,654.147491,0.5,0,222.735124
0.0254,662.202934,662.202934,0.5,0,224.041462
0.0259,670.113355,670.113355,0.5,0,225.975567
0.0264,683.213076,683.213076,0.5,1,237.140145
0.02665,683.640371,683.640371,0.25,0,257.587799
0.0269,687.261264,687.261264,0.25,0,259.591787
0.02715,690.859888,690.859888,0.25,0,261.67774
0.0274,694.53083,694.53083,0.25,0,263.76479
0.02765,698.153488,698.153488,0.25,0,264.852175
0.0279,701.781692,701.781692,0.5,0,266.369106
0.0284,715.113811,715.113811,0.5,1,276.995531
0.02865,714.546361,714.546361,0.25,0,300.15435
0.0289,717.902566,717.902566,0.25,0,301.207896
0.02915,721.299358,721.299358,0.25,0,302.991753
0.0294,724.744762,724.744762,0.25,0,303.98607
0.02965,728.197096,728.197096,0.25,0,305.144982
0.0299,731.67932,731.67932,0.5,0,306.014929
0.0304,744.828038,744.828038,0.5,1,317.248815
0.03065,744.486519,744.486519,0.25,1,346.83143
0.0309,747.410282,747.410282,0.25,0,348.158424
0.03115,750.708891,750.708891,0.25,0,349.815586
0.0314,754.076882,754.076882,0.25,0,351.093319
0.03165,757.449469,757.449469,0.25,0,352.458629
0.0319,760.881502,760.881502,0.5,0,354.003609
0.0324,768.467376,768.467376,0.5,1,365.613805
0.0329,782.266783,782.266783,0.5,1,376.027763
0.033025,779.291144,779.291144,0.125,0,416.839102
0.03315,780.818649,780.818649,0.125,0,417.577442
0.033275,782.433827,782.433827,0.125,0,418.435105
0.0334,783.967382,783.967382,0.125,0,419.538283
0.033525,785.617073,785.617073,0.125,0,420.271669
0.03365,787.282164,787.282164,0.25,0,421.050461
0.0339,790.667278,790.667278,0.25,0,422.298907
0.03415,794.067828,794.067828,0.25,0,423.611579
0.0344,797.52478,797.52478,0.25,0,424.931262
0.03465,801.061067,801.061067,0.25,0,425.961082
0.0349,804.699744,804.699744,0.25,0,426.96518
0.03515,808.371804,808.371804,0.5,0,427.979379
0.03565,815.909012,815.909012,0.5,0,430.338206
0.03615,823.486542,823.486542,0.5,0,432.257266
0.03665,831.060557,831.060557,0.5,0,434.093024
0.03715,838.751378,838.751378,0.5,0,435.610326
0.03765,846.395031,846.395031,0.5,0,437.159868
0.03815,854.19829,854.19829,1,0,440.286425
0.03865,862.971658,862.971658,0.5,0,459.986809
0.03915,871.859751,871.859751,0.5,0,461.209578
0.03965,881.031904,881.031904,0.5,0,462.726462
0.04015,890.188808,890.188808,0.5,0,464.504784
0.04065,900.594631,900.594631,0.5,0,465.289093
0.04115,910.993642,910.993642,1,0,465.960106
0.04215,930.147214,930.147214,1,1,479.041979
0.04315,949.019037,949.019037,1,1,489.950102
0.04415,967.99491,967.99491,1,1,501.706175
0.04515,986.527951,986.527951,1,1,513.130745
0.04615,1005.43495,1005.43495,1,1,524.981227
0.04715,1023.23567,1023.23567,1,1,537.877547
0.04815,1040.06266,1040.06266,1,1,552.036417
0.04915,1058.32514,1058.32514,1,1,564.066461
0.05015,1074.69621,1074.69621,1,1,576.379808
0.05115,1089.88423,1089.88423,1,1,588.446106
0.05215,1107.1614,1107.1614,1,1,601.199914
0.05315,1123.34087,1123.34087,1,1,614.053308
0.05365,1130.90473,1130.90473,0.5,0,632.014729
0.05415,1138.67805,1138.67805,0.5,0,632.909578
0.05465,1146.39427,1146.39427,0.5,0,633.946204
0.05515,1154.05306,1154.05306,0.5,0,635.004522
0.05565,1161.66772,1161.66772,0.5,0,635.920422
0.05615,1169.21979,1169.21979,1,0,636.750769
0.05665,1176.72279,1176.72279,0.5,0,656.922044
0.05715,1184.16705,1184.16705,0.5,0,658.12625
0.05765,1191.57019,1191.57019,0.5,0,659.285646
0.05815,1198.90869,1198.90869,0.5,0,660.427668
0.05865,1206.20649,1206.20649,0.5,0,661.402931
0.05915,1213.45658,1213.45658,1,0,662.556489
0.05965,1220.6715,1220.6715,0.5,0,679.724509
0.06015,1227.85662,1227.85662,0.5,0,680.690984
0.06065,1235.01398,1235.01398,0.5,0,682.04952
0.06115,1242.14145,1242.14145,0.5,0,682.94669
0.06165,1249.24995,1249.24995,0.5,0,684.262647
0.06215,1256.3164,1256.3164,1,0,685.222535
0.06265,1263.36021,1263.36021,0.5,0,702.666326
0.06315,1270.36308,1270.36308,0.5,0,703.65295
0.06365,1277.32017,1277.32017,0.5,0,704.531683
0.06415,1284.25324,1284.25324,0.5,0,705.499749
0.06465,1291.16755,1291.16755,0.5,0,706.500932
0.06515,1298.03271,1298.03271,1,0,707.773657
0.06565,1304.87435,1304.87435,0.5,0,727.038076
0.06615,1311.70789,1311.70789,0.5,0,728.164995
0.06665,1318.44335,1318.44335,0.5,0,729.485084
0.06715,1325.25013,1325.25013,0.5,0,730.939746
0.06765,1331.9957,1331.9957,0.5,0,732.16737
0.06815,1338.7153,1338.7153,1,0,733.398128
0.06865,1345.39974,1345.39974,0.5,0,752.212811
0.06915,1355.72093,1355.72093,0.5,1,764.433646
0.0694,1355.80357,1355.80357,0.25,0,785.29505
0.06965,1359.10069,1359.10069,0.25,0,786.563223
0.0699,1362.42017,1362.42017,0.25,0,787.780789
0.07015,1365.72526,1365.72526,0.25,0,788.931144
0.0704,1368.95842,1368.95842,0.25,0,790.317738
0.07065,1372.21296,1372.21296,0.5,0,791.257283
0.07115,1378.66805,1378.66805,0.5,0,796.390321
0.07165,1385.2673,1385.2673,0.5,0,798.302486
0.07215,1391.761,1391.761,0.5,0,799.918326
0.07265,1398.26352,1398.26352,0.5,0,801.629036
0.07315,1408.76583,1408.76583,0.5,1,812.59207
0.0734,1412.8154,1412.8154,0.25,1,841.874751
0.07365,1416.50822,1416.50822,0.25,1,854.707643
0.073775,1417.89007,1417.89007,0.125,1,886.910801
0.0739,1419.72175,1419.72175,0.125,1,897.165201
0.074025,1417.71132,1417.71132,0.125,0,906.839601
0.07415,1419.22741,1419.22741,0.125,0,909.152601
0.074275,1420.75064,1420.75064,0.125,0,910.621392
0.0744,1422.24824,1422.24824,0.25,0,912.554749
0.07465,1425.21331,1425.21331,0.25,0,914.964689
0.0749,1428.24798,1428.24798,0.25,0,919.507679
0.07515,1431.16454,1431.16454,0.25,0,924.329209
0.0754,1433.99608,1433.99608,0.25,0,929.782305
0.07565,1436.77624,1436.77624,0.25,0,934.928753
0.0759,1445.04589,1445.04589,0.5,1,948.324774
0.07615,1447.0365,1447.0365,0.25,1,984.571581
0.0764,1451.12954,1451.12954,0.25,1,998.403785
0.076525,1452.43958,1452.43958,0.125,1,1033.13052
0.07665,1453.96605,1453.96605,0.125,1,1046.72666
0.0767125,1456.00243,1456.00243,0.0625,1,1080.59545
0.076775,1455.12702,1455.12702,0.0625,1,1094.11407
0.0768375,1458.0995,1458.0995,0.0625,1,1107.06619
0.0769,1451.53179,1451.53179,0.0625,0,1113.34806
0.0769625,1452.12874,1452.12874,0.0625,0,1114.24763
0.077025,1452.70014,1452.70014,0.125,0,1115.34095
0.07715,1453.77347,1453.77347,0.125,0,1116.93658
0.077275,1454.76957,1454.76957,0.125,0,1117.99324
0.0774,1455.72627,1455.72627,0.125,0,1118.89352
0.077525,1456.6562,1456.6562,0.125,0,1120.6249
0.07765,1457.54192,1457.54192,0.125,0,1122.52979
0.077775,1458.37631,1458.37631,0.25,0,1123.7798
0.078025,1465.1086,1465.1086,0.25,1,1137.31481
0.07815,1466.90241,1466.90241,0.125,1,1168.66204
0.078275,1468.17507,1468.17507,0.125,1,1180.62454
0.0784,1469.23804,1469.23804,0.125,1,1193.13241
0.0784625,1471.7652,1471.7652,0.0625,1,1224.88104
0.078525,1469.64562,1469.64562,0.0625,1,1239.81921
0.0785875,1472.4019,1472.4019,0.0625,1,1251.47902
0.07861875,1470.91483,1470.91483,0.03125,1,1282.54316
0.07865,1472.20013,1472.20013,0.03125,1,1294.66284
0.07868125,1463.86468,1463.86468,0.03125,0,1298.59576
0.0787125,1464.80636,1464.80636,0.03125,0,1299.07991
0.07874375,1464.18291,1464.18291,0.03125,0,1300.01259
