s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7281294,15.7281294,0.2,0,0.154067039
0.0004,18.9562589,18.9562589,0.2,0,0.306444645
0.0006,22.1843883,22.1843883,0.2,0,0.520676374
0.0008,25.4125177,25.4125177,0.2,0,0.896074772
0.001,28.6390139,28.6390139,0.2,0,1.55110335
0.0012,31.8606239,31.8606239,0.4,0,1.79400873
0.0016,38.2769187,38.2769187,0.4,0,2.38787198
0.002,44.4126508,44.4126508,0.4,0,3.00003529
0.0022,47.2225356,47.2225356,0.2,0,24.7572634
0.0024,49.8890854,49.8890854,0.2,0,25.7476084
0.0026,52.4687153,52.4687153,0.2,0,26.4909341
0.0028,54.9296066,54.9296066,0.2,0,27.551507
0.003,57.3255812,57.3255812,0.2,0,28.7266123
0.0032,59.6641732,59.6641732,0.4,0,30.0465314
0.0034,61.8861164,61.8861164,0.2,0,52.8479116
0.0036,64.0370176,64.0370176,0.2,0,53.7810159
0.0038,66.1512481,66.1512481,0.2,0,54.5629327
0.004,68.2305372,68.2305372,0.2,0,56.9113808
0.0042,70.2812503,70.2812503,0.2,0,58.7950201
0.0043,71.2990271,71.2990271,0.1,0,89.4543688
0.0044,72.3079755,72.3079755,0.1,0,90.7067194
0.0045,73.3082292,73.3082292,0.1,0,91.8364329
0.0046,74.2996075,74.2996075,0.1,0,93.0762208
0.0047,75.2719414,75.2719414,0.1,0,94.5218296
0.0048,76.2350838,76.2350838,0.2,0,95.5406895
0.0049,77.1894632,77.1894632,0.1,0,121.884508
0.005,78.138289,78.138289,0.1,0,122.999817
0.0051,79.0825752,79.0825752,0.1,0,124.261013
0.0052,80.0173434,80.0173434,0.1,0,125.992339
0.0053,80.9466326,80.9466326,0.1,0,127.285218
0.0054,81.871307,81.871307,0.2,0,128.347299
0.0055,82.7871226,82.7871226,0.1,0,156.439652
0.0056,83.7027607,83.7027607,0.1,0,157.582097
0.0057,84.614311,84.614311,0.1,0,159.101895
0.0058,85.5170491,85.5170491,0.1,0,160.312447
0.0059,86.418807,86.418807,0.1,0,161.407494
0.006,87.3168576,87.3168576,0.2,0,162.399127
0.0061,88.2060066,88.2060066,0.1,0,190.239718
0.0062,89.0971526,89.0971526,0.1,0,191.431555
0.0063,89.9845579,89.9845579,0.1,0,192.481344
0.0064,90.8640373,90.8640373,0.1,0,193.530286
0.0065,91.7466095,91.7466095,0.1,0,194.623413
0.0066,92.6266694,92.6266694,0.2,0,195.950073
0.0067,93.4921277,93.4921277,0.1,0,224.243665
0.0068,94.3682889,94.3682889,0.1,0,225.873567
0.0069,95.2245237,95.2245237,0.1,0,228.179071
0.007,96.0872765,96.0872765,0.1,0,229.237511
0.0071,96.9462762,96.9462762,0.1,0,230.614194
0.0072,97.7922035,97.7922035,0.2,0,231.940334
0.0073,98.6386035,98.6386035,0.1,0,263.738766
0.0074,99.4812342,99.4812342,0.1,0,264.748794
0.0075,100.305744,100.305744,0.1,0,266.271686
0.0076,101.143285,101.143285,0.1,0,267.507086
0.0077,101.960547,101.960547,0.1,0,269.387136
0.0078,102.793818,102.793818,0.2,0,270.387059
0.0079,103.621785,103.621785,0.1,0,293.342749
0.008,104.434628,104.434628,0.1,0,294.59086
0.0081,105.251484,105.251484,0.1,0,296.044946
0.0082,105.975018,105.975018,0.1,0,298.851508
0.0083,106.79061,106.79061,0.1,0,301.223103
0.0084,107.602295,107.602295,0.2,0,302.356169
0.0085,108.408382,108.408382,0.1,0,330.367421
0.0086,109.201038,109.201038,0.1,0,331.512577
0.0087,110.001216,110.001216,0.1,0,332.587754
0.0088,110.798599,110.798599,0.1,0,333.865432
0.0089,111.570668,111.570668,0.1,0,336.249824
0.009,112.362703,112.362703,0.2,0,337.324539
0.0091,113.139677,113.139677,0.1,0,366.703338
0.0092,113.923885,113.923885,0.1,0,367.924775
0.0093,114.681534,114.681534,0.1,0,369.714495
0.0094,115.462637,115.462637,0.1,0,371.1939
0.0095,116.230701,116.230701,0.1,0,372.409276
0.0096,116.974265,116.974265,0.2,0,374.325273
0.0097,117.743067,117.743067,0.1,0,404.541592
0.0098,118.49783,118.49783,0.1,0,405.730552
0.0099,119.257243,119.257243,0.1,0,406.699539
0.00995,119.636325,119.636325,0.05,0,433.634934
0.01,120.01233,120.01233,0.05,0,434.523383
0.01005,120.387474,120.387474,0.05,0,435.219943
0.0101,120.759551,120.759551,0.05,0,436.403641
0.01015,121.132617,121.132617,0.05,0,437.972213
0.0102,121.499504,121.499504,0.1,0,439.30998
0.01025,121.870716,121.870716,0.05,0,469.019549
0.0103,122.241301,122.241301,0.05,0,470.214183
0.01035,122.605948,122.605948,0.05,0,471.643061
0.0104,122.975342,122.975342,0.05,0,472.74954
0.01045,123.338602,123.338602,0.05,0,474.440521
