s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7240738,15.7240738,0.2,0,0.213304996
0.0004,18.9481476,18.9481476,0.2,0,0.392983675
0.0006,22.1722214,22.1722214,0.2,0,0.593488693
0.0008,25.3962952,25.3962952,0.2,0,0.789880753
0.001,28.6187251,28.6187251,0.2,0,1.060009
0.0012,31.8363956,31.8363956,0.4,0,1.40506768
0.0016,38.2454303,38.2454303,0.4,0,1.99478936
0.002,44.3799404,44.3799404,0.4,0,2.60547137
0.0022,47.1858095,47.1858095,0.2,0,21.1321886
0.0024,49.8574013,49.8574013,0.2,0,21.768579
0.0026,52.4191639,52.4191639,0.2,0,22.5471241
0.0028,54.8884649,54.8884649,0.2,0,23.2380686
0.003,57.2898839,57.2898839,0.2,0,23.9156432
0.0032,59.590255,59.590255,0.4,0,24.4888022
0.0034,61.8032911,61.8032911,0.2,0,41.5767987
0.0036,63.976244,63.976244,0.2,0,42.7053089
0.0038,66.1041696,66.1041696,0.2,0,43.5511811
0.004,68.1702033,68.1702033,0.2,0,44.9593105
0.0042,70.2163952,70.2163952,0.2,1,55.5737977
0.0043,71.1963602,71.1963602,0.1,0,74.0950639
0.0044,72.192154,72.192154,0.1,0,75.0988348
0.0045,73.1788527,73.1788527,0.1,0,75.8166976
0.0046,74.1595528,74.1595528,0.1,0,76.4911757
0.0047,75.135029,75.135029,0.1,0,77.0837667
0.0048,76.1056178,76.1056178,0.2,0,77.7964432
0.0049,77.070288,77.070288,0.1,0,96.8050733
0.005,78.0291537,78.0291537,0.1,0,97.6371849
0.0051,78.979754,78.979754,0.1,0,98.2908788
0.0052,79.9221437,79.9221437,0.1,0,98.9179296
0.0053,80.8551138,80.8551138,0.1,0,100.088164
0.0054,81.7862405,81.7862405,0.2,0,101.329877
0.0055,82.7125889,82.7125889,0.1,0,119.945577
0.0056,83.6266259,83.6266259,0.1,0,120.577496
0.0057,84.5304148,84.5304148,0.1,0,121.20093
0.0058,85.4307619,85.4307619,0.1,0,121.783821
0.0059,86.3271964,86.3271964,0.1,0,122.320564
0.006,87.2167171,87.2167171,0.2,0,122.961122
0.0061,88.0992136,88.0992136,0.1,0,139.675693
0.0062,88.980101,88.980101,0.1,0,140.426839
0.0063,89.8537197,89.8537197,0.1,0,141.102631
0.0064,90.7299206,90.7299206,0.1,0,141.86178
0.0065,91.5902087,91.5902087,0.1,0,142.853494
0.0066,92.4590475,92.4590475,0.2,0,143.407869
0.0067,93.3204641,93.3204641,0.1,0,161.44485
0.0068,94.1652024,94.1652024,0.1,0,162.385874
0.0069,95.0217554,95.0217554,0.1,0,163.061918
0.007,95.874138,95.874138,0.1,0,164.570769
0.0071,96.7165726,96.7165726,0.1,0,166.382308
0.0072,97.5617363,97.5617363,0.2,0,167.123876
0.0073,98.3885482,98.3885482,0.1,0,187.94481
0.0074,99.2282657,99.2282657,0.1,0,188.761959
0.0075,100.064944,100.064944,0.1,0,189.59095
0.0076,100.881495,100.881495,0.1,0,190.653619
0.0077,101.713036,101.713036,0.1,0,191.540604
0.0078,102.53136,102.53136,0.2,0,192.231761
0.0079,103.265907,103.265907,0.1,0,215.139008
0.008,104.092384,104.092384,0.1,0,216.362272
0.0081,104.915219,104.915219,0.1,0,216.929864
0.0082,105.73398,105.73398,0.1,0,217.540561
0.0083,106.549333,106.549333,0.1,0,218.393329
0.0084,107.361884,107.361884,0.2,0,218.959555
0.0085,108.161342,108.161342,0.1,0,233.93923
0.0086,108.96744,108.96744,0.1,0,234.613229
0.0087,109.749211,109.749211,0.1,0,235.931207
0.0088,110.55047,110.55047,0.1,0,236.548576
0.0089,111.348242,111.348242,0.1,0,237.172725
0.009,112.134894,112.134894,0.2,0,237.905385
0.0091,112.92817,112.92817,0.1,0,254.900041
0.0092,113.695618,113.695618,0.1,0,256.30162
0.0093,114.482696,114.482696,0.1,0,256.867953
0.0094,115.231141,115.231141,0.1,0,258.050315
0.0095,116.004875,116.004875,0.1,0,258.827989
0.0096,116.760585,116.760585,0.2,0,259.900253
0.0097,117.52224,117.52224,0.1,0,278.079818
0.0098,118.287444,118.287444,0.1,1,289.68387
0.00985,118.657686,118.657686,0.05,0,308.893263
0.0099,119.03378,119.03378,0.05,0,309.386824
0.00995,119.40629,119.40629,0.05,0,310.057086
0.01,119.783225,119.783225,0.05,0,310.76891
0.01005,120.148902,120.148902,0.05,0,311.3277
0.0101,120.524901,120.524901,0.1,0,311.902451
0.01015,120.889534,120.889534,0.05,0,330.364254
0.0102,121.261412,121.261412,0.05,0,330.986458
0.01025,121.632005,121.632005,0.05,0,331.641423
0.0103,121.99705,121.99705,0.05,0,332.426915
0.01035,122.366933,122.366933,0.05,0,333.544559
0.0104,122.73107,122.73107,0.1,0,334.359166
0.01045,123.099975,123.099975,0.05,0,352.676135
0.0105,123.457416,123.457416,0.05,0,353.662105
0.01055,123.825168,123.825168,0.05,0,354.680492
0.0106,124.186782,124.186782,0.05,0,355.416506
0.01065,124.553581,124.553581,0.05,0,356.103563
0.0107,124.913861,124.913861,0.1,0,356.759245
0.01075,125.279244,125.279244,0.05,0,373.806197
0.0108,125.632804,125.632804,0.05,0,375.412211
0.01085,125.997701,125.997701,0.05,0,376.103018
0.0109,126.356085,126.356085,0.05,0,376.927272
0.01095,126.720095,126.720095,0.05,0,377.545685
0.011,127.071618,127.071618,0.1,0,378.626952
0.01105,127.434915,127.434915,0.05,0,396.785934
0.0111,127.797619,127.797619,0.05,0,397.575025
0.01115,128.1539,128.1539,0.05,0,398.308119
0.0112,128.515945,128.515945,0.05,0,399.097545
0.01125,128.871368,128.871368,0.05,0,399.867318
0.0113,129.232225,129.232225,0.1,0,400.62448
0.01135,129.580322,129.580322,0.05,0,422.335876
0.0114,129.940204,129.940204,0.05,0,422.928334
0.01145,130.292556,130.292556,0.05,0,423.908727
0.0115,130.650108,130.650108,0.05,0,425.026626
0.01155,130.949017,130.949017,0.05,0,426.563158
0.0116,131.308393,131.308393,0.1,0,427.26365
0.01165,131.666424,131.666424,0.05,0,444.520105
0.0117,132.022481,132.022481,0.05,0,445.587546
0.01175,132.370699,132.370699,0.05,0,446.365168
0.0118,132.724744,132.724744,0.05,0,447.020118
0.01185,133.070706,133.070706,0.05,0,448.143919
0.0119,133.423382,133.423382,0.1,0,449.289951
0.01195,133.761007,133.761007,0.05,0,468.94107
0.012,134.112928,134.112928,0.05,0,469.56623
0.01205,134.455306,134.455306,0.05,0,470.376615
0.0121,134.80367,134.80367,0.05,0,471.139225
0.01215,135.143571,135.143571,0.05,0,471.987701
0.0122,135.489215,135.489215,0.1,0,473.031928
0.01225,135.834005,135.834005,0.05,0,491.13567
0.0123,136.163911,136.163911,0.05,0,492.029844
0.01235,136.508082,136.508082,0.05,0,492.896438
0.0124,136.843127,136.843127,0.05,0,493.816381
0.01245,137.18474,137.18474,0.05,0,494.389682
0.0125,137.540456,137.540456,0.1,1,505.695613
0.012525,137.690737,137.690737,0.025,0,538.815697
0.01255,137.859965,137.859965,0.025,0,539.61433
0.012575,138.029398,138.029398,0.025,0,540.428747
0.0126,138.199557,138.199557,0.025,0,541.281162
0.012625,138.367122,138.367122,0.025,0,542.053244
0.01265,138.536787,138.536787,0.05,0,542.960483
0.012675,138.705239,138.705239,0.025,0,563.715964
0.0127,138.869189,138.869189,0.025,0,564.499892
0.012725,139.037431,139.037431,0.025,0,565.28139
0.01275,139.206777,139.206777,0.025,0,565.896149
0.012775,139.370447,139.370447,0.025,0,567.024678
0.0128,139.539639,139.539639,0.05,0,567.540943
0.012825,139.703082,139.703082,0.025,0,585.462889
0.01285,139.870969,139.870969,0.025,0,586.299372
0.012875,140.03255,140.03255,0.025,0,588.053676
0.0129,140.200449,140.200449,0.025,0,588.786907
0.012925,140.364615,140.364615,0.025,0,589.915931
0.01295,140.532858,140.532858,0.05,0,590.441463
0.012975,140.69976,140.69976,0.025,0,610.110265
0.013,140.858597,140.858597,0.025,0,611.244991
0.013025,141.025164,141.025164,0.025,0,612.020492
0.01305,141.187925,141.187925,0.025,0,613.344799
0.013075,141.353868,141.353868,0.025,0,614.905774
0.0131,141.516359,141.516359,0.05,0,615.725014
0.013125,141.6833,141.6833,0.025,0,633.993061
0.01315,141.84882,141.84882,0.025,0,634.55772
0.013175,141.981234,141.981234,0.025,0,636.109833
0.0132,142.149338,142.149338,0.025,0,636.708974
0.013225,142.315674,142.315674,0.025,0,637.234113
0.01325,142.476367,142.476367,0.05,0,638.217342
0.013275,142.643206,142.643206,0.025,0,656.254376
0.0133,142.808617,142.808617,0.025,0,657.543797
0.013325,142.968548,142.968548,0.025,0,659.215844
0.01335,143.133328,143.133328,0.025,0,660.481652
0.013375,143.290515,143.290515,0.025,0,662.060448
0.0134,143.455022,143.455022,0.05,0,662.879705
0.013425,143.615597,143.615597,0.025,0,680.819769
0.01345,143.779882,143.779882,0.025,0,681.501549
0.013475,143.945275,143.945275,0.025,0,682.709968
0.0135,144.103869,144.103869,0.025,0,683.368075
0.013525,144.267564,144.267564,0.025,0,684.026583
0.01355,144.423346,144.423346,0.05,0,685.442585
0.013575,144.586937,144.586937,0.025,0,704.070286
0.0136,144.750391,144.750391,0.025,0,704.704897
0.013625,144.90961,144.90961,0.025,0,705.319865
0.01365,145.072375,145.072375,0.025,0,706.087232
0.013675,145.235743,145.235743,0.025,0,706.744368
0.0137,145.403512,145.403512,0.05,1,716.865599
0.013725,145.527991,145.527991,0.025,1,750.111511
0.01375,145.684148,145.684148,0.025,0,750.87407
0.013775,145.848386,145.848386,0.025,0,751.832271
0.0138,146.011041,146.011041,0.025,0,752.864901
0.013825,146.173342,146.173342,0.025,0,753.667247
0.01385,146.331575,146.331575,0.05,0,754.544138
0.013875,146.49328,146.49328,0.025,0,773.431858
0.0139,146.650891,146.650891,0.025,0,774.529675
0.013925,146.811967,146.811967,0.025,0,775.597335
0.01395,146.97274,146.97274,0.025,0,776.435654
0.013975,147.125607,147.125607,0.025,0,777.493656
0.014,147.286581,147.286581,0.05,0,778.325158
0.014025,147.443289,147.443289,0.025,0,798.06396
0.01405,147.604146,147.604146,0.025,0,798.828118
0.014075,147.764207,147.764207,0.025,0,799.917133
0.0140875,147.844018,147.844018,0.0125,0,817.206617
0.0141,147.923827,147.923827,0.0125,0,818.12207
0.0141125,148.0036,148.0036,0.0125,0,818.787552
0.014125,148.083323,148.083323,0.0125,0,819.473585
0.0141375,148.162912,148.162912,0.0125,0,820.198362
0.01415,148.24067,148.24067,0.025,0,821.132582
0.014175,148.404845,148.404845,0.025,1,838.336452
0.0141875,148.47294,148.47294,0.0125,0,857.9843
0.0142,148.552742,148.552742,0.0125,0,858.668176
0.0142125,148.632355,148.632355,0.0125,0,859.56135
0.014225,148.711881,148.711881,0.0125,0,860.419198
0.0142375,148.791348,148.791348,0.0125,0,861.118513
0.01425,148.868871,148.868871,0.025,0,862.252151
0.014275,149.05473,149.05473,0.025,1,881.613429
0.01428125,149.060675,149.060675,0.00625,0,918.719419
0.0142875,149.100463,149.100463,0.00625,0,919.582302
0.01429375,149.140295,149.140295,0.00625,0,920.505015
0.0143,149.179983,149.179983,0.00625,0,921.179042
0.01430625,149.219573,149.219573,0.00625,0,921.870494
0.0143125,149.259182,149.259182,0.0125,0,922.747353
0.014325,149.338263,149.338263,0.0125,0,923.980796
0.0143375,149.417193,149.417193,0.0125,0,924.803035
0.01435,149.494222,149.494222,0.0125,0,925.745569
0.0143625,149.573216,149.573216,0.0125,0,926.526711
0.014375,149.651943,149.651943,0.0125,0,927.600727
0.0143875,149.728774,149.728774,0.025,0,928.408431
0.0144,149.807553,149.807553,0.0125,0,951.985714
0.0144125,149.88625,149.88625,0.0125,0,952.772321
0.014425,149.963094,149.963094,0.0125,0,953.770313
0.0144375,150.041809,150.041809,0.0125,0,954.336408
0.01445,150.118486,150.118486,0.0125,0,955.555933
0.0144625,150.19716,150.19716,0.025,0,956.961681
0.014475,150.256657,150.256657,0.0125,0,982.757658
0.0144875,150.336571,150.336571,0.0125,0,984.286951
0.0145,150.415848,150.415848,0.0125,0,984.899868
0.0145125,150.494666,150.494666,0.0125,0,985.566355
0.014525,150.573603,150.573603,0.0125,0,986.438507
0.0145375,150.652114,150.652114,0.025,0,987.152685
0.0145625,150.835256,150.835256,0.025,1,1001.78286
0.01456875,150.841533,150.841533,0.00625,0,1045.01914
0.014575,150.880533,150.880533,0.00625,0,1046.68781
0.01458125,150.919998,150.919998,0.00625,0,1047.46882
0.0145875,150.959461,150.959461,0.00625,0,1048.12171
0.01459375,150.998732,150.998732,0.00625,0,1048.86346
0.0146,151.037881,151.037881,0.0125,0,1049.60827
