s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7281294,15.7281294,0.2,0,0.188330889
0.0004,18.9562589,18.9562589,0.2,0,0.396330833
0.0006,22.1843883,22.1843883,0.2,0,0.740638733
0.0008,25.4125177,25.4125177,0.2,0,0.950593948
0.001,28.6322939,28.6322939,0.2,0,1.4888432
0.0012,31.8276295,31.8276295,0.4,0,2.13114786
0.0016,38.1117823,38.1117823,0.4,0,2.64474678
0.002,43.531715,43.531715,0.4,0,3.2888279
0.0024,47.470813,47.470813,0.4,0,4.11910152
0.0028,50.6425541,50.6425541,0.4,0,4.82496166
0.0032,53.3641408,53.3641408,0.4,0,5.69104099
0.0036,55.7653645,55.7653645,0.8,0,6.42900729
0.004,57.9946873,57.9946873,0.4,0,22.7994642
0.0044,60.0023901,60.0023901,0.4,0,23.6234055
0.0048,61.8380217,61.8380217,0.4,0,24.5879457
0.0052,63.5906409,63.5906409,0.4,0,25.6816103
0.0056,65.2984692,65.2984692,0.4,0,27.2278292
0.006,66.9968177,66.9968177,0.8,0,28.6075437
0.0068,70.4616532,70.4616532,0.8,1,39.5402412
0.0076,73.8437932,73.8437932,0.8,0,40.431319
0.0084,76.8172534,76.8172534,0.8,0,41.8988674
0.0092,79.501252,79.501252,0.8,0,43.4177458
0.01,81.9964522,81.9964522,0.8,0,46.1647787
0.0108,84.4109628,84.4109628,1,0,47.0259125
0.0113,85.9018126,85.9018126,0.5,0,67.7811863
0.0118,87.3612527,87.3612527,0.5,0,68.3573458
0.0123,88.7917134,88.7917134,0.5,0,69.0587926
0.0128,90.1763492,90.1763492,0.5,0,70.0068333
0.0133,91.5115255,91.5115255,0.5,0,71.3135026
0.0138,92.7793408,92.7793408,1,0,72.2471795
0.0143,93.9981058,93.9981058,0.5,0,91.5937917
0.0148,95.1869673,95.1869673,0.5,0,92.8379383
0.0153,96.3497033,96.3497033,0.5,0,94.269917
0.0158,97.4854247,97.4854247,0.5,0,95.7440348
0.0163,98.6019788,98.6019788,0.5,0,96.6543648
0.0168,99.6942643,99.6942643,1,0,97.6435134
0.0178,101.777133,101.777133,1,1,111.880726
0.0183,102.819115,102.819115,0.5,0,133.797819
0.0188,103.817246,103.817246,0.5,0,134.89324
0.0193,104.793534,104.793534,0.5,0,135.707469
0.0198,105.746273,105.746273,0.5,0,136.504466
0.0203,106.681382,106.681382,0.5,0,137.999805
0.0208,107.600766,107.600766,1,0,139.035714
0.0213,108.499122,108.499122,0.5,0,158.040438
0.0218,109.377038,109.377038,0.5,0,159.077392
0.0223,110.232542,110.232542,0.5,0,160.491586
0.0228,111.068668,111.068668,0.5,0,161.689903
0.0233,111.888508,111.888508,0.5,0,162.62872
0.0238,112.69746,112.69746,1,0,163.900067
0.0243,113.484126,113.484126,0.5,0,183.737461
0.0248,114.251745,114.251745,0.5,0,184.7989
0.0253,115.008507,115.008507,0.5,0,185.78961
0.0258,115.747149,115.747149,0.5,0,187.165658
0.0263,116.469527,116.469527,0.5,0,188.410901
0.0268,117.174356,117.174356,1,0,189.476703
0.0273,117.866318,117.866318,0.5,0,208.639768
0.0278,118.543778,118.543778,0.5,0,209.691448
0.0283,119.211005,119.211005,0.5,0,211.068428
0.0288,119.86839,119.86839,0.5,0,212.096872
0.0293,120.515062,120.515062,0.5,0,213.259242
0.0298,121.149301,121.149301,1,0,214.27237
0.0303,121.770314,121.770314,0.5,0,235.043059
0.0308,122.379579,122.379579,0.5,0,236.282117
0.0313,122.979453,122.979453,0.5,0,237.36809
0.0318,123.570131,123.570131,0.5,0,238.826188
0.0323,124.145081,124.145081,0.5,0,240.138925
0.0328,124.707864,124.707864,1,0,241.76575
0.0333,125.263022,125.263022,0.5,0,261.437711
0.0338,125.80933,125.80933,0.5,0,262.947919
0.0343,126.344258,126.344258,0.5,0,264.097359
0.0348,126.871258,126.871258,0.5,0,265.416222
0.0353,127.389,127.389,0.5,0,266.667186
0.0358,127.894381,127.894381,1,0,267.81988
0.0363,128.388227,128.388227,0.5,0,289.195738
0.0368,128.870308,128.870308,0.5,0,290.427771
0.0373,129.340389,129.340389,0.5,0,291.837175
0.0378,129.805559,129.805559,0.5,0,293.186935
0.0383,130.256791,130.256791,0.5,0,294.4888
0.0388,130.697181,130.697181,1,0,295.562469
0.0393,131.123931,131.123931,0.5,0,315.584363
0.0398,131.528372,131.528372,0.5,0,316.720812
0.0403,131.920837,131.920837,0.5,0,318.304488
0.0408,132.297966,132.297966,0.5,0,319.610919
0.0413,132.663384,132.663384,0.5,0,321.195712
0.0418,133.025921,133.025921,1,0,322.824483
0.0423,133.379575,133.379575,0.5,0,343.7265
0.0428,133.728914,133.728914,0.5,0,346.106658
0.0433,134.068417,134.068417,0.5,0,348.299324
0.0438,134.402984,134.402984,0.5,0,350.913787
0.0443,134.728983,134.728983,0.5,0,353.304495
0.0448,135.039289,135.039289,1,1,365.858404
0.0453,135.335404,135.335404,0.5,1,396.417199
0.0458,135.594954,135.594954,0.5,1,409.222234
0.0463,135.832078,135.832078,0.5,1,422.43228
0.04655,135.937497,135.937497,0.25,0,442.033556
0.0468,136.036076,136.036076,0.25,0,442.927387
0.04705,136.131209,136.131209,0.25,0,443.78348
0.0473,136.223135,136.223135,0.25,0,445.217449
0.04755,136.31233,136.31233,0.25,0,446.425378
0.0478,136.398691,136.398691,0.5,0,447.409204
0.04805,136.482728,136.482728,0.25,0,465.6689
0.0483,136.564104,136.564104,0.25,0,466.754712
0.04855,136.643261,136.643261,0.25,0,467.587554
0.0488,136.720039,136.720039,0.25,0,468.967718
0.04905,136.794783,136.794783,0.25,0,470.033598
0.0493,136.867422,136.867422,0.5,0,471.180435
0.04955,136.938338,136.938338,0.25,0,489.995367
0.0498,137.007328,137.007328,0.25,0,490.998693
0.05005,137.074716,137.074716,0.25,0,493.013781
0.0503,137.140089,137.140089,0.25,0,494.167602
0.05055,137.204289,137.204289,0.25,0,495.039351
0.0508,137.266656,137.266656,0.5,0,495.8109
0.05105,137.326955,137.326955,0.25,0,512.647523
0.0513,137.384124,137.384124,0.25,0,513.83814
0.05155,137.43853,137.43853,0.25,0,514.621289
0.0518,137.490981,137.490981,0.25,0,515.572879
0.05205,137.541145,137.541145,0.25,0,516.37416
0.0523,137.589604,137.589604,0.5,0,517.242931
