s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7281294,15.7281294,0.2,0,0.203841448
0.0004,18.9562589,18.9562589,0.2,0,0.579712868
0.0006,22.1843883,22.1843883,0.2,0,0.895472765
0.0008,25.4125177,25.4125177,0.2,0,1.22286034
0.001,28.6406471,28.6406471,0.2,0,1.76938558
0.0012,31.8687766,31.8687766,0.4,0,2.00570464
0.0016,38.3250354,38.3250354,0.4,0,2.41245317
0.002,44.7812943,44.7812943,0.4,0,2.69073939
0.0024,51.2375532,51.2375532,0.4,0,3.04495955
0.0028,57.693812,57.693812,0.4,0,3.28922915
0.0032,64.1500709,64.1500709,0.4,0,3.61279988
0.0036,70.6052705,70.6052705,0.8,0,4.06785703
0.0044,83.5117598,83.5117598,0.8,0,4.62833023
0.0052,96.4054797,96.4054797,0.8,0,5.34414363
0.006,109.287452,109.287452,0.8,0,6.02259898
0.0068,122.13953,122.13953,0.8,0,6.90407228
0.0076,134.942599,134.942599,0.8,0,8.59055448
0.0084,147.671655,147.671655,1,0,9.97089744
0.0094,163.486955,163.486955,1,0,11.4399579
0.0104,179.155411,179.155411,1,0,12.9229548
0.0114,194.735571,194.735571,1,1,30.3993688
0.0124,210.173548,210.173548,1,0,32.14273
0.0134,225.419365,225.419365,1,0,34.3925784
0.0144,240.735012,240.735012,1,0,35.3753109
0.0149,248.378062,248.378062,0.5,0,62.7811446
0.0154,255.997411,255.997411,0.5,0,64.0018623
0.0159,263.601911,263.601911,0.5,0,65.4055171
0.0164,271.197322,271.197322,0.5,0,66.9449785
0.0169,278.788927,278.788927,0.5,0,68.5585577
0.0174,286.372153,286.372153,1,0,69.8836057
0.0179,293.946174,293.946174,0.5,0,97.3749018
0.0184,301.51551,301.51551,0.5,0,98.9237604
0.0189,309.079829,309.079829,0.5,0,100.131284
0.0194,316.636161,316.636161,0.5,0,101.161384
0.0199,324.172581,324.172581,0.5,0,102.998361
0.0204,331.70438,331.70438,1,0,104.564092
0.0209,339.222098,339.222098,0.5,0,132.412006
0.0214,346.734646,346.734646,0.5,0,133.607903
0.0219,354.244069,354.244069,0.5,0,134.988212
0.0224,361.750759,361.750759,0.5,0,136.216665
0.0229,369.251876,369.251876,0.5,0,137.320769
0.0234,376.748564,376.748564,1,0,138.510145
0.0239,384.22795,384.22795,0.5,0,167.181366
0.0244,391.729275,391.729275,0.5,0,169.252969
