s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,19.7757626,19.7757626,0.2,0,0.778760195
0.0004,28.2993562,28.2993562,0.2,0,1.55615497
0.0006,36.8201507,36.8201507,0.2,0,2.42585921
0.0008,45.3282556,45.3282556,0.2,0,3.66133976
0.001,53.729811,53.729811,0.2,0,5.42913818
0.0012,61.991051,61.991051,0.4,0,7.09567046
0.0016,78.1429537,78.1429537,0.4,0,8.40701842
0.002,93.9644209,93.9644209,0.4,1,37.9431653
0.0024,109.517538,109.517538,0.4,0,39.7513378
0.0028,124.929646,124.929646,0.4,0,41.2547939
0.003,132.585634,132.585634,0.2,0,83.8373747
0.0032,140.207607,140.207607,0.2,0,85.6837659
0.0034,147.80208,147.80208,0.2,0,87.0277786
0.0036,155.365679,155.365679,0.2,0,88.5593915
0.0038,162.917178,162.917178,0.2,0,90.8525429
0.004,170.440164,170.440164,0.4,0,92.4972148
0.0042,177.959843,177.959843,0.2,0,133.690129
0.0044,185.451473,185.451473,0.2,0,135.377749
0.0046,192.942013,192.942013,0.2,0,137.272681
0.0048,200.405748,200.405748,0.2,0,138.956572
0.005,207.874188,207.874188,0.2,0,141.018129
0.0052,215.306673,215.306673,0.4,0,143.755355
0.0054,222.753595,222.753595,0.2,0,186.669492
0.0056,230.169854,230.169854,0.2,0,189.077378
0.0058,237.598686,237.598686,0.2,0,190.610675
0.006,244.996269,244.996269,0.2,0,192.705123
0.0062,252.406985,252.406985,0.2,0,194.19337
0.0064,259.737356,259.737356,0.4,1,223.38898
0.0066,267.134802,267.134802,0.2,0,266.092244
0.0068,274.528638,274.528638,0.2,0,268.511871
0.007,281.915511,281.915511,0.2,0,271.232648
0.0072,289.270437,289.270437,0.2,0,273.826889
0.0074,296.645515,296.645515,0.2,0,275.550979
0.0076,303.988073,303.988073,0.4,0,278.393735
0.0078,311.350772,311.350772,0.2,0,321.177324
0.008,318.662197,318.662197,0.2,0,324.078151
0.0082,326.019581,326.019581,0.2,0,326.808755
0.0084,333.339863,333.339863,0.2,0,328.785259
0.0086,340.685531,340.685531,0.2,0,330.754191
0.0088,348.025561,348.025561,0.4,0,332.381746
0.009,355.324134,355.324134,0.2,0,373.971603
0.0092,362.654246,362.654246,0.2,0,376.383574
0.0094,369.928856,369.928856,0.2,0,379.804238
0.0096,377.255319,377.255319,0.2,0,382.79867
0.0098,384.535568,384.535568,0.2,0,385.767752
0.01,391.852988,391.852988,0.4,0,388.619514
0.0102,399.132798,399.132798,0.2,0,432.538602
0.0104,406.442294,406.442294,0.2,0,435.236503
0.0105,410.095708,410.095708,0.1,0,478.759478
0.0106,413.747664,413.747664,0.1,0,480.446284
0.0107,417.398521,417.398521,0.1,0,483.568126
0.0108,421.048499,421.048499,0.1,0,485.450628
0.0109,424.697602,424.697602,0.1,0,487.655127
0.011,428.330191,428.330191,0.2,0,490.614265
0.0111,431.977601,431.977601,0.1,0,536.181779
0.0112,435.603847,435.603847,0.1,0,538.44448
0.0113,439.250056,439.250056,0.1,0,541.336918
0.0114,442.89538,442.89538,0.1,0,542.970283
0.0115,446.519082,446.519082,0.1,0,547.187925
0.0116,450.162478,450.162478,0.2,0,549.374216
0.0117,453.804603,453.804603,0.1,0,591.341585
0.0118,457.430538,457.430538,0.1,0,593.093605
0.0119,461.071691,461.071691,0.1,0,595.074481
0.012,464.690989,464.690989,0.1,0,597.770677
0.0121,468.330771,468.330771,0.1,0,599.494102
0.0122,471.969265,471.969265,0.2,0,601.230674
0.0123,475.590778,475.590778,0.1,0,650.283131
0.0124,479.227828,479.227828,0.1,0,652.530864
0.0125,482.833215,482.833215,0.1,0,658.463673
0.0126,486.470687,486.470687,0.1,0,660.411179
0.0127,490.10641,490.10641,0.1,0,661.907851
0.0128,493.723659,493.723659,0.2,0,664.829121
