s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,15.7281294,15.7281294,0.2,0,0.241081238
0.0004,18.9562589,18.9562589,0.2,0,0.495226622
0.0006,22.1843883,22.1843883,0.2,0,0.757718086
0.0008,25.4125177,25.4125177,0.2,0,1.03130579
0.001,28.6406471,28.6406471,0.2,0,1.32142448
0.0012,31.8687766,31.8687766,0.4,0,1.54268193
0.0016,38.3250354,38.3250354,0.4,0,1.81954765
0.002,44.7812943,44.7812943,0.4,0,2.03415608
0.0024,51.2375532,51.2375532,0.4,0,2.24899578
0.0028,57.693812,57.693812,0.4,0,2.65387821
0.0032,64.1500709,64.1500709,0.4,0,3.21092916
0.0036,70.5838316,70.5838316,0.8,0,3.51752877
0.0044,83.3856612,83.3856612,0.8,0,3.88059282
0.0052,96.1255983,96.1255983,0.8,0,4.20988154
0.006,108.641548,108.641548,0.8,0,4.64775038
0.0068,120.999395,120.999395,0.8,0,5.18511128
0.0076,132.968104,132.968104,0.8,0,6.04277253
0.0084,144.243738,144.243738,1,0,6.61144447
0.0094,157.329377,157.329377,1,0,7.35547924
0.0104,169.038689,169.038689,1,0,8.99987245
0.0114,178.63083,178.63083,1,0,12.4908328
0.0124,184.735134,184.735134,1,1,27.2434359
0.0134,186.920108,186.920108,1,1,42.2756081
0.0144,188.579312,188.579312,1,1,59.7204006
0.0154,191.478056,191.478056,1,1,75.4795637
0.0164,196.508561,196.508561,1,0,84.6378016
0.0174,201.933252,201.933252,1,0,86.6466115
0.0184,207.886624,207.886624,1,1,103.141054
0.0194,213.993669,213.993669,1,0,104.410767
0.0204,220.18243,220.18243,1,0,106.598034
0.0214,226.161676,226.161676,1,0,108.11915
0.0224,232.008066,232.008066,1,0,110.383841
0.0234,237.092439,237.092439,1,0,112.138674
0.0244,242.460365,242.460365,1,0,114.274317
0.0254,251.254565,251.254565,1,0,116.373751
0.0264,251.210365,251.210365,1,1,130.707418
0.0274,261.906671,261.906671,1,0,132.077938
0.0284,268.650161,268.650161,1,1,148.059855
0.0289,260.235042,260.235042,0.5,1,190.493684
0.0294,266.818896,266.818896,0.5,0,191.841431
0.0299,272.584822,272.584822,0.5,0,193.967752
0.0304,277.926145,277.926145,0.5,0,195.711646
0.0309,282.675638,282.675638,0.5,0,197.148747
0.0314,286.895747,286.895747,1,0,198.753648
0.0319,289.964984,289.964984,0.5,0,221.386416
