s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,19.7757846,19.7757846,0.2,0,0.739985228
0.0004,28.2882639,28.2882639,0.2,0,1.74815559
0.0006,36.7826498,36.7826498,0.2,0,2.68138695
0.0008,45.1918755,45.1918755,0.2,0,4.14005375
0.001,52.9350822,52.9350822,0.2,0,5.47957397
0.0012,59.8551695,59.8551695,0.4,0,7.08859801
0.0016,71.9498417,71.9498417,0.4,0,10.098515
0.002,82.595233,82.595233,0.4,0,13.4831629
0.0022,87.1521587,87.1521587,0.2,1,86.524543
0.0023,88.869155,88.869155,0.1,0,135.001688
0.0024,90.2270415,90.2270415,0.1,0,149.807903
0.0025,91.3202631,91.3202631,0.1,0,155.798557
0.0026,92.3084371,92.3084371,0.1,1,186.092565
0.0027,93.3713896,93.3713896,0.1,0,190.179338
0.0028,94.5363211,94.5363211,0.2,0,193.934442
0.0029,95.826467,95.826467,0.1,0,241.690902
0.003,97.1933236,97.1933236,0.1,0,245.534449
0.0031,98.5862064,98.5862064,0.1,0,250.470872
0.0032,100.03489,100.03489,0.1,0,255.947745
0.0033,101.572586,101.572586,0.1,0,261.098484
0.0034,103.15554,103.15554,0.2,0,267.056865
0.0035,104.704615,104.704615,0.1,0,326.514637
0.0036,107.232967,107.232967,0.1,1,353.359177
0.00365,107.571882,107.571882,0.05,1,426.763014
0.0037,107.948257,107.948257,0.05,1,463.07848
0.00375,109.337326,109.337326,0.05,1,490.048537
0.0038,110.366379,110.366379,0.05,1,520.984714
0.00385,109.976847,109.976847,0.05,1,554.667502
0.0039,110.563872,110.563872,0.1,0,561.176121
0.004,112.404555,112.404555,0.1,1,589.267473
0.00405,113.670139,113.670139,0.05,1,654.813025
0.0041,113.83751,113.83751,0.05,1,690.436344
0.00415,115.162283,115.162283,0.05,1,717.080298
0.0042,116.191064,116.191064,0.05,1,747.203218
0.00425,117.272971,117.272971,0.05,1,773.136548
0.0043,116.826852,116.826852,0.1,1,814.850064
0.0044,118.338465,118.338465,0.1,1,850.050456
0.004425,118.903583,118.903583,0.025,1,961.658732
0.00445,119.617462,119.617462,0.025,1,986.388234
0.004475,119.810005,119.810005,0.025,1,1016.67574
0.0045,119.200021,119.200021,0.025,1,1052.15987
0.004525,119.597848,119.597848,0.025,0,1056.76172
0.00455,120.276649,120.276649,0.05,0,1060.61931
0.0046,121.444647,121.444647,0.05,0,1064.50835
0.00465,122.509121,122.509121,0.05,1,1091.70743
0.0047,123.455271,123.455271,0.05,1,1118.90393
0.00475,124.532325,124.532325,0.05,1,1143.76464
0.0048,123.596897,123.596897,0.05,1,1183.62124
0.00485,124.704675,124.704675,0.1,1,1213.89847
0.0049,123.889695,123.889695,0.05,1,1298.42546
