s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.0005,0.00025,19.3547759,19.3547759,2000,0,0.000125547021,0.0540526099,nan,56.0403621
0.001,0.0005,28.541855,28.541855,2000,0,5.68596507e-06,0.0687013412,nan,109.266666
0.0015,0.00075,35.4997052,35.4997052,2000,0,6.05165048e-05,0.0839399954,nan,164.606291
0.002,0.001,41.5327304,41.5327304,2000,0,1.11947147e-05,0.0900659475,nan,241.758102
0.0025,0.00125,44.6596581,44.6596581,2000,0,5.36655148e-05,0.095017382,nan,309.432985
0.003,0.0015,48.6181203,48.6181203,2000,0,4.79267924e-05,0.0953404864,nan,532.859098
0.0035,0.00175,51.3525148,51.3525148,2000,0,2.05293945e-05,0.0605442801,nan,605.321911
0.004,0.002,55.1323472,55.1323472,2000,0,2.90175931e-05,0.0868739669,nan,659.041382
0.0045,0.00225,55.3838217,55.3838217,2000,0,4.75629734e-05,0.0856790032,nan,707.622574
0.005,0.0025,57.1491893,57.1491893,2000,0,5.37762353e-05,0.108244278,nan,757.947007
0.0055,0.00275,61.5921758,61.5921758,2000,0,3.801237e-07,0.122442156,nan,1005.74066
0.006,0.003,63.5579144,63.5579144,2000,0,7.441452e-06,0.127968479,nan,1054.65531
0.0065,0.00325,62.3930368,62.3930368,2000,0,7.61912548e-05,0.16105033,nan,1118.79499
0.007,0.0035,64.958445,64.958445,2000,0,6.06131535e-05,0.143933526,nan,1205.29331
0.0075,0.00375,66.6659301,66.6659301,2000,0,5.91564535e-05,0.134347269,nan,1254.57763
0.008,0.004,69.4978615,69.4978615,2000,0,4.1404511e-05,0.0934859217,nan,1492.88897
0.0085,0.00425,69.1835112,69.1835112,2000,0,5.57407669e-05,0.102494187,nan,1549.4308
0.009,0.0045,70.3145615,70.3145615,2000,0,6.43124127e-05,0.136011283,nan,1601.02959
0.0095,0.00475,74.7817824,74.7817824,2000,0,1.55048828e-05,0.101884524,nan,1656.33813
0.01,0.005,74.8997991,74.8997991,2000,0,3.47447433e-05,0.0792870349,nan,1723.45652
0.0105,0.00525,76.5055494,76.5055494,2000,0,1.55603527e-05,0.12203576,nan,1953.80503
0.011,0.0055,76.0266995,76.0266995,2000,0,5.76080963e-05,0.105709031,nan,2017.38752
0.0115,0.00575,78.2083083,78.2083083,2000,0,3.62807539e-06,0.143236568,nan,2096.18923
0.012,0.006,79.8656246,79.8656246,2000,0,1.94815442e-06,0.102622417,nan,2152.7361
0.0125,0.00625,82.6002942,82.6002942,2000,0,1.11125885e-05,0.0791232779,nan,2208.06017
0.013,0.0065,81.1909427,81.1909427,2000,0,4.97023961e-05,0.120191341,nan,2469.37395
0.0135,0.00675,82.8643193,82.8643193,2000,0,3.40965462e-06,0.13001485,nan,2531.86077
0.014,0.007,85.5327083,85.5327083,2000,0,2.94807518e-05,0.0837365613,nan,2596.94192
0.0145,0.00725,84.727044,84.727044,2000,0,2.96618541e-06,0.125438498,nan,2699.78992
0.015,0.0075,85.3062169,85.3062169,2000,0,5.75684642e-05,0.10354046,nan,2761.91222
0.0155,0.00775,86.7074677,86.7074677,2000,0,5.42354321e-05,0.117910321,nan,3037.11097
0.016,0.008,88.6145676,88.6145676,2000,0,6.45572534e-05,0.0685576124,nan,3099.13985
0.0165,0.00825,90.3756739,90.3756739,2000,0,2.03327743e-06,0.0856622588,nan,3161.81503
0.017,0.0085,90.8229234,90.8229234,2000,0,5.40874697e-05,0.128663147,nan,3247.51145
0.0175,0.00875,91.2057335,91.2057335,2000,0,4.67054223e-05,0.100481382,nan,3322.57684
0.018,0.009,94.3742021,94.3742021,2000,0,3.09891842e-05,0.105958873,nan,3522.61278
0.0185,0.00925,94.0642614,94.0642614,2000,0,3.84766376e-06,0.177154685,nan,3612.70302
0.019,0.0095,92.9287904,92.9287904,2000,0,5.33262698e-05,0.135848955,nan,3672.92064
0.0195,0.00975,94.2641186,94.2641186,2000,0,4.56607333e-05,0.0956993309,nan,3721.53265
0.02,0.01,95.5826766,95.5826766,2000,0,2.05058297e-06,0.0855196549,nan,3774.67618
0.0205,0.01025,98.9453862,98.9453862,2000,0,7.55919048e-06,0.153488915,nan,4029.43415
0.021,0.0105,97.5816289,97.5816289,2000,0,2.62855324e-05,0.0730120955,nan,4090.66277
0.0215,0.01075,98.525807,98.525807,2000,0,3.25123958e-05,0.12484221,nan,4181.35509
0.022,0.011,101.529966,101.529966,2000,0,1.18852433e-06,0.13165355,nan,4245.45138
0.0225,0.01125,100.335195,100.335195,2000,0,6.39669757e-05,0.560677494,nan,4304.70004
0.023,0.0115,101.437415,101.437415,2000,0,2.21676183e-05,0.497415218,nan,4545.2593
0.0235,0.01175,101.891392,101.891392,2000,0,1.09959212e-06,0.700307209,nan,4598.92463
0.024,0.012,104.534264,104.534264,2000,0,6.46779497e-05,0.928315116,nan,4652.14711
0.0245,0.01225,106.077261,106.077261,2000,0,2.85388118e-06,0.963587728,nan,4720.98457
0.025,0.0125,106.695256,106.695256,2000,0,6.55044119e-05,1.09766687,nan,4800.34006
0.0255,0.01275,105.730058,105.730058,2000,0,1.16972072e-05,0.895905249,nan,5264.64411
0.026,0.013,110.763897,110.763897,2000,0,1.83901907e-06,1.15235112,nan,5340.1829
0.0265,0.01325,111.092604,111.092604,2000,0,7.61850198e-06,1.15949052,nan,5413.32641
0.027,0.0135,113.071473,113.071473,2000,0,7.5711249e-05,1.31329491,nan,5473.94037
0.0275,0.01375,113.687673,113.687673,2000,0,4.99578298e-05,1.70556904,nan,5530.10393
