s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,27.9165787,27.9165787,2000,0,3.88379355e-07,0.0515675201,nan,52.9850562
0.002,0.001,41.4284233,41.4284233,2000,0,2.29229309e-05,0.0888721487,nan,133.712757
0.003,0.0015,47.1302251,47.1302251,2000,0,9.3225884e-05,0.121363013,nan,190.469563
0.004,0.002,55.8910589,55.8910589,2000,0,2.8288357e-05,0.107449428,nan,244.746818
0.005,0.0025,57.9419621,57.9419621,2000,0,4.68286954e-05,0.121459605,nan,302.517893
0.006,0.003,62.1711773,62.1711773,2000,0,3.93940725e-05,0.118232529,nan,363.618676
0.007,0.0035,63.8114189,63.8114189,2000,0,0.000112980341,0.160193507,nan,445.620627
0.008,0.004,68.3416945,68.3416945,2000,0,1.29978485e-06,0.122992019,nan,506.113862
0.009,0.0045,70.0793073,70.0793073,2000,0,0.000101581228,0.224247504,nan,560.553506
0.01,0.005,74.965518,74.965518,2000,0,1.80401134e-06,0.109325414,nan,616.519714
0.011,0.0055,78.7713755,78.7713755,2000,0,4.68986673e-06,0.181858767,nan,808.640461
0.012,0.006,79.6303826,79.6303826,2000,0,5.21242269e-05,0.141333079,nan,865.63732
0.013,0.0065,81.7113498,81.7113498,2000,0,4.90565505e-05,0.1186712,nan,919.534059
0.014,0.007,86.6688387,86.6688387,2000,0,4.27869176e-06,0.101105267,nan,990.972739
0.015,0.0075,86.8008568,86.8008568,2000,0,6.94896318e-07,0.100742776,nan,1067.32549
0.016,0.008,92.1261548,92.1261548,2000,0,1.16852821e-05,0.192768525,nan,1123.78717
0.017,0.0085,89.7988859,89.7988859,2000,0,6.65763851e-05,0.20376963,nan,1177.33866
0.018,0.009,92.5160018,92.5160018,2000,0,1.93763448e-06,0.122931032,nan,1229.5047
0.019,0.0095,93.7478908,93.7478908,2000,0,4.00253012e-07,0.065761855,nan,1302.19327
0.02,0.01,94.7154999,94.7154999,2000,0,2.78676299e-05,0.0972715319,nan,1376.47612
0.021,0.0105,98.2496302,98.2496302,2000,0,1.78739949e-05,0.0884133486,nan,1537.6275
0.022,0.011,98.3224092,98.3224092,2000,0,2.35114944e-06,0.095929911,nan,1618.98244
0.023,0.0115,102.795135,102.795135,2000,0,3.00758105e-06,0.754867089,nan,1684.53265
0.024,0.012,106.127787,106.127787,2000,0,8.70845383e-06,0.710735439,nan,1743.8875
0.025,0.0125,108.333805,108.333805,2000,0,1.73538049e-05,0.85084133,nan,1804.26643
0.026,0.013,111.746961,111.746961,2000,0,6.6135695e-05,1.38538599,nan,1870.11935
0.027,0.0135,111.252891,111.252891,2000,0,5.37053691e-05,1.7698353,nan,1960.43049
0.028,0.014,119.767153,119.767153,2000,0,2.21294947e-05,1.69987849,nan,2025.00138
0.029,0.0145,124.49509,124.49509,2000,0,6.62907117e-07,2.05800029,nan,2089.54869
0.03,0.015,125.863345,125.863345,2000,0,6.23646647e-06,2.01698538,nan,2152.43089
0.031,0.0155,112.59822,112.59822,2000,0,8.70230555e-07,1.70179195,nan,3474.02288
0.032,0.016,123.530441,123.530441,2000,0,5.66421214e-05,3.48156685,nan,3535.4046
