s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,26.4199254,26.4199254,7400,1,1.21656242e-11,1.59384473e-05,0.000404732957,173.013262
0.002,0.001,38.709586,38.709586,6900,1,1.82467532e-10,9.9122925e-05,0.00656809215,345.290905
0.003,0.0015,46.0434934,46.0434934,6900,1,1.85672321e-12,2.3098988e-05,0.00342950515,523.190097
0.004,0.002,51.3637365,51.3637365,6900,1,2.4502995e-12,1.77751762e-05,0.000634377253,689.29586
0.005,0.0025,55.7343637,55.7343637,6900,1,3.96631901e-14,3.73781002e-06,0.00177758415,792.569367
0.006,0.003,59.7399219,59.7399219,6900,1,8.57120421e-15,5.34426781e-06,0.00177530544,914.94777
0.007,0.0035,63.0585229,63.0585229,6900,1,3.97284158e-14,3.11929857e-05,0.000411724676,1025.85722
0.008,0.004,66.0913178,66.0913178,7400,1,1.46746324e-13,6.31141362e-05,1.24508634e-06,1116.57235
0.009,0.0045,69.0107941,69.0107941,6900,1,1.45429363e-12,1.93096796e-05,0.00075595584,1200.46863
0.01,0.005,71.7175658,71.7175658,6900,1,3.05750572e-15,4.37937824e-06,2.36728874e-05,1295.84716
0.011,0.0055,74.4233403,74.4233403,6900,1,3.34676425e-11,3.17052468e-05,0.000825699436,1379.33957
0.012,0.006,76.6457269,76.6457269,6900,1,2.41107018e-13,5.80946165e-06,0.00133336853,1465.0026
