s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,29.0562753,29.0562753,2000,0,2.53537121e-06,0.0260864392,nan,86.3904855
0.002,0.001,43.7430082,43.7430082,2000,0,8.30619689e-06,0.0655882482,nan,147.018767
0.003,0.0015,51.7280858,51.7280858,2000,0,1.20706285e-05,0.0352146089,nan,207.21999
0.004,0.002,58.195376,58.195376,2000,0,5.77344331e-06,0.0305069063,nan,273.719051
0.005,0.0025,63.0980528,63.0980528,2000,0,3.76897185e-06,0.0480369698,nan,356.204344
0.006,0.003,67.0692281,67.0692281,2000,0,9.99263716e-06,0.0479041046,nan,430.357375
0.007,0.0035,71.5853485,71.5853485,2000,0,1.63356311e-06,0.0468924259,nan,492.461539
0.008,0.004,76.0159988,76.0159988,2000,0,7.12757528e-06,0.0315765376,nan,556.521599
0.009,0.0045,79.2245306,79.2245306,2000,0,9.42634423e-06,0.0527006826,nan,629.819483
0.01,0.005,82.3820845,82.3820845,2000,0,2.89790547e-06,0.0351449066,nan,710.377769
0.011,0.0055,85.169533,85.169533,2000,0,9.95399208e-06,0.0267876214,nan,914.087382
0.012,0.006,88.2596779,88.2596779,2000,0,1.22712119e-06,0.055568904,nan,1003.27302
0.013,0.0065,90.8243074,90.8243074,2000,0,9.21440448e-06,0.0447232066,nan,1067.59
0.014,0.007,92.5010504,92.5010504,2000,0,1.08708326e-05,0.0424263832,nan,1129.9674
0.015,0.0075,95.6210501,95.6210501,2000,0,4.64874682e-06,0.0491226752,nan,1189.52839
0.016,0.008,97.9110534,97.9110534,2000,0,3.10452462e-06,0.0343359383,nan,1279.95257
0.017,0.0085,99.9453709,99.9453709,2000,0,2.57135795e-07,0.0291896369,nan,1351.01341
0.018,0.009,101.827744,101.827744,2000,0,6.05624485e-06,0.0394798993,nan,1413.58613
0.019,0.0095,104.286246,104.286246,2000,0,2.37478139e-06,0.0557691721,nan,1478.78623
0.02,0.01,105.782166,105.782166,2000,0,8.18986855e-06,0.0408261039,nan,1567.06565
0.021,0.0105,108.414971,108.414971,2000,0,8.11860742e-07,0.0481835448,nan,1770.33113
0.022,0.011,109.792631,109.792631,2000,0,1.09747876e-07,0.033849349,nan,1860.89331
0.023,0.0115,111.786535,111.786535,2000,0,1.69943737e-06,0.0758462425,nan,1942.48832
0.024,0.012,112.707116,112.707116,2000,0,1.30278896e-07,0.039689414,nan,2015.80431
0.025,0.0125,114.036423,114.036423,2000,0,8.227457e-06,0.0332361175,nan,2087.77784
0.026,0.013,115.806609,115.806609,2000,0,4.51028861e-06,0.0615855236,nan,2190.84249
0.027,0.0135,117.198609,117.198609,2000,0,6.26703846e-06,0.0382411999,nan,2264.86034
0.028,0.014,118.049422,118.049422,2000,0,9.30608579e-06,0.0294403247,nan,2337.58325
0.029,0.0145,120.22564,120.22564,2000,0,5.56773988e-06,0.042098989,nan,2407.93925
0.03,0.015,121.80042,121.80042,2000,0,1.5548753e-06,0.0486150155,nan,2510.07727
0.031,0.0155,122.571635,122.571635,2000,0,1.55047925e-07,0.0438563411,nan,2735.99601
0.032,0.016,123.774907,123.774907,2000,0,6.87718127e-06,0.0535909135,nan,2826.91829
0.033,0.0165,124.871561,124.871561,2000,0,5.01438358e-07,0.0425433593,nan,2893.76777
0.034,0.017,125.60086,125.60086,2000,0,6.09519463e-06,0.0445545337,nan,2960.2625
0.035,0.0175,127.256309,127.256309,2000,0,3.96220445e-06,0.0537216789,nan,3037.43218
0.036,0.018,128.195068,128.195068,2000,0,1.87168805e-06,0.0390608604,nan,3121.03223
0.037,0.0185,129.358599,129.358599,2000,0,2.73022126e-07,0.032516563,nan,3188.04291
0.038,0.019,130.578067,130.578067,2000,0,6.91774941e-07,0.0777112918,nan,3253.42792
0.039,0.0195,130.077771,130.077771,2000,0,8.07128396e-06,0.041674625,nan,3332.71413
0.04,0.02,131.665071,131.665071,2000,0,6.91531494e-07,0.0746171348,nan,3417.21843
0.041,0.0205,132.641718,132.641718,2000,0,3.05616317e-07,0.0373481891,nan,3620.95081
0.042,0.021,133.281296,133.281296,2000,0,3.66515198e-06,0.0407991858,nan,3715.58917
0.043,0.0215,133.737349,133.737349,2000,0,3.36819605e-07,0.0396335812,nan,3785.47945
0.044,0.022,134.229502,134.229502,2000,0,2.73620014e-07,0.0387595242,nan,3857.06391
0.045,0.0225,135.275651,135.275651,2000,0,4.8468527e-06,0.0544967489,nan,3943.86543
0.046,0.023,136.539055,136.539055,2000,0,7.77040534e-07,0.0712495869,nan,4030.32246
0.047,0.0235,136.381394,136.381394,2000,0,7.26195349e-07,0.0695385148,nan,4099.76131
0.048,0.024,136.68726,136.68726,2000,0,2.79445502e-06,0.0791099939,nan,4164.35484
0.049,0.0245,136.682733,136.682733,2000,0,1.35697865e-07,0.0174731275,nan,4252.57023
0.05,0.025,137.520619,137.520619,2000,0,3.96806004e-06,0.0500717923,nan,4335.88468
0.051,0.0255,138.017736,138.017736,2000,0,8.41149338e-07,0.0596114427,nan,4545.78003
0.052,0.026,137.668039,137.668039,2000,0,6.77197345e-06,0.045052394,nan,4630.26215
0.053,0.0265,138.752108,138.752108,2000,0,7.93930677e-07,0.0560247599,nan,4698.91361
0.054,0.027,138.483304,138.483304,2000,0,1.35378562e-06,0.0593098869,nan,4765.65901
0.055,0.0275,138.513611,138.513611,2000,0,6.39125576e-07,0.0542401651,nan,4849.64315
0.056,0.028,137.779363,137.779363,2000,0,5.99664397e-06,0.0509656468,nan,4935.96826
0.057,0.0285,138.54532,138.54532,2000,0,3.0123222e-06,0.0684591678,nan,5000.73447
0.058,0.029,138.287915,138.287915,2000,0,5.18744957e-06,0.0364636952,nan,5071.4758
0.059,0.0295,138.357968,138.357968,2000,0,5.61430842e-06,0.044930638,nan,5153.84049
0.06,0.03,138.711338,138.711338,2000,0,5.53415212e-07,0.0669632452,nan,5234.84493
0.061,0.0305,139.033106,139.033106,2000,0,4.32084887e-06,0.0476909485,nan,5445.14799
0.062,0.031,139.285382,139.285382,2000,0,5.6044382e-07,0.064610377,nan,5531.3748
0.063,0.0315,139.337012,139.337012,2000,0,5.30691863e-07,0.0578730574,nan,5599.19997
0.064,0.032,139.471133,139.471133,2000,0,7.33805726e-07,0.071369074,nan,5664.30055
0.065,0.0325,139.039571,139.039571,2000,0,1.17499132e-06,0.0572772318,nan,5745.75714
0.066,0.033,139.768781,139.768781,2000,0,2.14532188e-06,0.0647346745,nan,5831.60998
0.067,0.0335,138.772162,138.772162,2000,0,4.05805356e-06,0.022659957,nan,5900.57979
0.068,0.034,138.826486,138.826486,2000,0,4.97249191e-06,0.0375229203,nan,5969.88153
0.069,0.0345,139.203648,139.203648,2000,0,1.85020219e-06,0.0518714572,nan,6066.95805
0.07,0.035,138.804259,138.804259,2000,0,2.53501115e-07,0.0316935823,nan,6150.33713
0.071,0.0355,139.687503,139.687503,2000,0,1.58215866e-06,0.0572147495,nan,6394.18853
0.072,0.036,139.616582,139.616582,2000,0,1.46517574e-06,0.0508899372,nan,6476.23209
0.073,0.0365,139.888538,139.888538,2000,0,2.72529504e-06,0.0502271515,nan,6551.68669
0.074,0.037,139.305013,139.305013,2000,0,6.04594623e-07,0.0705955089,nan,6638.24586
0.075,0.0375,139.814722,139.814722,2000,0,3.31209641e-06,0.0557109405,nan,6734.43319
0.076,0.038,139.075365,139.075365,2000,0,2.90368567e-06,0.0611529939,nan,6809.32802
0.077,0.0385,138.656744,138.656744,2000,0,6.05163773e-06,0.0492924565,nan,6885.42039
0.078,0.039,140.096993,140.096993,2000,0,1.33025435e-06,0.069461278,nan,6990.97325
0.079,0.0395,139.538408,139.538408,2000,0,2.1584541e-06,0.0786395273,nan,7070.3146
0.08,0.04,138.705312,138.705312,2000,0,5.04449346e-06,0.0519007318,nan,7147.98858
0.081,0.0405,139.552968,139.552968,2000,0,1.55552761e-06,0.0430438949,nan,7399.05468
0.082,0.041,139.40955,139.40955,2000,0,2.43213939e-06,0.0862339847,nan,7462.96848
0.083,0.0415,140.18248,140.18248,2000,0,1.56006688e-06,0.0865337201,nan,7546.37735
0.084,0.042,139.261583,139.261583,2000,0,3.43199299e-07,0.0262718012,nan,7631.58392
0.085,0.0425,139.00698,139.00698,2000,0,1.5185006e-07,0.0419896348,nan,7702.47329
0.086,0.043,139.386181,139.386181,2000,0,3.90607354e-07,0.0437781623,nan,7774.7851
0.087,0.0435,139.555136,139.555136,2000,0,2.49576253e-07,0.0240975134,nan,7867.43425
0.088,0.044,139.542102,139.542102,2000,0,4.75107417e-06,0.0620695133,nan,7952.66827
0.089,0.0445,139.86413,139.86413,2000,0,1.41809846e-06,0.0430032385,nan,8024.17925
0.09,0.045,139.775104,139.775104,2000,0,1.6795421e-06,0.0319690465,nan,8093.45895
0.091,0.0455,140.212733,140.212733,2000,0,1.34248882e-06,0.0831654565,nan,8312.02027
0.092,0.046,139.734258,139.734258,2000,0,1.95351603e-06,0.0310032051,nan,8378.38025
0.093,0.0465,139.491047,139.491047,2000,0,2.22752377e-06,0.0732381541,nan,8472.47911
0.094,0.047,139.782073,139.782073,2000,0,2.01049148e-06,0.0353851776,nan,8551.33333
0.095,0.0475,140.268739,140.268739,2000,0,1.21775134e-06,0.0705614828,nan,8622.77728
0.096,0.048,139.633929,139.633929,2000,0,4.7800385e-06,0.0621374215,nan,8692.57076
0.097,0.0485,139.296309,139.296309,2000,0,4.59566728e-06,0.0271530821,nan,8791.68905
0.098,0.049,139.218203,139.218203,2000,0,5.12208149e-06,0.0351297617,nan,8863.86011
0.099,0.0495,139.609421,139.609421,2000,0,1.26712555e-06,0.0595023108,nan,8928.92726
0.1,0.05,139.126035,139.126035,2000,0,5.75252658e-06,0.0473810725,nan,8999.46672
