s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,20.3445541,20.3445541,1500,1,4.77778117e-20,2.40266349e-08,0.000115284171,38.0356839
0.002,0.001,28.3507322,28.3507322,1500,1,3.42619338e-18,4.53071634e-08,0.000134173626,75.8623531
0.003,0.0015,35.1960368,35.1960368,1500,1,4.84438438e-18,7.80121736e-08,0.000181705546,110.691909
0.004,0.002,40.7856693,40.7856693,1500,1,8.32925792e-19,1.31001029e-07,7.42558644e-05,139.442732
0.005,0.0025,46.0280846,46.0280846,1500,1,4.54289036e-19,5.17481338e-08,0.000133047602,167.251553
0.006,0.003,50.0562218,50.0562218,1500,1,1.41459242e-17,1.768983e-08,1.93690328e-05,200.052744
0.007,0.0035,53.4959028,53.4959028,1500,1,2.29350476e-17,5.55454802e-08,0.000111336878,226.886789
0.008,0.004,56.5787846,56.5787846,1500,1,1.16640281e-18,9.759626e-09,4.61249393e-05,251.321068
0.009,0.0045,59.3682191,59.3682191,1500,1,3.67798378e-19,1.86050837e-08,3.92819456e-05,275.390023
0.01,0.005,61.876013,61.876013,1500,1,1.72312472e-18,2.17396847e-08,0.000172313764,299.583559
