s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.0002,0.0001,15.7240737,15.7240737,1860,1,7.89938498e-18,7.04664602e-08,0.000130198131,49.2518721
0.0004,0.0002,18.9481475,18.9481475,1860,1,7.89938582e-18,7.04665126e-08,0.000130198119,98.0100613
0.0006,0.0003,22.1722213,22.1722213,1860,1,7.89938591e-18,7.04665188e-08,0.00013019812,136.115986
0.0008,0.0004,25.3664203,25.3664203,1860,1,3.2203831e-18,2.38834295e-08,2.14582285e-05,174.287105
0.001,0.0005,28.5480781,28.5480781,1860,1,2.21088282e-17,1.30702078e-07,1.89574738e-05,213.958646
0.0012,0.0006,31.6850374,31.6850374,1860,1,4.02510749e-16,1.27666684e-07,2.27906645e-05,246.108671
0.0014,0.0007,34.7442537,34.7442537,1860,1,7.87665284e-21,1.53193902e-09,1.68359084e-05,277.316875
0.0016,0.0008,37.6402806,37.6402806,1860,1,1.04719357e-19,4.11051495e-08,2.61313558e-05,307.852591
0.0018,0.0009,40.2832232,40.2832232,1860,1,1.01988752e-17,1.92159133e-08,2.25908535e-05,337.735233
0.002,0.001,42.5677826,42.5677826,1860,1,4.11245334e-21,6.60792931e-09,1.00027267e-05,368.090375
0.0022,0.0011,44.5683958,44.5683958,1860,1,2.41804713e-20,2.75903131e-08,5.86141615e-06,411.721506
0.0024,0.0012,46.4143358,46.4143358,1860,1,9.55909202e-19,7.73832642e-09,1.65087098e-06,461.183973
0.0026,0.0013,48.0261508,48.0261508,1860,1,3.16376008e-20,1.92444292e-08,1.95982908e-05,518.192887
0.0028,0.0014,49.5608841,49.5608841,1360,1,4.11655961e-14,1.79676166e-06,0.00311659875,554.049141
