s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,28.5903537,28.5903537,5900,1,8.40696545e-15,1.66404623e-06,0.000839838825,154.000002
0.002,0.001,43.1944328,43.1944328,5900,1,1.44982132e-15,8.21143656e-07,0.00122959821,334.096271
0.003,0.0015,51.6743914,51.6743914,6400,1,1.17675491e-20,1.62656999e-09,3.11296785e-06,514.140525
0.004,0.002,57.5639456,57.5639456,5900,1,7.52914382e-17,5.24047402e-07,2.23544982e-05,671.522835
0.005,0.0025,62.2972557,62.2972557,5900,1,2.32059591e-16,2.5825639e-07,0.00132427339,788.771862
0.006,0.003,66.6312036,66.6312036,5900,1,3.05153039e-16,4.41749275e-07,0.000553744831,923.105709
0.007,0.0035,70.8842955,70.8842955,5900,1,7.41564949e-17,1.90356507e-07,0.00093573529,1015.68504
0.008,0.004,74.9544621,74.9544621,5900,1,6.01608111e-16,2.60478897e-07,0.000242297189,1108.59197
0.009,0.0045,78.40699,78.40699,5900,1,6.76581732e-15,1.09592598e-06,0.000196900506,1211.50421
0.01,0.005,81.4435064,81.4435064,5900,1,7.25451351e-15,1.17857865e-06,0.000141331444,1305.07577
0.011,0.0055,84.4051413,84.4051413,5900,1,4.75890642e-16,6.6865565e-07,0.000796579943,1399.27398
