s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,wall_s
0.001,0.0005,20.3445541,20.3445541,1500,1,4.77778015e-20,2.40266527e-08,38.3378503
0.002,0.001,28.3507322,28.3507322,1500,1,3.42619379e-18,4.53072198e-08,78.3172171
0.003,0.0015,35.1960368,35.1960368,1500,1,4.84438419e-18,7.8012123e-08,118.711462
0.004,0.002,40.7856693,40.7856693,1500,1,8.32925643e-19,1.31001032e-07,156.550744
0.005,0.0025,46.0280846,46.0280846,1500,1,4.54289e-19,5.17481826e-08,193.909866
0.006,0.003,50.0562218,50.0562218,1500,1,1.41459243e-17,1.76899686e-08,232.062374
0.007,0.0035,53.4959021,53.4959021,1250,1,7.56427008e-16,2.83514059e-07,263.803944
0.008,0.004,56.578785,56.578785,1500,1,1.16639534e-18,9.75954872e-09,301.527391
0.009,0.0045,59.3682202,59.3682202,1250,1,2.19156389e-17,4.14683931e-07,332.759706
0.01,0.005,61.876017,61.876017,1250,1,4.61295539e-15,1.18048706e-06,365.077477
0.011,0.0055,64.2167808,64.2167808,1250,1,2.69580722e-14,1.4340023e-06,399.983158
0.012,0.006,66.5677821,66.5677821,1250,1,1.67919819e-16,3.51090735e-07,432.027534
0.013,0.0065,68.5562079,68.5562079,1250,1,1.33124183e-15,9.05009092e-07,463.886959
0.014,0.007,70.968129,70.968129,1250,1,3.51537038e-18,1.9959176e-07,495.847554
0.015,0.0075,73.5201603,73.5201603,1250,1,3.22802905e-15,8.11737055e-07,528.364871
0.016,0.008,75.4744447,75.4744447,1250,1,5.30526525e-16,5.41128627e-07,560.678065
0.017,0.0085,77.0807488,77.0807488,1250,1,3.84094558e-18,7.75739402e-08,585.675618
0.018,0.009,78.6674334,78.6674334,1250,1,3.44527028e-17,1.7496895e-07,602.851777
0.019,0.0095,80.1139315,80.1139315,1250,1,6.79828353e-15,9.36706057e-07,623.056515
0.02,0.01,81.2692769,81.2692769,1250,1,2.41307506e-18,1.57639496e-07,652.161796
0.021,0.0105,82.7327406,82.7327406,1250,1,4.74951223e-17,1.91995122e-07,701.613109
0.022,0.011,84.1193757,84.1193757,1250,1,1.20323706e-16,2.31085759e-07,745.746033
0.023,0.0115,85.5538223,85.5538223,1250,1,2.94470253e-16,2.37066051e-07,782.907761
0.024,0.012,86.8713546,86.8713546,1250,1,1.07379965e-18,4.62844585e-08,818.500603
0.025,0.0125,88.1979524,88.1979524,1250,1,2.35409561e-16,5.83423372e-08,854.569972
0.026,0.013,89.4410273,89.4410273,1250,1,6.47308836e-17,5.60232767e-08,894.375079
0.027,0.0135,91.3487851,91.3487851,1250,1,6.48188261e-18,1.25469331e-07,940.669998
0.028,0.014,92.6174884,92.6174884,1250,1,1.31575166e-14,2.83774023e-07,1014.59388
0.029,0.0145,93.2880369,93.2880369,1250,1,1.81582501e-16,2.44608027e-07,1073.102
0.03,0.015,94.7600929,94.7600929,1000,1,6.48987671e-15,3.04537697e-06,1111.65265
0.031,0.0155,95.8586463,95.8586463,1250,1,1.72060076e-17,7.38522292e-08,1167.357
0.032,0.016,96.8801991,96.8801991,1250,1,2.84415291e-18,5.07592937e-08,1223.63068
0.033,0.0165,98.1323651,98.1323651,1250,1,2.31396894e-15,4.9222452e-07,1290.30289
0.034,0.017,99.3895812,99.3895812,1250,1,7.87866442e-16,2.32694495e-07,1320.73115
0.035,0.0175,100.63186,100.63186,1250,1,2.53692346e-16,1.15241685e-07,1358.43911
0.036,0.018,101.686655,101.686655,1250,1,4.11742479e-17,1.066937e-07,1397.32256
0.037,0.0185,102.675144,102.675144,1250,1,2.07215236e-16,1.97099681e-07,1435.2829
0.038,0.019,103.720563,103.720563,1250,1,1.02527188e-15,5.26148778e-07,1475.66661
0.039,0.0195,104.692219,104.692219,1250,1,2.48918459e-17,9.01748134e-08,1514.10711
0.04,0.02,105.749068,105.749068,1250,1,6.3340115e-16,1.95620779e-07,1552.76795
0.041,0.0205,106.965268,106.965268,1250,1,7.3839229e-17,3.31114553e-07,1601.88023
0.042,0.021,107.59162,107.59162,1250,1,2.97180732e-17,2.56794506e-07,1645.46656
0.043,0.0215,107.784518,107.784518,1250,1,1.12093614e-15,1.85501712e-07,1682.15385
0.044,0.022,108.409416,108.409416,1250,1,5.37063638e-16,4.72714506e-07,1719.446
0.045,0.0225,109.044062,109.044062,1250,1,1.50081298e-17,2.00147043e-07,1776.49129
