step,s_over_B,q_kPa,n_gp,n_yield,n_tension,n_over_apex,n_apex_pinned,n_eucl_wedge,p_max,p_min,q_at_pmax
5,5e-05,16.6531602,1600,0,0,0,0,0,-8.77414783,-9.65251005,1.04585915
10,0.00014,19.6288485,1600,0,0,0,0,0,-8.74943212,-11.2088463,1.06072668
15,0.0003,24.9189611,1600,0,0,0,0,0,-8.70549306,-13.9756664,1.07488105
20,0.00058,34.1766582,1600,0,0,0,0,0,-8.62859972,-18.8176015,1.15062016
25,0.00106,49.6209895,1600,84,0,0,0,0,-8.5607187,-26.6377757,0.809911552
30,0.00186,70.6990904,1600,256,0,0,0,0,-7.32883044,-36.812567,1.14162432
35,0.00346,103.346715,1600,412,0,0,0,0,-1.6729768,-58.6047868,0.861198211
40,0.00578,142.911846,1600,648,8,0,4,0,0.259047107,-89.6320476,0
45,0.00828,178.415339,1600,800,8,0,8,0,0.259047107,-118.948017,0
50,0.01078,202.969389,1600,1004,16,0,16,0,0.259047107,-145.217892,0
55,0.01328,215.658496,1600,1108,24,0,24,0,0.259047107,-168.993445,0
60,0.01578,223.565557,1600,1152,32,0,28,0,0.259047107,-187.455829,0
65,0.01828,229.931644,1600,1188,36,0,36,0,0.259047107,-202.497068,0
70,0.02078,235.005353,1600,1224,56,0,52,0,0.259047107,-214.34604,0
75,0.02328,239.295667,1600,1264,76,0,76,0,0.259047107,-223.888297,0
80,0.02578,242.918436,1600,1296,96,0,92,0,0.259047107,-231.6927,0
85,0.02828,246.111363,1600,1316,112,0,112,0,0.259047107,-238.287035,0
90,0.03078,248.78206,1600,1344,136,0,132,0,0.259047107,-243.898827,0
95,0.03328,251.292252,1600,1360,156,0,156,0,0.259047107,-248.982866,0
100,0.03578,253.345318,1600,1380,172,0,172,0,0.259047107,-253.347043,0
105,0.03828,255.09333,1600,1388,196,0,192,0,0.259047107,-257.368602,0
110,0.04078,256.517787,1600,1396,216,0,212,0,0.259047107,-261.111448,0
115,0.04253,257.411136,1600,1400,224,0,224,0,0.259047107,-263.619855,0
120,0.043405,257.825651,1600,1400,232,0,228,0,0.259047107,-264.796358,0
125,0.04428,258.161313,1600,1400,240,0,232,0,0.259047107,-265.89045,0
130,0.04578,258.784204,1600,1404,256,0,256,0,0.259047107,-267.79,0
135,0.04728,259.263998,1600,1400,272,0,268,0,0.259047107,-269.618158,0
140,0.04878,259.660291,1600,1396,280,0,276,0,0.259047107,-271.457614,0
145,0.05003,259.942916,1600,1384,284,0,280,0,0.259047107,-272.940668,0
150,0.05128,260.220298,1600,1408,284,0,284,0,0.259047107,-274.392735,0
155,0.05253,260.506737,1600,1416,292,0,288,0,0.259047107,-275.848428,0
160,0.05403,260.797805,1600,1412,300,0,296,0,0.259047107,-277.536613,0
165,0.05553,261.032942,1600,1404,308,0,300,0,0.259047107,-279.16383,0
170,0.056655,261.274302,1600,1412,312,0,304,0,0.259047107,-280.416955,0
175,0.05728,261.380526,1600,1412,312,0,312,0,0.259047107,-281.086593,0
180,0.05853,261.556436,1600,1404,312,0,312,0,0.259047107,-282.379292,0
185,0.05928,261.697229,1600,1418,316,0,312,0,0.259047107,-283.177248,0
190,0.06003,261.825746,1600,1420,316,0,316,0,0.259047107,-283.829665,0
195,0.0604675,261.906556,1600,1428,316,0,310,0,0.259047107,-284.203288,0
200,0.060905,261.942071,1600,1428,316,0,316,0,0.259047107,-284.559488,0
205,0.061655,262.059094,1600,1432,316,0,316,0,0.259047107,-285.201608,0
210,0.06228,262.156147,1600,1432,316,0,316,0,0.259047107,-285.733956,0
215,0.062905,262.241816,1600,1432,320,0,316,0,0.259047107,-286.267123,0
220,0.063905,262.370405,1600,1436,324,0,320,0,0.259047107,-287.121787,0
225,0.065155,262.563048,1600,1440,324,0,322,0,0.259047107,-288.218192,0
230,0.066405,262.731596,1600,1448,324,0,324,0,0.259047107,-289.310341,0
235,0.06753,262.894786,1600,1448,324,0,324,0,0.259047107,-290.311244,0
240,0.068155,262.976309,1600,1448,328,0,324,0,0.259047107,-290.864053,0
245,0.068655,263.042856,1600,1448,332,0,328,0,0.259047107,-291.308082,0
250,0.06903,263.043453,1600,1396,332,0,328,0,0.259047107,-291.609722,0
255,0.069655,263.176715,1600,1432,332,0,332,0,0.259047107,-292.20339,0
260,0.07053,263.29519,1600,1448,332,0,332,0,0.259047107,-292.992259,0
265,0.071155,263.285352,1600,1358,344,0,332,0,0.259047107,-293.49799,0
270,0.07178,263.361872,1600,1270,344,0,340,0,0.259047107,-294.061437,0
275,0.072405,263.511299,1600,1440,344,0,344,0,0.259047107,-294.672964,0
280,0.073155,263.584277,1600,1448,348,0,344,0,0.259047107,-295.34221,0
285,0.073905,263.688841,1600,1448,348,0,344,0,0.259047107,-296.038144,0
290,0.07453,263.744385,1600,1412,356,0,344,0,0.259047107,-296.595877,0
295,0.075155,263.784665,1600,1412,356,0,352,0,0.259047107,-297.14621,0
300,0.07578,263.876017,1600,1366,360,0,356,0,0.259047107,-297.736851,0
305,0.076905,264.012309,1600,1448,360,0,360,0,0.259047107,-298.785252,0
310,0.07778,264.120071,1600,1452,364,0,360,0,0.259047107,-299.609176,0
315,0.07853,264.185874,1600,1444,364,0,360,0,0.259047107,-300.299741,0
320,0.079155,264.264283,1600,1452,364,0,360,0,0.259047107,-300.892569,0
325,0.08003,264.340323,1600,1452,364,0,364,0,0.259047107,-301.696964,0
330,0.08078,264.431287,1600,1452,368,0,364,0,0.259047107,-302.413322,0
335,0.081405,264.492931,1600,1452,368,0,368,0,0.259047107,-303.002895,0
340,0.082655,264.609946,1600,1452,368,0,368,0,0.259047107,-304.173919,0
345,0.08353,264.698859,1600,1418,372,0,368,0,0.259047107,-305.004794,0
350,0.084405,264.795173,1600,1452,372,0,372,0,0.259047107,-305.840995,0
355,0.08553,264.885095,1600,1452,376,0,372,0,0.259047107,-306.896075,0
360,0.086155,264.895182,1600,1408,376,0,372,0,0.259047107,-307.462459,0
365,0.08678,264.954954,1600,1418,380,0,372,0,0.259047107,-308.061746,0
370,0.087655,265.085367,1600,1452,380,0,372,0,0.259047107,-308.929382,0
375,0.088405,265.137376,1600,1448,380,0,376,0,0.259047107,-309.637101,0
380,0.08903,265.142511,1600,1304,380,0,376,0,0.259047107,-310.205629,0
385,0.08978,265.25733,1600,1444,380,0,376,0,0.259047107,-310.959563,0
390,0.090655,265.325261,1600,1452,384,0,376,0,0.259047107,-311.796674,0
395,0.09128,265.363066,1600,1346,384,0,376,0,0.259047107,-312.382598,0
400,0.09203,265.451993,1600,1452,384,0,376,0,0.259047107,-313.126465,0
405,0.09278,265.512855,1600,1456,388,0,382,0,0.259047107,-313.854901,0
410,0.093405,265.578055,1600,1456,388,0,384,0,0.259047107,-314.468189,0
415,0.094155,265.628029,1600,1456,388,0,384,0,0.259047107,-315.18814,0
420,0.09478,265.664644,1600,1448,388,0,388,0,0.259047107,-315.782398,0
425,0.095405,265.725478,1600,1448,388,0,388,0,0.259047107,-316.390026,0
430,0.096155,265.793184,1600,1456,388,0,388,0,0.259047107,-317.122579,0
435,0.097155,265.879868,1600,1456,388,0,388,0,0.259047107,-318.097192,0
440,0.097905,265.926556,1600,1456,392,0,388,0,0.259047107,-318.81215,0
445,0.098655,265.998681,1600,1456,396,0,388,0,0.259047107,-319.54641,0
450,0.099655,266.06128,1600,1458,400,0,396,0,0.259047107,-320.49825,0
455,0.10028,266.124636,1600,1436,400,0,396,0,0.259047107,-321.113739,0
460,0.10103,266.165163,1600,1436,404,0,400,0,0.259047107,-321.832328,0
465,0.10178,266.239744,1600,1460,404,0,404,0,0.259047107,-322.565144,0
470,0.102405,266.26333,1600,1444,404,0,404,0,0.259047107,-323.156536,0
475,0.10303,266.330239,1600,1460,404,0,404,0,0.259047107,-323.772484,0
480,0.10378,266.36467,1600,1444,404,0,404,0,0.259047107,-324.480734,0
485,0.104655,266.449166,1600,1460,404,0,404,0,0.259047107,-325.340789,0
490,0.10553,266.493894,1600,1444,404,0,404,0,0.259047107,-326.175527,0
495,0.106405,266.560459,1600,1448,404,0,404,0,0.259047107,-327.01954,0
500,0.10703,266.604664,1600,1444,408,0,404,0,0.259047107,-327.62587,0
505,0.107655,266.569246,1600,1152,408,0,408,0,0.259047107,-328.180581,0
510,0.10828,266.700951,1600,1434,408,0,408,0,0.259047107,-328.840224,0
515,0.109155,266.774574,1600,1464,412,0,408,0,0.259047107,-329.695917,0
520,0.10978,266.817459,1600,1464,416,0,412,0,0.259047107,-330.300951,0
525,0.11053,266.841699,1600,1464,416,0,416,0,0.259047107,-331.00109,0
530,0.11128,266.900211,1600,1468,416,0,416,0,0.259047107,-331.733314,0
535,0.111905,266.948857,1600,1468,416,0,414,0,0.259047107,-332.344524,0
540,0.113155,266.922065,1600,1282,416,0,414,0,0.259047107,-333.478479,0
545,0.11428,267.054521,1600,1268,416,0,412,0,0.259047107,-334.601564,0
550,0.114905,267.135353,1600,1468,416,0,414,0,0.259047107,-335.235018,0
555,0.11553,267.135042,1600,1334,416,0,412,0,0.259047107,-335.812177,0
560,0.116155,267.200165,1600,1468,416,0,414,0,0.259047107,-336.431777,0
565,0.11678,267.233529,1600,1462,416,0,414,0,0.259047107,-337.038033,0
570,0.117655,267.324002,1600,1468,416,0,412,0,0.259047107,-337.902837,0
575,0.118405,267.353813,1600,1472,416,0,412,0,0.259047107,-338.616479,0
580,0.119405,267.415633,1600,1472,416,0,412,0,0.259047107,-339.584132,0
585,0.120155,267.472356,1600,1472,416,0,412,0,0.259047107,-340.31367,0
590,0.121155,267.430044,1600,1186,416,0,412,0,0.259047107,-341.217238,0
595,0.121905,267.57532,1600,1472,416,0,412,0,0.259047107,-341.999998,0
600,0.12253,267.604963,1600,1472,416,0,412,0,0.259047107,-342.596544,0
605,0.123655,267.684043,1600,1472,424,0,412,0,0.259047107,-343.682696,0
610,0.12453,267.726932,1600,1472,424,0,412,0,0.259047107,-344.519675,0
615,0.125405,267.77557,1600,1472,428,0,416,0,0.259047107,-345.355747,0
620,0.126405,267.842425,1600,1472,428,0,420,0,0.259047107,-346.313262,0
625,0.12703,267.865054,1600,1404,428,0,420,0,0.259047107,-346.892725,0
630,0.127655,267.904948,1600,1462,426,0,424,0,0.259047107,-347.4736,0
635,0.128655,267.992743,1600,1472,424,0,424,0,0.259047107,-348.416249,0
640,0.129405,268.023077,1600,1472,424,0,424,0,0.259047107,-349.092163,0
645,0.13028,268.064668,1600,1416,424,0,424,0,0.259047107,-349.880064,0
650,0.130905,268.099776,1600,1472,424,0,424,0,0.259047107,-350.44397,0
655,0.131655,268.104746,1600,1456,428,0,428,0,0.259047107,-351.08596,0
660,0.13253,268.175561,1600,1472,428,0,428,0,0.259047107,-351.870472,0
665,0.13328,268.120098,1600,1088,428,0,420,0,0.259047107,-352.464984,0
670,0.133905,268.245903,1600,1472,428,0,428,0,0.259047107,-353.069923,0
675,0.13478,268.28775,1600,1472,428,0,428,0,0.259047107,-353.82697,0
680,0.135655,268.332032,1600,1472,428,0,428,0,0.259047107,-354.579092,0
685,0.136405,268.360283,1600,1472,428,0,424,0,0.259047107,-355.209316,0
