step,s_over_B,q_kPa,n_gp,n_yield,n_tension,n_over_apex,n_apex_pinned,n_eucl_wedge,p_max,p_min,q_at_pmax
5,5e-05,16.6531602,1600,0,0,0,0,0,-8.77414783,-9.65251005,1.04585915
10,0.00014,19.6288485,1600,0,0,0,0,0,-8.74943212,-11.2088463,1.06072668
15,0.0003,24.9189611,1600,0,0,0,0,0,-8.70549306,-13.9756664,1.07488105
20,0.00058,34.1766582,1600,0,0,0,0,0,-8.62859972,-18.8176015,1.15062016
25,0.00106,49.6209895,1600,84,0,0,0,0,-8.5607187,-26.6377757,0.809911552
30,0.00186,70.6990904,1600,256,0,0,0,0,-7.32883044,-36.812567,1.14162432
35,0.00266,87.9719578,1600,368,0,0,0,0,-3.11209315,-47.119366,1.50268324
40,0.0033,100.377745,1600,408,0,0,0,0,-1.9748376,-56.3991145,0.995752437
45,0.00378,109.352,1600,456,4,0,4,0,0.259047107,-63.1291307,0
50,0.00458,123.376424,1600,540,4,0,4,0,0.259047107,-73.9033081,0
55,0.00498,130.084108,1600,568,4,0,4,0,0.259047107,-79.2090881,0
60,0.0053,135.343483,1600,596,4,0,4,0,0.259047107,-83.4265416,0
65,0.0055,138.578978,1600,620,4,0,4,0,0.259047107,-86.0630164,0
70,0.00564,140.808327,1600,628,4,0,4,0,0.259047107,-87.9066435,0
75,0.00578,143.012791,1600,648,8,0,8,0,0.259047107,-89.7378161,0
80,0.00602,146.726482,1600,656,8,0,8,0,0.259047107,-92.8996067,0
85,0.00642,152.738075,1600,664,8,0,8,0,0.259047107,-97.6628847,0
90,0.00682,158.652899,1600,692,8,0,8,0,0.259047107,-102.389369,0
95,0.0071,162.71389,1600,720,8,0,8,0,0.259047107,-105.668913,0
100,0.0073,165.53976,1600,748,8,0,8,0,0.259047107,-107.992211,0
105,0.0075,168.290318,1600,768,8,0,8,0,0.259047107,-110.297642,0
110,0.0077,170.982093,1600,776,8,0,8,0,0.259047107,-112.589507,0
115,0.00786,173.108929,1600,780,8,0,8,0,0.259047107,-114.41373,0
120,0.00796,174.428313,1600,784,8,0,8,0,0.259047107,-115.551637,0
125,0.00806,175.738188,1600,792,8,0,8,0,0.259047107,-116.685799,0
130,0.00816,177.037131,1600,796,8,0,8,0,0.259047107,-117.808755,0
135,0.00821,177.670693,1600,796,8,0,8,0,0.259047107,-118.374861,0
140,0.00826,178.308165,1600,800,8,0,8,0,0.259047107,-118.935942,0
145,0.00834,179.342571,1600,800,12,0,12,0,0.259047107,-119.806303,0
150,0.00848,181.091955,1600,816,12,0,12,0,0.259047107,-121.392787,0
155,0.00872,184.020808,1600,848,12,0,12,0,0.259047107,-124.091387,0
160,0.00912,188.5863,1600,892,12,0,12,0,0.259047107,-128.497242,0
165,0.00944,191.913793,1600,936,12,0,12,0,0.259047107,-131.939768,0
170,0.00964,193.855491,1600,948,12,0,12,0,0.259047107,-134.05299,0
175,0.00984,195.67635,1600,972,12,0,12,0,0.259047107,-136.129367,0
180,0.01002,197.247552,1600,980,12,0,12,0,0.259047107,-137.975117,0
185,0.01012,198.095363,1600,984,12,0,12,0,0.259047107,-138.990125,0
190,0.01022,198.925937,1600,984,12,0,12,0,0.259047107,-139.998435,0
195,0.01032,199.741801,1600,984,12,0,12,0,0.259047107,-141.000869,0
200,0.01039,200.300125,1600,988,12,0,12,0,0.259047107,-141.699074,0
205,0.01044,200.696318,1600,992,12,0,12,0,0.259047107,-142.194562,0
210,0.01049,201.080367,1600,996,12,0,12,0,0.259047107,-142.686643,0
215,0.01053,201.38689,1600,996,12,0,12,0,0.259047107,-143.079317,0
220,0.01056,201.643881,1600,996,12,0,12,0,0.259047107,-143.369974,0
225,0.0105775,201.852207,1600,996,12,0,12,0,0.259047107,-143.577816,0
230,0.0105825,201.776649,1600,572,12,0,12,0,0.259047107,-143.587535,0
235,0.0105875,201.819947,1600,731,12,0,12,0,0.259047107,-143.640899,0
240,0.01059625,201.886094,1600,1000,12,0,12,0,0.259047107,-143.726663,0
245,0.01061125,202.126741,1600,918,12,0,8,0,0.259047107,-143.907355,0
250,0.01062,202.168365,1600,1000,12,0,12,0,0.259047107,-143.992727,0
255,0.01062625,202.23089,1600,976,12,0,12,0,0.259047107,-144.054867,0
260,0.01063375,202.322824,1600,1000,12,0,12,0,0.259047107,-144.13918,0
265,0.01064625,202.274437,1600,1000,16,0,16,0,0.259047107,-144.175771,0
270,0.01067125,202.450071,1600,1000,16,0,16,0,0.259047107,-144.439912,0
275,0.01071625,202.763328,1600,1000,16,0,16,0,0.259047107,-144.91622,0
280,0.01079625,203.311828,1600,1004,16,0,16,0,0.259047107,-145.758929,0
285,0.01093625,204.24535,1600,1008,16,0,16,0,0.259047107,-147.22736,0
290,0.01113625,205.514817,1600,1020,16,0,16,0,0.259047107,-149.30435,0
295,0.01131625,206.628538,1600,1028,16,0,16,0,0.259047107,-151.151869,0
300,0.01141625,207.186817,1600,1028,16,0,16,0,0.259047107,-152.176557,0
305,0.01151625,207.788721,1600,1032,16,0,16,0,0.259047107,-153.191127,0
310,0.01161625,208.322342,1600,1040,16,0,16,0,0.259047107,-154.201478,0
315,0.01177625,209.230018,1600,1052,20,0,20,0,0.259047107,-155.834081,0
320,0.01191625,209.944889,1600,1060,20,0,20,0,0.259047107,-157.206144,0
325,0.01201625,210.500477,1600,1064,20,0,20,0,0.259047107,-158.173725,0
330,0.01211625,210.976913,1600,1064,20,0,20,0,0.259047107,-159.137354,0
335,0.01217625,211.226404,1600,1072,20,0,20,0,0.259047107,-159.716159,0
340,0.01222625,211.46466,1600,1072,20,0,20,0,0.259047107,-160.192704,0
345,0.01225625,211.606515,1600,1072,20,0,20,0,0.259047107,-160.477924,0
350,0.01228125,211.725142,1600,1072,20,0,20,0,0.259047107,-160.715076,0
355,0.01231625,211.92771,1600,1076,24,0,24,0,0.259047107,-161.054305,0
360,0.01237625,212.225722,1600,1076,24,0,24,0,0.259047107,-161.618646,0
365,0.01247625,212.646344,1600,1076,24,0,24,0,0.259047107,-162.529568,0
370,0.01257625,213.022223,1600,1076,24,0,24,0,0.259047107,-163.437621,0
375,0.01267625,213.486465,1600,1080,24,0,24,0,0.259047107,-164.32528,0
380,0.01283625,214.090653,1600,1096,28,0,28,0,0.259047107,-165.734161,0
385,0.01311625,215.193212,1600,1104,28,0,28,0,0.259047107,-168.14677,0
390,0.01351625,216.626905,1600,1116,28,0,28,0,0.259047107,-171.467168,0
395,0.01391625,218.022318,1600,1124,28,0,28,0,0.259047107,-174.655351,0
400,0.01411625,218.680111,1600,1132,28,0,28,0,0.259047107,-176.207455,0
405,0.01431625,219.302413,1600,1132,28,0,28,0,0.259047107,-177.717435,0
410,0.01451625,219.879531,1600,1136,28,0,28,0,0.259047107,-179.202603,0
415,0.01467625,220.434437,1600,1140,28,0,28,0,0.259047107,-180.384432,0
420,0.01477625,220.752365,1600,1140,28,0,28,0,0.259047107,-181.115741,0
425,0.01487625,221.059704,1600,1140,28,0,28,0,0.259047107,-181.837261,0
430,0.01497625,221.350745,1600,1140,28,0,28,0,0.259047107,-182.547958,0
435,0.01507625,221.659156,1600,1140,28,0,28,0,0.259047107,-183.258867,0
440,0.01517625,221.892895,1600,1140,28,0,28,0,0.259047107,-183.953446,0
445,0.01524625,222.080903,1600,1144,28,0,28,0,0.259047107,-184.439467,0
450,0.01529625,222.29308,1600,1144,28,0,28,0,0.259047107,-184.796618,0
455,0.01535625,222.479237,1600,1144,28,0,28,0,0.259047107,-185.210111,0
460,0.01540625,222.582294,1600,1144,28,0,28,0,0.259047107,-185.540259,0
465,0.01544625,222.750094,1600,1142,28,0,28,0,0.259047107,-185.850322,0
470,0.01547625,222.796901,1600,1144,28,0,28,0,0.259047107,-186.025594,0
475,0.01551625,223.045155,1600,1118,28,0,26,0,0.259047107,-186.344117,0
480,0.01554625,223.019708,1600,1144,28,0,28,0,0.259047107,-186.518077,0
485,0.01556875,223.135138,1600,1100,28,0,28,0,0.259047107,-186.681902,0
490,0.01558125,223.121592,1600,1104,28,0,28,0,0.259047107,-186.748172,0
495,0.01560375,223.231303,1600,1012,28,0,10,0,0.259047107,-186.917263,0
500,0.01561625,223.213593,1600,1011,28,0,28,0,0.259047107,-186.978987,0
505,0.01564125,223.254237,1600,1034,32,0,32,0,0.259047107,-187.140513,0
510,0.01568625,223.392429,1600,1128,32,0,32,0,0.259047107,-187.443672,0
515,0.01576625,223.599383,1600,1144,32,0,32,0,0.259047107,-187.980458,0
520,0.01590625,223.963922,1600,1152,32,0,32,0,0.259047107,-188.90509,0
525,0.01610625,224.55796,1600,1160,32,0,32,0,0.259047107,-190.218729,0
530,0.01630625,225.108353,1600,1160,32,0,32,0,0.259047107,-191.493223,0
535,0.01640625,225.363855,1600,1160,32,0,32,0,0.259047107,-192.128855,0
540,0.01650625,225.635172,1600,1160,32,0,32,0,0.259047107,-192.759196,0
545,0.01660625,225.896049,1600,1160,32,0,32,0,0.259047107,-193.384144,0
550,0.01670625,226.160044,1600,1160,32,0,32,0,0.259047107,-194.003507,0
555,0.01679625,226.384562,1600,1160,32,0,32,0,0.259047107,-194.551948,0
560,0.01684625,226.512611,1600,1164,32,0,32,0,0.259047107,-194.856214,0
