step,s_over_B,q_kPa,n_gp,n_yield,n_tension,n_over_apex,n_apex_pinned,n_eucl_wedge,p_max,p_min,q_at_pmax
5,5e-05,16.6531602,1600,0,0,0,0,0,-8.77414783,-9.65251005,1.04585915
10,0.00014,19.6288485,1600,0,0,0,0,0,-8.74943212,-11.2088463,1.02606029
15,0.0003,24.9189611,1600,0,0,0,0,0,-8.70549306,-13.9756664,0.999221812
20,0.00058,34.1766582,1600,0,0,0,0,0,-8.62859972,-18.8176015,1.01072507
25,0.00106,49.620482,1600,84,0,0,0,0,-8.56082884,-26.6377824,0.910151052
30,0.00186,70.6991459,1600,256,0,0,0,0,-7.32939149,-36.8126159,1.14156062
35,0.00346,103.348929,1600,412,0,0,0,0,-1.67398443,-58.6056977,0.861647358
40,0.00578,142.911505,1600,648,8,0,4,0,0.259047107,-89.6324477,2.71707097e-15
45,0.00828,178.414508,1600,800,8,0,8,0,0.259047107,-118.94821,4.4408921e-16
50,0.01078,202.950556,1600,1004,16,0,16,6,0.259047107,-145.227174,1.79696293e-14
55,0.01328,215.590008,1600,1108,24,0,24,9,0.259047107,-168.984546,1.0658141e-14
60,0.01578,223.500912,1600,1152,32,0,28,3,0.259047107,-187.415159,3.55271368e-15
65,0.01828,229.882231,1600,1188,36,0,36,15,0.259047107,-202.440513,7.10542736e-15
70,0.02078,234.936796,1600,1224,56,0,52,11,0.259047107,-214.251471,1.77635684e-14
75,0.02328,239.184685,1600,1264,76,0,76,26,0.259047107,-223.744445,1.42108547e-14
80,0.02578,242.826056,1600,1296,96,0,92,21,0.259047107,-231.530187,7.10542736e-15
85,0.02828,246.012604,1600,1316,112,0,112,30,0.259047107,-238.109932,1.0658141e-14
90,0.03078,248.77496,1600,1344,136,0,132,39,0.259047107,-243.786098,7.10542736e-15
95,0.03328,251.167142,1600,1360,156,0,156,49,0.259047107,-248.7735,2.13162821e-14
100,0.03578,253.276945,1600,1380,172,0,172,53,0.259047107,-253.17145,3.55271368e-15
105,0.03828,255.05967,1600,1388,196,0,192,58,0.259047107,-257.208195,0
110,0.04078,256.495745,1600,1396,216,0,212,63,0.259047107,-260.967486,3.59392372e-14
115,0.04328,257.652658,1600,1400,232,0,228,61,0.259047107,-264.397948,3.59392372e-14
120,0.04578,258.667981,1600,1404,256,0,256,95,0.259047107,-267.546613,2.48689958e-14
125,0.04828,259.433707,1600,1404,276,0,276,101,0.259047107,-270.617271,7.10542736e-15
130,0.05078,260.020498,1600,1416,284,0,284,90,0.259047107,-273.581998,3.55271368e-15
135,0.05328,260.533031,1600,1420,296,0,292,100,0.259047107,-276.443787,1.42108547e-14
140,0.05578,260.981142,1600,1412,308,0,300,97,0.259047107,-279.195353,1.0658141e-14
145,0.05828,261.398703,1600,1416,312,0,312,88,0.259047107,-281.851683,1.20914323e-14
150,0.06078,261.780992,1600,1428,316,0,316,87,0.259047107,-284.193172,3.2818571e-14
155,0.06328,262.154972,1600,1432,324,0,316,98,0.259047107,-286.320791,3.55271368e-15
160,0.06578,262.495536,1600,1440,324,0,324,113,0.259047107,-288.478271,3.2818571e-14
165,0.06828,262.832575,1600,1448,328,0,324,96,0.259047107,-290.676984,1.0658141e-14
170,0.07078,263.161747,1600,1448,332,0,332,110,0.259047107,-292.90588,7.10542736e-15
175,0.07328,263.456257,1600,1448,348,0,344,101,0.259047107,-295.155464,2.13162821e-14
180,0.07578,263.7529,1600,1448,360,0,356,110,0.259047107,-297.443426,3.2818571e-14
185,0.07828,264.020321,1600,1452,364,0,360,114,0.259047107,-299.758437,2.41828327e-14
190,0.08078,264.277392,1600,1452,364,0,364,117,0.259047107,-302.095779,1.0658141e-14
195,0.08328,264.529785,1600,1452,372,0,368,113,0.259047107,-304.450809,1.42108547e-14
200,0.08578,264.756111,1600,1452,376,0,372,109,0.259047107,-306.81346,1.42108547e-14
205,0.08828,264.986103,1600,1452,380,0,376,104,0.259047107,-309.202392,3.55271368e-15
210,0.09078,265.190946,1600,1452,380,0,376,122,0.259047107,-311.597262,1.0658141e-14
215,0.09328,265.415932,1600,1456,388,0,384,115,0.259047107,-314.021681,1.0658141e-14
220,0.09578,265.620032,1600,1456,388,0,388,109,0.259047107,-316.437296,1.24344979e-14
225,0.09828,265.817534,1600,1456,392,0,388,114,0.259047107,-318.851466,1.0658141e-14
230,0.10078,266.00859,1600,1460,400,0,400,129,0.259047107,-321.262784,2.84217094e-14
235,0.10328,266.203316,1600,1460,404,0,404,132,0.259047107,-323.685089,7.10542736e-15
240,0.10578,266.385685,1600,1460,404,0,404,135,0.259047107,-326.098896,1.42108547e-14
245,0.10828,266.564715,1600,1460,408,0,408,121,0.259047107,-328.513144,1.77635684e-14
250,0.11078,266.739433,1600,1464,416,0,412,128,0.259047107,-330.930267,1.77635684e-15
255,0.11328,266.902529,1600,1468,416,0,416,148,0.259047107,-333.344893,1.77635684e-14
260,0.11578,267.063211,1600,1468,416,0,414,142,0.259047107,-335.761119,3.55271368e-15
265,0.11828,267.222864,1600,1468,416,0,412,134,0.259047107,-338.176493,1.42108547e-14
270,0.12078,267.375619,1600,1472,416,0,412,127,0.259047107,-340.587819,1.0658141e-14
275,0.12328,267.52772,1600,1472,420,0,412,141,0.259047107,-342.995963,1.77635684e-14
280,0.12578,267.670205,1600,1472,428,0,420,134,0.259047107,-345.389068,2.97948315e-14
285,0.12828,267.819509,1600,1472,424,0,424,119,0.259047107,-347.710961,3.55271368e-15
290,0.13078,267.954114,1600,1472,428,0,428,118,0.259047107,-349.964216,7.10542736e-15
295,0.13328,268.079965,1600,1472,428,0,428,135,0.259047107,-352.159739,3.55271368e-15
300,0.13578,268.196736,1600,1472,428,0,428,133,0.259047107,-354.30121,7.10542736e-15
305,0.13828,268.308964,1600,1472,432,0,428,141,0.259047107,-356.391737,7.10542736e-15
310,0.14078,268.41024,1600,1472,432,0,432,131,0.259047107,-358.433406,1.77635684e-14
315,0.14328,268.508836,1600,1472,432,0,432,125,0.259047107,-360.42991,1.43214467e-14
320,0.14578,268.608622,1600,1472,436,0,436,137,0.259047107,-362.390543,3.9133649e-14
325,0.14828,268.696018,1600,1472,440,0,436,134,0.259047107,-364.313821,7.10542736e-15
