s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,15.330632,0.02,0,0.0493619442
4e-05,2e-05,15.6612641,0.02,0,0.0971620083
6e-05,3e-05,15.9918961,0.02,0,0.188556433
8e-05,4e-05,16.3225281,0.02,0,0.240519524
0.0001,5e-05,16.6531602,0.02,0,0.289130449
0.00012,6e-05,16.9837922,0.04,0,0.335662842
0.00016,8e-05,17.6450563,0.04,0,0.384759903
0.0002,0.0001,18.3063204,0.04,0,0.434196472
0.00024,0.00012,18.9675844,0.04,0,0.485328913
0.00028,0.00014,19.6288485,0.04,0,0.533182621
0.00032,0.00016,20.2901126,0.04,0,0.585661173
0.00036,0.00018,20.9513767,0.08,0,0.634179592
0.00044,0.00022,22.2739048,0.08,0,0.673575163
0.00052,0.00026,23.596433,0.08,0,0.716814518
0.0006,0.0003,24.9189611,0.08,0,0.763815641
0.00068,0.00034,26.2414893,0.08,0,0.812640429
0.00076,0.00038,27.5640174,0.08,0,0.855299234
0.00084,0.00042,28.8865456,0.16,0,0.898771763
0.001,0.0005,31.5316019,0.16,0,0.945954561
0.00116,0.00058,34.1766582,0.16,0,0.988608599
0.00132,0.00066,36.819311,0.16,0,1.061553
0.00148,0.00074,39.4515847,0.16,0,1.13515544
0.00164,0.00082,42.0719029,0.16,0,1.21170092
0.0018,0.0009,44.6621314,0.32,0,1.31176448
0.00212,0.00106,49.6209895,0.32,0,1.40966463
0.00244,0.00122,54.3577929,0.32,0,1.51575398
0.00276,0.00138,58.7863046,0.32,0,1.66654205
0.00308,0.00154,62.9091343,0.32,0,1.79166818
0.0034,0.0017,66.8947527,0.32,0,1.93198276
0.00372,0.00186,70.6990904,0.64,0,2.12081099
0.00436,0.00218,77.9169737,0.64,0,2.2791748
0.005,0.0025,84.7092364,0.64,0,2.40602398
0.00564,0.00282,91.0959116,0.64,0,2.53055477
0.00628,0.00314,97.291974,0.64,0,2.65769148
0.00692,0.00346,103.346715,0.64,0,2.8056426
0.00756,0.00378,109.290018,1,0,3.01949692
0.00856,0.00428,118.174379,1,0,3.29737377
0.00956,0.00478,126.677752,1,0,3.80972219
0.01056,0.00528,134.930158,1,0,4.36414289
0.01156,0.00578,142.911846,1,0,4.94833422
0.01256,0.00628,150.535996,1,0,6.29479074
0.01356,0.00678,157.951734,1,0,7.5494647
0.01456,0.00728,165.138797,1,0,8.79714179
0.01556,0.00778,171.913089,1,0,10.1297345
0.01656,0.00828,178.415339,1,0,11.6088984
0.01756,0.00878,184.563442,1,0,13.2764986
0.01856,0.00928,190.105699,1,0,15.1608164
0.01956,0.00978,194.923705,1,0,16.9432898
0.02056,0.01028,199.185629,1,0,18.8675816
0.02156,0.01078,202.969389,1,1,21.754745
0.02256,0.01128,206.180481,1,1,24.5245595
0.02356,0.01178,209.028802,1,1,27.5443244
0.02456,0.01228,211.5689,1,1,30.4020896
0.02556,0.01278,213.703094,1,1,33.4014461
0.02656,0.01328,215.658496,1,1,36.4315991
0.02756,0.01378,217.430564,1,1,39.4628041
0.02856,0.01428,219.080818,1,1,42.3665626
0.02956,0.01478,220.56798,1,1,45.2694712
0.03056,0.01528,222.099766,1,1,48.1164513
0.03156,0.01578,223.565557,1,1,51.1860859
0.03256,0.01628,224.860208,1,1,54.0181613
0.03356,0.01678,226.256183,1,1,56.8385694
0.03456,0.01728,227.503802,1,1,60.0568106
0.03556,0.01778,228.773595,1,1,63.327517
