s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,15.330632,0.02,0,0.0190114975
4e-05,2e-05,15.6612641,0.02,0,0.0370118618
6e-05,3e-05,15.9918961,0.02,0,0.0570662022
8e-05,4e-05,16.3225281,0.02,0,0.0774183273
0.0001,5e-05,16.6531602,0.02,0,0.0969259739
0.00012,6e-05,16.9837922,0.04,0,0.116875172
0.00016,8e-05,17.6450563,0.04,0,0.136889696
0.0002,0.0001,18.3063204,0.04,0,0.155892611
0.00024,0.00012,18.9675844,0.04,0,0.176266193
0.00028,0.00014,19.6288485,0.04,0,0.195774794
0.00032,0.00016,20.2901126,0.04,0,0.216280222
0.00036,0.00018,20.9513767,0.08,0,0.235280037
0.00044,0.00022,22.2739048,0.08,0,0.254288912
0.00052,0.00026,23.596433,0.08,0,0.273802042
0.0006,0.0003,24.9189611,0.08,0,0.292503834
0.00068,0.00034,26.2414893,0.08,0,0.312008142
0.00076,0.00038,27.5640174,0.08,0,0.331014633
0.00084,0.00042,28.8865456,0.16,0,0.354019403
0.001,0.0005,31.5316019,0.16,0,0.375207424
0.00116,0.00058,34.1766582,0.16,0,0.395218849
0.00132,0.00066,36.819311,0.16,0,0.430953264
0.00148,0.00074,39.4515847,0.16,0,0.466471434
0.00164,0.00082,42.0719029,0.16,0,0.497498274
0.0018,0.0009,44.6621314,0.32,0,0.53979373
0.00212,0.00106,49.6209895,0.32,0,0.582816362
0.00244,0.00122,54.3577929,0.32,0,0.628757715
0.00276,0.00138,58.7863046,0.32,0,0.695868731
0.00308,0.00154,62.9091343,0.32,0,0.753179073
0.0034,0.0017,66.8947527,0.32,0,0.807559252
0.00372,0.00186,70.6990904,0.64,0,0.864135742
0.00404,0.00202,74.3533257,0.32,0,2.11820817
0.00436,0.00218,77.9359196,0.32,0,2.1742363
0.00468,0.00234,81.4030615,0.32,0,2.23325086
0.005,0.0025,84.7390901,0.32,0,2.29464221
0.00532,0.00266,87.9719578,0.32,0,2.3516593
0.00564,0.00282,91.1332163,0.64,0,2.41176891
0.00596,0.00298,94.2558705,0.32,0,4.1839149
0.00628,0.00314,97.3330339,0.32,0,4.26945686
0.00644,0.00322,98.8591291,0.16,0,6.15204263
0.0066,0.0033,100.377745,0.16,0,6.21905637
0.00676,0.00338,101.889843,0.16,0,6.28901172
0.00692,0.00346,103.39529,0.16,0,6.35623193
0.00708,0.00354,104.894575,0.16,0,6.42409301
0.00724,0.00362,106.388679,0.32,0,6.49294472
0.00756,0.00378,109.352,0.32,0,6.67558956
0.00788,0.00394,112.240721,0.32,0,6.91939807
0.0082,0.0041,115.085214,0.32,0,7.16242576
0.00852,0.00426,117.891979,0.32,0,7.40504432
0.00884,0.00442,120.647585,0.32,0,7.64932132
0.00916,0.00458,123.376424,0.64,0,7.89355135
0.00932,0.00466,124.732041,0.16,0,11.8101587
0.00948,0.00474,126.080855,0.16,0,12.0132508
0.00964,0.00482,127.423442,0.16,0,12.2172692
0.0098,0.0049,128.755968,0.16,0,12.4225168
0.00996,0.00498,130.084108,0.16,0,12.6426449
0.01012,0.00506,131.407025,0.32,0,12.8525856
0.01028,0.00514,132.722736,0.16,0,14.854455
0.01044,0.00522,134.034807,0.16,0,15.0612569
0.01052,0.00526,134.689783,0.08,0,17.0760951
0.0106,0.0053,135.343483,0.08,0,17.2599957
0.01068,0.00534,135.99582,0.08,0,17.4448357
0.01076,0.00538,136.646135,0.08,0,17.6303408
0.01084,0.00542,137.293931,0.08,0,17.8431647
0.01092,0.00546,137.937208,0.16,0,18.1004508
0.011,0.0055,138.578978,0.08,0,20.7740178
0.01108,0.00554,139.217533,0.08,0,21.0169806
0.01116,0.00558,139.855708,0.08,1,23.5177219
0.0112,0.0056,140.173369,0.04,0,25.8779492
0.01124,0.00562,140.491403,0.04,0,26.0562661
0.01128,0.00564,140.808327,0.04,0,26.240144
0.01132,0.00566,141.124967,0.04,0,26.4209712
0.01136,0.00568,141.441078,0.04,0,26.6123519
0.0114,0.0057,141.756821,0.08,0,26.8085017
0.01148,0.00574,142.388677,0.08,0,26.9770136
0.01156,0.00578,143.012791,0.08,0,27.3383079
0.01164,0.00582,143.634962,0.08,0,27.6892247
0.01172,0.00586,144.256334,0.08,0,28.034276
0.0118,0.0059,144.876873,0.08,0,28.3994029
0.01188,0.00594,145.496766,0.16,0,28.7422807
0.01204,0.00602,146.726482,0.16,0,29.161669
0.0122,0.0061,147.936252,0.16,0,29.6239972
0.01236,0.00618,149.142321,0.16,0,30.0409429
0.01252,0.00626,150.344997,0.16,0,30.4578645
0.01268,0.00634,151.54362,0.16,0,30.8526537
0.01284,0.00642,152.738075,0.32,0,31.3704898
0.013,0.0065,153.9293,0.16,0,33.7617073
0.01316,0.00658,155.116845,0.16,0,34.1912215
0.01332,0.00666,156.301194,0.16,0,34.6322937
0.01348,0.00674,157.479387,0.16,0,35.0534222
0.01364,0.00682,158.652899,0.16,0,35.497442
0.0138,0.0069,159.820824,0.32,0,35.9429679
0.01396,0.00698,160.982768,0.16,0,38.2334583
0.01404,0.00702,161.561773,0.08,0,40.54669
0.01412,0.00706,162.139039,0.08,0,40.930023
0.0142,0.0071,162.71389,0.08,0,41.3126807
0.01428,0.00714,163.287783,0.08,0,41.6981561
0.01436,0.00718,163.857553,0.08,0,42.0797687
0.01444,0.00722,164.421269,0.16,0,42.46334
0.01452,0.00726,164.981626,0.08,0,44.7122912
0.0146,0.0073,165.53976,0.08,0,45.1160069
0.01468,0.00734,166.095636,0.08,0,45.5047054
0.01476,0.00738,166.65007,0.08,0,45.8702641
0.01484,0.00742,167.200343,0.08,0,46.2776961
0.01492,0.00746,167.746562,0.16,0,46.6869583
0.015,0.0075,168.290318,0.08,0,48.9668608
0.01508,0.00754,168.831347,0.08,0,49.3829904
0.01516,0.00758,169.371334,0.08,0,49.7915597
0.01524,0.00762,169.910271,0.08,0,50.1995704
0.01532,0.00766,170.447647,0.08,0,50.6305223
0.0154,0.0077,170.982093,0.16,0,51.0593283
0.01548,0.00774,171.515614,0.08,0,53.3141248
0.01556,0.00778,172.047789,0.08,0,53.7465003
0.01564,0.00782,172.598073,0.08,1,55.195384
0.01568,0.00784,172.843972,0.04,0,57.3906946
0.01572,0.00786,173.108929,0.04,0,57.752733
0.01576,0.00788,173.373488,0.04,0,58.1135094
0.0158,0.0079,173.637547,0.04,0,58.4768794
0.01584,0.00792,173.90135,0.04,0,58.837275
0.01588,0.00794,174.164943,0.08,0,59.1988623
0.01592,0.00796,174.428313,0.04,0,61.4195108
0.01596,0.00798,174.691462,0.04,0,61.7863386
0.016,0.008,174.954337,0.04,0,62.149483
0.01604,0.00802,175.217058,0.04,0,62.5138156
0.01608,0.00804,175.478292,0.04,0,62.9151056
0.01612,0.00806,175.738188,0.08,0,63.3220406
0.01616,0.00808,175.997829,0.04,0,65.5824215
0.0162,0.0081,176.257179,0.04,0,65.9809277
0.01624,0.00812,176.516246,0.04,0,66.3750784
