s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,15.330632,0.02,0,0.0221934319
4e-05,2e-05,15.6612641,0.02,0,0.0450766087
6e-05,3e-05,15.9918961,0.02,0,0.0681989193
8e-05,4e-05,16.3225281,0.02,0,0.0982789993
0.0001,5e-05,16.6531602,0.02,0,0.129547596
0.00012,6e-05,16.9837922,0.04,0,0.159199953
0.00016,8e-05,17.6450563,0.04,0,0.190146208
0.0002,0.0001,18.3063204,0.04,0,0.222605467
0.00024,0.00012,18.9675844,0.04,0,0.250466824
0.00028,0.00014,19.6288485,0.04,0,0.273525953
0.00032,0.00016,20.2901126,0.04,0,0.297047377
0.00036,0.00018,20.9513767,0.08,0,0.319056988
0.00044,0.00022,22.2739048,0.08,0,0.342185259
0.00052,0.00026,23.596433,0.08,0,0.371324778
0.0006,0.0003,24.9189611,0.08,0,0.395393133
0.00068,0.00034,26.2414893,0.08,0,0.418775797
0.00076,0.00038,27.5640174,0.08,0,0.440119267
0.00084,0.00042,28.8865456,0.16,0,0.463910818
0.001,0.0005,31.5316019,0.16,0,0.485417366
0.00116,0.00058,34.1766582,0.16,0,0.508426428
0.00132,0.00066,36.819309,0.16,0,0.553802013
0.00148,0.00074,39.4515593,0.16,0,0.597813845
0.00164,0.00082,42.071888,0.16,0,0.635331154
0.0018,0.0009,44.6621195,0.32,0,0.688432932
0.00212,0.00106,49.620482,0.32,0,0.74146843
0.00244,0.00122,54.3573729,0.32,0,0.794494867
0.00276,0.00138,58.786228,0.32,0,0.873063564
0.00308,0.00154,62.9087544,0.32,0,0.937588453
0.0034,0.0017,66.8947205,0.32,0,0.995283604
0.00372,0.00186,70.6991459,0.64,0,1.04516149
0.00436,0.00218,77.9165137,0.64,0,1.12169123
0.005,0.0025,84.7080972,0.64,0,1.20073485
0.00564,0.00282,91.0988015,0.64,0,1.26652312
0.00628,0.00314,97.2945713,0.64,0,1.31808925
0.00692,0.00346,103.348929,0.64,0,1.3696754
0.00756,0.00378,109.292501,1,0,1.43499017
0.00856,0.00428,118.174013,1,0,1.50908089
0.00956,0.00478,126.677206,1,0,1.58961987
0.01056,0.00528,134.929791,1,0,1.65728092
0.01156,0.00578,142.911505,1,0,1.72555017
0.01256,0.00628,150.535789,1,0,1.80946374
0.01356,0.00678,157.951163,1,0,1.89142966
0.01456,0.00728,165.137939,1,0,1.9787755
0.01556,0.00778,171.912556,1,0,2.06687284
0.01656,0.00828,178.414508,1,0,2.15344286
0.01756,0.00878,184.562167,1,0,2.26113462
0.01856,0.00928,190.103538,1,0,2.35300326
0.01956,0.00978,194.921842,1,0,2.44008541
0.02056,0.01028,199.184187,1,0,2.52662516
0.02156,0.01078,202.950556,1,0,2.63185883
0.02256,0.01128,206.142842,1,0,2.75475383
0.02356,0.01178,208.989811,1,0,2.90452051
0.02456,0.01228,211.517967,1,0,3.05619931
0.02556,0.01278,213.676141,1,0,3.2068665
0.02656,0.01328,215.590008,1,0,3.35724211
0.02756,0.01378,217.357946,1,0,3.53315735
0.02856,0.01428,219.008897,1,0,3.68375182
0.02956,0.01478,220.570246,1,0,3.83521104
0.03056,0.01528,222.065417,1,0,3.9875679
0.03156,0.01578,223.500912,1,0,4.13859344
0.03256,0.01628,224.868903,1,0,4.29158664
0.03356,0.01678,226.194142,1,0,4.44168758
0.03456,0.01728,227.475532,1,0,4.6191144
0.03556,0.01778,228.697623,1,0,4.79640198
0.03656,0.01828,229.882231,1,0,4.9485805
0.03756,0.01878,231.019958,1,0,5.10402918
0.03856,0.01928,232.053503,1,0,5.25535297
0.03956,0.01978,233.040598,1,0,5.42949653
0.04056,0.02028,234.005811,1,0,5.58217239
0.04156,0.02078,234.936796,1,0,5.73416352
0.04256,0.02128,235.838664,1,0,5.88698125
0.04356,0.02178,236.718924,1,0,6.13759613
0.04456,0.02228,237.573761,1,0,6.29908228
0.04556,0.02278,238.396606,1,0,6.45380163
0.04656,0.02328,239.184685,1,0,6.63211966
0.04756,0.02378,239.955916,1,0,6.81078267
0.04856,0.02428,240.70617,1,0,6.98852205
0.04956,0.02478,241.434502,1,0,7.1665895
0.05056,0.02528,242.144989,1,0,7.34325337
0.05156,0.02578,242.826056,1,0,7.52126479
0.05256,0.02628,243.490557,1,0,7.69965911
0.05356,0.02678,244.139512,1,0,7.8774209
0.05456,0.02728,244.776812,1,0,8.05615425
0.05556,0.02778,245.404621,1,0,8.24098659
0.05656,0.02828,246.012604,1,0,8.42055702
0.05756,0.02878,246.596424,1,0,8.62286329
0.05856,0.02928,247.162362,1,0,8.82413459
0.05956,0.02978,247.714534,1,0,9.02574801
0.06056,0.03028,248.25784,1,0,9.20472407
