s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,15.330632,0.02,0,0.0295417309
4e-05,2e-05,15.6612641,0.02,0,0.0602636337
6e-05,3e-05,15.9918961,0.02,0,0.089982748
8e-05,4e-05,16.3225281,0.02,0,0.11900568
0.0001,5e-05,16.6531602,0.02,0,0.147554159
0.00012,6e-05,16.9837922,0.04,0,0.180096626
0.00016,8e-05,17.6450563,0.04,0,0.210885048
0.0002,0.0001,18.3063204,0.04,0,0.240396738
0.00024,0.00012,18.9675844,0.04,0,0.274146795
0.00028,0.00014,19.6288485,0.04,0,0.303669453
0.00032,0.00016,20.2901126,0.04,0,0.337056637
0.00036,0.00018,20.9513767,0.08,0,0.36762929
0.00044,0.00022,22.2739048,0.08,0,0.397176743
0.00052,0.00026,23.596433,0.08,0,0.426733732
0.0006,0.0003,24.9189611,0.08,0,0.457248211
0.00068,0.00034,26.2414893,0.08,0,0.490281105
0.00076,0.00038,27.5640174,0.08,0,0.520814419
0.00084,0.00042,28.8865456,0.16,0,0.550832272
0.001,0.0005,31.5316019,0.16,0,0.582910061
0.00116,0.00058,34.1766582,0.16,0,0.613005638
0.00132,0.00066,36.8096122,0.16,0,0.666056156
0.00148,0.00074,39.3925662,0.16,0,0.716663122
0.00164,0.00082,41.9150059,0.16,0,0.767719746
0.0018,0.0009,44.3395957,0.32,0,0.840289831
0.00212,0.00106,48.583034,0.32,0,0.912292004
0.00244,0.00122,52.3002375,0.32,0,1.0084796
0.00276,0.00138,55.6491935,0.32,0,1.10360527
0.00308,0.00154,58.4708638,0.32,0,1.21600628
0.0034,0.0017,60.9265188,0.32,0,1.30801773
0.00372,0.00186,63.2239995,0.64,0,1.40033293
0.00436,0.00218,67.3746499,0.64,0,1.51542211
0.005,0.0025,70.9822925,0.64,0,1.62784481
0.00564,0.00282,74.2849471,0.64,0,1.74069118
0.00628,0.00314,77.3957801,0.64,0,1.85269189
0.00692,0.00346,80.3575525,0.64,0,1.96739459
0.00756,0.00378,83.113632,1,0,2.0852623
0.00856,0.00428,87.2022186,1,0,2.2394762
0.00956,0.00478,90.9200329,1,0,2.39511871
0.01056,0.00528,94.3901101,1,0,2.55270791
0.01156,0.00578,97.6859474,1,0,2.7115202
0.01256,0.00628,100.83991,1,0,2.87305236
0.01356,0.00678,103.781116,1,0,3.00790596
0.01456,0.00728,106.486242,1,0,3.17358255
0.01556,0.00778,109.030879,1,0,3.33239293
0.01656,0.00828,111.439678,1,0,3.50024581
0.01756,0.00878,113.687505,1,0,3.67072058
0.01856,0.00928,115.799897,1,0,3.89039207
0.01956,0.00978,117.770308,1,0,4.07744765
0.02056,0.01028,119.639191,1,0,4.25900221
0.02156,0.01078,121.426959,1,0,4.44100547
0.02256,0.01128,123.123955,1,0,4.60687947
0.02356,0.01178,124.729562,1,0,4.76856256
0.02456,0.01228,126.246007,1,0,4.97346258
0.02556,0.01278,127.701009,1,0,5.15439653
0.02656,0.01328,129.073751,1,0,5.33991432
0.02756,0.01378,130.36511,1,0,5.52566528
0.02856,0.01428,131.599933,1,0,5.70490122
0.02956,0.01478,132.792732,1,0,5.85106683
0.03056,0.01528,133.944633,1,0,6.01245832
0.03156,0.01578,135.065365,1,0,6.1922915
0.03256,0.01628,136.153254,1,0,6.3806951
0.03356,0.01678,137.202006,1,0,6.5601716
0.03456,0.01728,138.20175,1,0,6.74673796
0.03556,0.01778,139.163222,1,0,6.92988467
0.03656,0.01828,140.081857,1,0,7.11390829
0.03756,0.01878,140.952038,1,0,7.30173898
0.03856,0.01928,141.768203,1,0,7.48818874
0.03956,0.01978,142.539053,1,0,7.66904235
0.04056,0.02028,143.24544,1,0,7.84427786
0.04156,0.02078,143.891617,1,0,7.98965049
0.04256,0.02128,144.501491,1,0,8.1373415
0.04356,0.02178,145.091779,1,0,8.32500505
0.04456,0.02228,145.633972,1,0,8.4794929
0.04556,0.02278,146.101088,1,0,8.64943433
0.04656,0.02328,146.542954,1,0,8.79193306
0.04756,0.02378,146.942928,1,0,8.94136858
0.04856,0.02428,147.285498,1,0,9.18388629
0.04956,0.02478,147.575094,1,0,9.34328842
0.05056,0.02528,147.821609,1,0,9.52047181
0.05156,0.02578,148.034698,1,0,9.68362045
0.05256,0.02628,148.223261,1,0,9.83687401
0.05356,0.02678,148.399077,1,0,10.0205531
0.05456,0.02728,148.56158,1,0,10.1955755
0.05556,0.02778,148.714384,1,0,10.3634405
0.05656,0.02828,148.85564,1,0,10.5309422
0.05756,0.02878,148.98154,1,0,10.7058129
0.05856,0.02928,149.097695,1,0,10.8857403
0.05956,0.02978,149.204334,1,0,11.0419683
0.06056,0.03028,149.305113,1,0,11.2212148
0.06156,0.03078,149.399954,1,0,11.4097784
0.06256,0.03128,149.487389,1,0,11.5889528
0.06356,0.03178,149.563739,1,0,11.7643335
0.06456,0.03228,149.635226,1,0,11.943408
0.06556,0.03278,149.702143,1,0,12.1319466
0.06656,0.03328,149.764589,1,0,12.3111119
0.06756,0.03378,149.823142,1,0,12.5019929
0.06856,0.03428,149.877899,1,0,12.6930008
0.06956,0.03478,149.929198,1,0,12.8740282
0.07056,0.03528,149.974998,1,0,13.0548928
0.07156,0.03578,150.012859,1,0,13.2122328
0.07256,0.03628,150.049098,1,0,13.3927093
0.07356,0.03678,150.084819,1,0,13.5764062
0.07456,0.03728,150.117317,1,0,13.7649589
0.07556,0.03778,150.147983,1,0,13.9485378
0.07656,0.03828,150.175682,1,0,14.1441815
0.07756,0.03878,150.202606,1,0,14.4648271
0.07856,0.03928,150.229258,1,0,14.6380565
0.07956,0.03978,150.25257,1,0,14.814187
0.08056,0.04028,150.274703,1,0,15.0108626
0.08156,0.04078,150.296163,1,0,15.2083147
0.08256,0.04128,150.316351,1,0,15.3993051
0.08356,0.04178,150.335484,1,0,15.5598924
0.08456,0.04228,150.353456,1,0,15.7289176
0.08556,0.04278,150.371759,1,0,15.8997455
0.08656,0.04328,150.38678,1,0,16.0678976
0.08756,0.04378,150.401438,1,0,16.2646332
0.08856,0.04428,150.414193,1,0,16.423003
0.08956,0.04478,150.424972,1,0,16.5821173
0.09056,0.04528,150.436016,1,0,16.7752507
0.09156,0.04578,150.446441,1,0,16.9892678
0.09256,0.04628,150.456344,1,0,17.1873364
0.09356,0.04678,150.465905,1,0,17.3844159
0.09456,0.04728,150.474796,1,0,17.5473785
0.09556,0.04778,150.483189,1,0,17.7485929
0.09656,0.04828,150.491647,1,0,17.9505975
0.09756,0.04878,150.499565,1,0,18.1252253
0.09856,0.04928,150.50713,1,0,18.3167384
0.09956,0.04978,150.514276,1,0,18.5075595
0.10056,0.05028,150.52057,1,0,18.7014465
0.10156,0.05078,150.528728,1,0,18.8851252
