s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,15.330632,0.02,0,0.0218865871
4e-05,2e-05,15.6612641,0.02,0,0.0439312458
6e-05,3e-05,15.9918961,0.02,0,0.0664377213
8e-05,4e-05,16.3225281,0.02,0,0.0873794556
0.0001,5e-05,16.6531602,0.02,0,0.11092639
0.00012,6e-05,16.9837922,0.04,0,0.133434534
0.00016,8e-05,17.6450563,0.04,0,0.154444933
0.0002,0.0001,18.3063204,0.04,0,0.176226377
0.00024,0.00012,18.9675844,0.04,0,0.197234869
0.00028,0.00014,19.6288485,0.04,0,0.218747854
0.00032,0.00016,20.2901126,0.04,0,0.241256237
0.00036,0.00018,20.9513767,0.08,0,0.263266563
0.00044,0.00022,22.2739048,0.08,0,0.284778118
0.00052,0.00026,23.596433,0.08,0,0.312623262
0.0006,0.0003,24.9189611,0.08,0,0.334668398
0.00068,0.00034,26.2414893,0.08,0,0.358190775
0.00076,0.00038,27.5640174,0.08,0,0.380192757
0.00084,0.00042,28.8865456,0.16,0,0.401703358
0.001,0.0005,31.5316019,0.16,0,0.423385859
0.00116,0.00058,34.1766582,0.16,0,0.444890976
0.00132,0.00066,36.8095959,0.16,0,0.481411219
0.00148,0.00074,39.3923551,0.16,0,0.515949249
0.00164,0.00082,41.9149559,0.16,0,0.553509235
0.0018,0.0009,44.3395451,0.32,0,0.603024483
0.00212,0.00106,48.5824252,0.32,0,0.653504372
0.00244,0.00122,52.3002034,0.32,0,0.704527855
0.00276,0.00138,55.6491416,0.32,0,0.754767418
0.00308,0.00154,58.4706965,0.32,0,0.820798397
0.0034,0.0017,60.9261761,0.32,0,0.87032342
0.00372,0.00186,63.2236767,0.64,0,0.920892715
0.00436,0.00218,67.3757778,0.64,0,0.974023342
0.005,0.0025,70.982707,0.64,0,1.03905654
0.00564,0.00282,74.2853891,0.64,0,1.10382557
0.00628,0.00314,77.3968952,0.64,0,1.1696105
0.00692,0.00346,80.3586901,0.64,0,1.23464751
0.00756,0.00378,83.1165031,1,0,1.29023409
0.00856,0.00428,87.2025752,1,0,1.36046052
0.00956,0.00478,90.920899,1,0,1.42559862
0.01056,0.00528,94.3905325,1,0,1.49118233
0.01156,0.00578,97.6861306,1,0,1.55972958
0.01256,0.00628,100.840307,1,0,1.62576032
0.01356,0.00678,103.781796,1,0,1.69374013
0.01456,0.00728,106.486663,1,0,1.76178336
0.01556,0.00778,109.031319,1,0,1.82897854
0.01656,0.00828,111.439828,1,0,1.89780021
0.01756,0.00878,113.687543,1,0,1.97129703
0.01856,0.00928,115.799747,1,0,2.05238605
0.01956,0.00978,117.770603,1,0,2.1214211
0.02056,0.01028,119.639263,1,0,2.18874598
0.02156,0.01078,121.427079,1,0,2.26633763
0.02256,0.01128,123.123777,1,0,2.33663893
0.02356,0.01178,124.729188,1,0,2.40237784
0.02456,0.01228,126.246236,1,0,2.46922612
0.02556,0.01278,127.701649,1,0,2.5347867
0.02656,0.01328,129.073582,1,0,2.60386062
0.02756,0.01378,130.36525,1,0,2.67143583
0.02856,0.01428,131.600492,1,0,2.75847578
0.02956,0.01478,132.793199,1,0,2.85661602
0.03056,0.01528,133.94528,1,0,2.95623827
0.03156,0.01578,135.065985,1,0,3.05476475
0.03256,0.01628,136.154137,1,0,3.15725207
0.03356,0.01678,137.203243,1,0,3.25586629
0.03456,0.01728,138.203772,1,0,3.35423708
0.03556,0.01778,139.164398,1,0,3.45195746
0.03656,0.01828,140.082372,1,0,3.55054307
0.03756,0.01878,140.954073,1,0,3.65029979
0.03856,0.01928,141.767242,1,0,3.77079988
0.03956,0.01978,142.537501,1,0,3.89126635
0.04056,0.02028,143.243693,1,0,4.01173759
0.04156,0.02078,143.88986,1,0,4.13316107
0.04256,0.02128,144.498616,1,0,4.25605106
0.04356,0.02178,145.089546,1,0,4.37931371
0.04456,0.02228,145.631841,1,0,4.50014305
0.04556,0.02278,146.100482,1,0,4.62122488
0.04656,0.02328,146.54061,1,0,4.74178147
0.04756,0.02378,146.940645,1,0,4.86559486
0.04856,0.02428,147.283282,1,0,4.98738885
0.04956,0.02478,147.575172,1,0,5.10802484
0.05056,0.02528,147.819913,1,0,5.22912836
0.05156,0.02578,148.033049,1,0,5.37196875
0.05256,0.02628,148.221701,1,0,5.51751733
0.05356,0.02678,148.396638,1,0,5.66101384
0.05456,0.02728,148.559775,1,0,5.80358076
0.05556,0.02778,148.711776,1,0,5.94757128
0.05656,0.02828,148.852967,1,0,6.0932374
0.05756,0.02878,148.979254,1,0,6.24146962
0.05856,0.02928,149.09472,1,0,6.40346766
0.05956,0.02978,149.202354,1,0,6.54766989
0.06056,0.03028,149.302961,1,0,6.69360924
0.06156,0.03078,149.397006,1,0,6.8175056
0.06256,0.03128,149.484229,1,0,6.96203184
0.06356,0.03178,149.560417,1,0,7.10557437
0.06456,0.03228,149.631718,1,0,7.24887633
0.06556,0.03278,149.698445,1,0,7.39421701
0.06656,0.03328,149.760895,1,0,7.5373857
0.06756,0.03378,149.81936,1,0,7.68431163
0.06856,0.03428,149.874104,1,0,7.82745767
0.06956,0.03478,149.925411,1,0,7.9513669
0.07056,0.03528,149.971164,1,0,8.09654808
0.07156,0.03578,150.010064,1,0,8.24356484
0.07256,0.03628,150.046652,1,0,8.39132142
0.07356,0.03678,150.081106,1,0,8.53755689
0.07456,0.03728,150.113519,1,0,8.68625474
0.07556,0.03778,150.144061,1,0,8.83196259
0.07656,0.03828,150.172823,1,0,8.97583246
0.07756,0.03878,150.199951,1,0,9.1224854
0.07856,0.03928,150.225476,1,0,9.26677322
0.07956,0.03978,150.249652,1,0,9.38855314
0.08056,0.04028,150.272263,1,0,9.53322101
0.08156,0.04078,150.293663,1,0,9.67614651
0.08256,0.04128,150.31388,1,0,9.82203197
0.08356,0.04178,150.332996,1,0,9.96438789
0.08456,0.04228,150.351044,1,0,10.1104543
0.08556,0.04278,150.368105,1,0,10.2530556
0.08656,0.04328,150.384248,1,0,10.3966703
0.08756,0.04378,150.39885,1,0,10.5434806
0.08856,0.04428,150.410956,1,0,10.6884089
0.08956,0.04478,150.422513,1,0,10.833324
0.09056,0.04528,150.433455,1,0,10.9778686
0.09156,0.04578,150.443897,1,0,11.1234205
0.09256,0.04628,150.453961,1,0,11.2930868
0.09356,0.04678,150.463452,1,0,11.4362402
0.09456,0.04728,150.472547,1,0,11.5806355
0.09556,0.04778,150.481129,1,0,11.741009
0.09656,0.04828,150.489392,1,0,11.8918018
0.09756,0.04878,150.497211,1,0,12.0573452
0.09856,0.04928,150.50468,1,0,12.2036791
0.09956,0.04978,150.511827,1,0,12.3489034
0.10056,0.05028,150.518629,1,0,12.4932566
0.10156,0.05078,150.525112,1,0,12.6374395
0.10256,0.05128,150.531327,1,0,12.7832458
0.10356,0.05178,150.537248,1,0,12.9268646
0.10456,0.05228,150.542922,1,0,13.0709243
0.10556,0.05278,150.548347,1,0,13.213954
0.10656,0.05328,150.553523,1,0,13.3583245
0.10756,0.05378,150.558512,1,0,13.509264
0.10856,0.05428,150.563254,1,0,13.6572778
0.10956,0.05478,150.567976,1,0,13.782187
0.11056,0.05528,150.572243,1,0,13.9257135
0.11156,0.05578,150.576432,1,0,14.0686705
0.11256,0.05628,150.580459,1,0,14.2147171
0.11356,0.05678,150.584307,1,0,14.3592525
0.11456,0.05728,150.588019,1,0,14.5046754
0.11556,0.05778,150.59161,1,0,14.647121
0.11656,0.05828,150.595053,1,0,14.7907064
0.11756,0.05878,150.59836,1,0,14.9367404
0.11856,0.05928,150.601527,1,0,15.0801041
0.11956,0.05978,150.604638,1,0,15.2261531
0.12056,0.06028,150.607612,1,0,15.3698566
0.12156,0.06078,150.610467,1,0,15.5120192
0.12256,0.06128,150.613285,1,0,15.6586199
0.12356,0.06178,150.615901,1,0,15.8032854
0.12456,0.06228,150.618535,1,0,15.9469872
0.12556,0.06278,150.620977,1,0,16.0915046
0.12656,0.06328,150.623351,1,0,16.2347043
0.12756,0.06378,150.625711,1,0,16.381454
0.12856,0.06428,150.627938,1,0,16.5339949
0.12956,0.06478,150.630167,1,0,16.6784656
0.13056,0.06528,150.63235,1,0,16.8266599
0.13156,0.06578,150.634341,1,0,16.9709551
0.13256,0.06628,150.636336,1,0,17.1148434
0.13356,0.06678,150.638195,1,0,17.2591598
0.13456,0.06728,150.63899,1,0,17.4037526
0.13556,0.06778,150.639952,1,0,17.5479255
0.13656,0.06828,150.640993,1,0,17.6713955
0.13756,0.06878,150.641944,1,0,17.8155761
0.13856,0.06928,150.6429,1,0,17.9583468
0.13956,0.06978,150.643866,1,0,18.1043651
0.14056,0.07028,150.644827,1,0,18.2481437
0.14156,0.07078,150.645783,1,0,18.3915884
0.14256,0.07128,150.646727,1,0,18.5385952
0.14356,0.07178,150.647696,1,0,18.6918299
0.14456,0.07228,150.648623,1,0,18.8448765
0.14556,0.07278,150.649543,1,0,18.9891939
0.14656,0.07328,150.650528,1,0,19.1130176
0.14756,0.07378,150.651304,1,0,19.2582102
0.14856,0.07428,150.652335,1,0,19.4021003
0.14956,0.07478,150.653216,1,0,19.5458384
0.15056,0.07528,150.654155,1,0,19.6671028
0.15156,0.07578,150.654875,1,0,19.8095703
0.15256,0.07628,150.655766,1,0,19.9566615
0.15356,0.07678,150.656712,1,0,20.1008856
0.15456,0.07728,150.657519,1,0,20.2452011
0.15556,0.07778,150.658333,1,0,20.3883276
0.15656,0.07828,150.65915,1,0,20.5111821
0.15756,0.07878,150.65985,1,0,20.6564791
0.15856,0.07928,150.660758,1,0,20.8246844
0.15956,0.07978,150.661601,1,0,20.9449484
0.16056,0.08028,150.662109,1,0,21.0903683
0.16156,0.08078,150.662492,1,0,21.2327876
0.16256,0.08128,150.662802,1,0,21.3775699
0.16356,0.08178,150.663231,1,0,21.5250864
0.16456,0.08228,150.663774,1,0,21.6695836
0.16556,0.08278,150.664237,1,0,21.8140063
0.16656,0.08328,150.66469,1,0,21.9581842
0.16756,0.08378,150.665186,1,0,22.1052656
0.16856,0.08428,150.665667,1,0,22.2486253
0.16956,0.08478,150.666182,1,0,22.3931918
0.17056,0.08528,150.666685,1,0,22.5363686
0.17156,0.08578,150.667193,1,0,22.6810248
0.17256,0.08628,150.667674,1,0,22.8272738
0.17356,0.08678,150.668196,1,0,22.9714856
0.17456,0.08728,150.668687,1,0,23.1160166
0.17556,0.08778,150.669234,1,0,23.2579918
0.17656,0.08828,150.669727,1,0,23.4002016
0.17756,0.08878,150.67022,1,0,23.5541251
0.17856,0.08928,150.670758,1,0,23.6986976
0.17956,0.08978,150.671264,1,0,23.843173
0.18056,0.09028,150.671751,1,0,23.9892242
0.18156,0.09078,150.672279,1,0,24.13469
0.18256,0.09128,150.672762,1,0,24.2771008
0.18356,0.09178,150.67327,1,0,24.4204252
0.18456,0.09228,150.673791,1,0,24.5628624
0.18556,0.09278,150.674283,1,0,24.7053645
0.18656,0.09328,150.674778,1,0,24.848783
0.18756,0.09378,150.675268,1,0,24.9946632
0.18856,0.09428,150.675742,1,0,25.1388109
0.18956,0.09478,150.676249,1,0,25.2822533
0.19056,0.09528,150.676718,1,0,25.4274604
0.19156,0.09578,150.677199,1,0,25.5731914
0.19256,0.09628,150.677705,1,0,25.718787
0.19356,0.09678,150.678158,1,0,25.8614104
0.19456,0.09728,150.678662,1,0,26.0057943
0.19556,0.09778,150.679123,1,0,26.1515448
0.19656,0.09828,150.679592,1,0,26.2947087
0.19756,0.09878,150.680061,1,0,26.4404094
