s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9880179,11.9880179,0.02,0,0.0860586166
4e-05,2e-05,12.3093691,12.3093691,0.02,0,0.174563408
6e-05,3e-05,12.6307203,12.6307203,0.02,0,0.263048172
8e-05,4e-05,12.9520716,12.9520716,0.02,0,0.351973057
0.0001,5e-05,13.2734228,13.2734228,0.02,0,0.441639662
0.00012,6e-05,13.594774,13.594774,0.04,0,0.528834343
0.00016,8e-05,14.2374764,14.2374764,0.04,0,0.613894224
0.0002,0.0001,14.8801789,14.8801789,0.04,0,0.700443745
0.00024,0.00012,15.5228813,15.5228813,0.04,0,0.790014505
0.00028,0.00014,16.1655838,16.1655838,0.04,0,0.880070448
0.00032,0.00016,16.8082862,16.8082862,0.04,0,0.968323231
0.00036,0.00018,17.4509887,17.4509887,0.08,0,1.0588901
0.00044,0.00022,18.7363935,18.7363935,0.08,0,1.14693379
0.00052,0.00026,20.0217984,20.0217984,0.08,0,1.23483324
0.0006,0.0003,21.3072033,21.3072033,0.08,0,1.32389259
0.00068,0.00034,22.5926082,22.5926082,0.08,0,1.40944958
0.00076,0.00038,23.8780131,23.8780131,0.08,0,1.55006528
0.00084,0.00042,25.163418,25.163418,0.16,0,1.68856072
0.001,0.0005,27.7342177,27.7342177,0.16,0,1.84015369
0.00116,0.00058,30.305091,30.305091,0.16,0,2.00870943
0.00132,0.00066,32.8758946,32.8758946,0.16,0,2.20424843
0.00148,0.00074,35.4466571,35.4466571,0.16,0,2.46308684
0.00164,0.00082,37.9919518,37.9919518,0.16,0,2.64571786
0.0018,0.0009,40.4649614,40.4649614,0.2,0,2.83532906
0.002,0.001,43.3447107,43.3447107,0.2,0,2.98220634
0.0022,0.0011,46.0740455,46.0740455,0.2,0,3.22009921
0.0024,0.0012,48.6818237,48.6818237,0.2,0,3.37823081
0.0026,0.0013,51.1673644,51.1673644,0.2,0,3.56802225
0.0028,0.0014,53.548005,53.548005,0.2,0,3.81234527
0.003,0.0015,55.8318162,55.8318162,0.2,0,3.96209168
0.0032,0.0016,58.0308382,58.0308382,0.2,0,4.11037898
0.0034,0.0017,60.1503485,60.1503485,0.2,0,4.31185007
0.0036,0.0018,62.2182352,62.2182352,0.2,0,4.48834085
0.0038,0.0019,64.2527886,64.2527886,0.2,0,4.65576768
0.004,0.002,66.2402655,66.2402655,0.2,0,4.87203169
0.0042,0.0021,68.1785597,68.1785597,0.2,0,5.13621163
0.0044,0.0022,70.0867475,70.0867475,0.2,0,5.29413915
0.0046,0.0023,71.9592012,71.9592012,0.2,0,5.4232223
0.0048,0.0024,73.7747172,73.7747172,0.2,0,5.53723454
0.005,0.0025,75.561745,75.561745,0.2,0,5.69868112
0.0052,0.0026,77.3303757,77.3303757,0.2,0,5.87378407
0.0054,0.0027,79.0802698,79.0802698,0.2,0,6.08637977
0.0056,0.0028,80.812274,80.812274,0.2,0,6.24288607
0.0058,0.0029,82.5242485,82.5242485,0.2,0,6.39773583
0.006,0.003,84.2165817,84.2165817,0.2,0,6.56981707
0.0062,0.0031,85.8832458,85.8832458,0.2,0,6.75709176
0.0064,0.0032,87.5323163,87.5323163,0.2,0,6.97768974
0.0066,0.0033,89.1640704,89.1640704,0.2,0,7.13691401
0.0068,0.0034,90.7812237,90.7812237,0.2,0,7.2845037
0.007,0.0035,92.385285,92.385285,0.2,0,7.44715786
0.0072,0.0036,93.9817385,93.9817385,0.2,0,7.6167748
0.0074,0.0037,95.5415615,95.5415615,0.2,0,7.77091694
0.0076,0.0038,97.0707019,97.0707019,0.2,0,7.93613696
0.0078,0.0039,98.5840306,98.5840306,0.2,0,8.11214948
0.008,0.004,100.087417,100.087417,0.2,0,8.24475765
0.0082,0.0041,101.573335,101.573335,0.2,0,8.42149234
0.0084,0.0042,103.038654,103.038654,0.2,0,8.62218356
0.0086,0.0043,104.481407,104.481407,0.2,0,8.79910445
0.0088,0.0044,105.910758,105.910758,0.2,0,8.98783135
0.009,0.0045,107.330407,107.330407,0.2,0,9.19859838
0.0092,0.0046,108.735076,108.735076,0.2,0,9.37422681
0.0094,0.0047,110.120569,110.120569,0.2,0,9.60509443
0.0096,0.0048,111.492591,111.492591,0.2,0,9.80629206
0.0098,0.0049,112.854655,112.854655,0.2,0,10.0001771
