s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,14.8801789,14.8801789,0.2,0,0.767084122
0.0004,0.0002,18.0936919,18.0936919,0.2,0,1.30307746
0.0006,0.0003,21.3072033,21.3072033,0.2,0,1.73640203
0.0008,0.0004,24.5207155,24.5207155,0.2,0,2.25010061
0.001,0.0005,27.7342278,27.7342278,0.2,0,2.69273996
0.0012,0.0006,30.9479682,30.9479682,0.4,0,3.32021832
0.0016,0.0008,37.3639306,37.3639306,0.4,0,3.76536632
0.002,0.001,43.340187,43.340187,0.4,0,4.42597103
0.0024,0.0012,48.6664185,48.6664185,0.4,0,5.28633952
0.0026,0.0013,51.1551501,51.1551501,0.2,0,16.9525816
0.0028,0.0014,53.5374185,53.5374185,0.2,0,17.9367511
0.003,0.0015,55.8223804,55.8223804,0.2,0,18.5539184
0.0032,0.0016,58.0232317,58.0232317,0.2,0,19.1737888
0.0034,0.0017,60.1452054,60.1452054,0.2,0,19.7713916
0.0036,0.0018,62.2127434,62.2127434,0.4,0,20.5086164
0.0038,0.0019,64.2478611,64.2478611,0.2,0,27.1891117
0.004,0.002,66.235755,66.235755,0.2,0,27.5047543
0.0042,0.0021,68.1744291,68.1744291,0.2,0,27.7673538
0.0044,0.0022,70.0828874,70.0828874,0.2,0,28.0368474
0.0046,0.0023,71.955583,71.955583,0.2,0,28.3083007
0.0048,0.0024,73.7713513,73.7713513,0.4,0,28.5172427
0.005,0.0025,75.5588641,75.5588641,0.2,0,31.5353775
0.0052,0.0026,77.3271906,77.3271906,0.2,0,31.7394903
0.0054,0.0027,79.0782078,79.0782078,0.2,0,31.8915875
0.0056,0.0028,80.8092066,80.8092066,0.2,0,32.0548596
0.0058,0.0029,82.5212179,82.5212179,0.2,0,32.2350574
0.006,0.003,84.2136857,84.2136857,0.4,0,32.3996627
0.0062,0.0031,85.8804299,85.8804299,0.2,0,35.6496394
0.0064,0.0032,87.5295422,87.5295422,0.2,0,35.8271368
0.0066,0.0033,89.1613204,89.1613204,0.2,0,36.0015445
0.0068,0.0034,90.777255,90.777255,0.2,0,36.1483798
