s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9916808,11.9916808,0.02,0,0.106082916
4e-05,2e-05,12.316695,12.316695,0.02,0,0.214096785
6e-05,3e-05,12.6417091,12.6417091,0.02,0,0.327181578
8e-05,4e-05,12.9667233,12.9667233,0.02,0,0.421137571
0.0001,5e-05,13.2917374,13.2917374,0.02,0,0.517900705
0.00012,6e-05,13.6167516,13.6167516,0.04,0,0.6190207
0.00016,8e-05,14.2667799,14.2667799,0.04,0,0.713785887
0.0002,0.0001,14.9168082,14.9168082,0.04,0,0.798704624
0.00024,0.00012,15.5668365,15.5668365,0.04,0,0.881782293
0.00028,0.00014,16.2168648,16.2168648,0.04,0,0.978851795
0.00032,0.00016,16.8668931,16.8668931,0.04,0,1.09868407
0.00036,0.00018,17.5169214,17.5169214,0.08,0,1.21924853
0.0004,0.0002,18.1669497,18.1669497,0.04,0,5.79280567
0.00044,0.00022,18.816978,18.816978,0.04,0,5.88937616
0.00048,0.00024,19.4670063,19.4670063,0.04,0,5.98794627
0.00052,0.00026,20.1170346,20.1170346,0.04,0,6.09061742
0.00056,0.00028,20.7670629,20.7670629,0.04,0,6.18719029
0.0006,0.0003,21.4170889,21.4170889,0.08,0,6.33035684
0.00064,0.00032,22.0671022,22.0671022,0.04,0,10.9550507
0.00068,0.00034,22.7171121,22.7171121,0.04,0,11.0782619
0.00072,0.00036,23.3671208,23.3671208,0.04,0,11.1908062
0.00076,0.00038,24.0171305,24.0171305,0.04,0,11.3064666
0.0008,0.0004,24.6671436,24.6671436,0.04,0,11.4573674
0.00084,0.00042,25.3171632,25.3171632,0.08,0,11.581434
0.00088,0.00044,25.9671936,25.9671936,0.04,0,17.4844224
0.00092,0.00046,26.6172423,26.6172423,0.04,0,17.6455219
0.00096,0.00048,27.2673212,27.2673212,0.04,0,17.8014832
0.001,0.0005,27.9174488,27.9174488,0.04,0,17.9341688
0.00104,0.00052,28.5676477,28.5676477,0.04,0,18.0607471
0.00108,0.00054,29.2179277,29.2179277,0.08,0,18.2293391
0.00112,0.00056,29.8654586,29.8654586,0.04,0,25.2942297
0.00116,0.00058,30.5118567,30.5118567,0.04,0,25.4622216
0.0012,0.0006,31.1580185,31.1580185,0.04,0,25.6548071
0.00124,0.00062,31.8038862,31.8038862,0.04,0,25.8522861
0.00128,0.00064,32.4500085,32.4500085,0.04,0,26.0553629
0.00132,0.00066,33.0961105,33.0961105,0.08,0,26.2622213
0.00136,0.00068,33.7421931,33.7421931,0.04,0,35.7009997
0.0014,0.0007,34.3882483,34.3882483,0.04,0,36.0648332
0.00144,0.00072,35.0284882,35.0284882,0.04,0,36.3070018
0.00148,0.00074,35.6639246,35.6639246,0.04,0,36.5243082
0.00152,0.00076,36.2952784,36.2952784,0.04,0,36.7691889
0.00156,0.00078,36.9233213,36.9233213,0.08,0,37.0018103
0.0016,0.0008,37.5435897,37.5435897,0.04,0,44.8905749
0.00164,0.00082,38.1621447,38.1621447,0.04,0,45.1045206
0.00168,0.00084,38.7781697,38.7781697,0.04,0,45.252244
0.00172,0.00086,39.3911936,39.3911936,0.04,0,45.3929868
0.00176,0.00088,39.9982915,39.9982915,0.04,0,45.5376849
0.0018,0.0009,40.6009547,40.6009547,0.08,0,45.7087739
0.00184,0.00092,41.1894791,41.1894791,0.04,0,51.2350876
0.00188,0.00094,41.7653659,41.7653659,0.04,0,51.3807862
0.00192,0.00096,42.3266495,42.3266495,0.04,0,51.5867004
0.00196,0.00098,42.8731543,42.8731543,0.04,0,51.8021083
0.002,0.001,43.4044517,43.4044517,0.04,0,51.9723079
0.00204,0.00102,43.8802435,43.8802435,0.08,0,52.1700759
0.00212,0.00106,44.7706179,44.7706179,0.08,0,52.4517205
0.00216,0.00108,45.1969147,45.1969147,0.04,0,59.0537765
0.0022,0.0011,45.614535,45.614535,0.04,0,59.2770553
0.00224,0.00112,46.0233082,46.0233082,0.04,0,59.4970782
0.00228,0.00114,46.4202266,46.4202266,0.04,0,59.7289872
0.00232,0.00116,46.8132596,46.8132596,0.04,0,59.9287231
0.00236,0.00118,47.2041138,47.2041138,0.08,0,60.1169763
0.0024,0.0012,47.5808015,47.5808015,0.04,0,65.2720599
0.00244,0.00122,47.9481025,47.9481025,0.04,0,65.4529307
0.00248,0.00124,48.3095625,48.3095625,0.04,0,65.6386974
0.00252,0.00126,48.665891,48.665891,0.04,0,65.8450651
0.00256,0.00128,49.0178142,49.0178142,0.04,0,66.0233843
0.0026,0.0013,49.3621534,49.3621534,0.08,0,66.2061419
0.00264,0.00132,49.6975785,49.6975785,0.04,0,71.7589474
0.00268,0.00134,50.0221295,50.0221295,0.04,0,71.9781902
0.00272,0.00136,50.3416446,50.3416446,0.04,0,72.2079883
0.00276,0.00138,50.657011,50.657011,0.04,0,72.4330394
0.0028,0.0014,50.969664,50.969664,0.04,0,72.6451609
0.00284,0.00142,51.279777,51.279777,0.08,0,72.8604364
0.00288,0.00144,51.5874325,51.5874325,0.04,0,78.3014467
0.00292,0.00146,51.8920462,51.8920462,0.04,0,78.5400467
0.00296,0.00148,52.1946805,52.1946805,0.04,0,78.7632816
0.003,0.0015,52.49544,52.49544,0.04,0,78.9715824
0.00304,0.00152,52.7917622,52.7917622,0.04,0,79.1811807
0.00308,0.00154,53.0851861,53.0851861,0.08,0,79.3713579
0.00312,0.00156,53.3764398,53.3764398,0.04,0,85.5859237
0.00316,0.00158,53.6630896,53.6630896,0.04,0,85.7764523
0.0032,0.0016,53.9397883,53.9397883,0.04,0,85.9574938
0.00324,0.00162,54.2142987,54.2142987,0.04,0,86.1672964
0.00328,0.00164,54.4861567,54.4861567,0.04,0,86.4016249
0.00332,0.00166,54.7553038,54.7553038,0.08,0,86.6407325
0.00336,0.00168,55.0226289,55.0226289,0.04,0,92.976321
0.0034,0.0017,55.2882255,55.2882255,0.04,0,93.2084601
0.00344,0.00172,55.5501567,55.5501567,0.04,0,93.4245932
0.00348,0.00174,55.808433,55.808433,0.04,0,93.5869606
0.00352,0.00176,56.0631948,56.0631948,0.04,0,93.7708664
0.00356,0.00178,56.3159356,56.3159356,0.08,0,94.0026991
0.0036,0.0018,56.5670684,56.5670684,0.04,0,100.410199
0.00364,0.00182,56.8166027,56.8166027,0.04,0,100.596633
0.00368,0.00184,57.0634312,57.0634312,0.04,0,100.813592
0.00372,0.00186,57.3087675,57.3087675,0.04,0,100.989884
0.00376,0.00188,57.5511132,57.5511132,0.04,0,101.173924
0.0038,0.0019,57.7872919,57.7872919,0.08,0,101.353938
0.00384,0.00192,58.0193108,58.0193108,0.04,0,106.296175
0.00388,0.00194,58.2493264,58.2493264,0.04,0,106.532543
0.00392,0.00196,58.4778885,58.4778885,0.04,0,106.756175
0.00396,0.00198,58.7049728,58.7049728,0.04,0,106.959967
0.004,0.002,58.9305829,58.9305829,0.04,0,107.141311
0.00404,0.00202,59.1530721,59.1530721,0.08,0,107.324999
0.00408,0.00204,59.3733485,59.3733485,0.04,0,113.218469
0.00412,0.00206,59.5922096,59.5922096,0.04,0,113.410126
0.00416,0.00208,59.8100679,59.8100679,0.04,0,113.645979
0.0042,0.0021,60.0265007,60.0265007,0.04,0,113.874322
0.00424,0.00212,60.2410678,60.2410678,0.04,0,114.096476
0.00428,0.00214,60.4543318,60.4543318,0.08,0,114.31856
0.00432,0.00216,60.6661684,60.6661684,0.04,0,120.647441
0.00436,0.00218,60.8767908,60.8767908,0.04,0,120.907285
0.0044,0.0022,61.0864351,61.0864351,0.04,0,121.134374
0.00444,0.00222,61.2951915,61.2951915,0.04,0,121.363543
0.00448,0.00224,61.5027038,61.5027038,0.04,0,121.570677
0.00452,0.00226,61.70874,61.70874,0.08,0,121.785046
0.00456,0.00228,61.9140003,61.9140003,0.04,0,127.830542
0.0046,0.0023,62.1183833,62.1183833,0.04,0,128.02168
0.00464,0.00232,62.3220103,62.3220103,0.04,0,128.232667
0.00468,0.00234,62.5248294,62.5248294,0.04,0,128.427261
0.00472,0.00236,62.7267938,62.7267938,0.04,0,128.637641
0.00476,0.00238,62.9284147,62.9284147,0.08,0,128.862336
0.0048,0.0024,63.1288843,63.1288843,0.04,0,134.486995
0.00484,0.00242,63.3276481,63.3276481,0.04,0,134.700823
0.00488,0.00244,63.5268531,63.5268531,0.04,0,134.938436
0.00492,0.00246,63.724194,63.724194,0.04,0,135.182364
0.00496,0.00248,63.9202002,63.9202002,0.04,0,135.421642
0.005,0.0025,64.1150644,64.1150644,0.08,0,135.677978
0.00504,0.00252,64.3064591,64.3064591,0.04,0,141.920528
0.00508,0.00254,64.4950846,64.4950846,0.04,0,142.194909
0.00512,0.00256,64.6819347,64.6819347,0.04,0,142.460714
0.00516,0.00258,64.8686373,64.8686373,0.04,0,142.677253
0.0052,0.0026,65.0552845,65.0552845,0.04,0,142.907319
0.00524,0.00262,65.2414466,65.2414466,0.08,0,143.102466
0.00528,0.00264,65.4269908,65.4269908,0.04,0,149.294626
0.00532,0.00266,65.6117519,65.6117519,0.04,0,149.563455
0.00536,0.00268,65.7955915,65.7955915,0.04,0,149.828883
0.0054,0.0027,65.9789937,65.9789937,0.04,0,150.049945
0.00544,0.00272,66.1624382,66.1624382,0.04,0,150.241532
0.00548,0.00274,66.3453869,66.3453869,0.08,0,150.444842
0.00552,0.00276,66.5280778,66.5280778,0.04,0,156.617074
0.00556,0.00278,66.7102138,66.7102138,0.04,0,156.816334
0.0056,0.0028,66.8918215,66.8918215,0.04,0,157.106086
0.00564,0.00282,67.0721339,67.0721339,0.04,0,157.409466
0.00568,0.00284,67.2507997,67.2507997,0.04,0,157.697601
0.00572,0.00286,67.428498,67.428498,0.08,0,157.963383
0.00576,0.00288,67.6062146,67.6062146,0.04,0,164.061541
0.0058,0.0029,67.7837553,67.7837553,0.04,0,164.29287
0.00584,0.00292,67.9625394,67.9625394,0.04,0,164.469066
0.00588,0.00294,68.1418011,68.1418011,0.04,0,164.66625
0.00592,0.00296,68.3199542,68.3199542,0.04,0,164.909204
0.00596,0.00298,68.4979746,68.4979746,0.08,0,165.155822
0.006,0.003,68.6756109,68.6756109,0.04,0,171.44064
0.00604,0.00302,68.8530899,68.8530899,0.04,0,171.625733
0.00608,0.00304,69.0305397,69.0305397,0.04,0,171.833341
0.00612,0.00306,69.2080384,69.2080384,0.04,0,172.044445
0.00616,0.00308,69.3851945,69.3851945,0.04,0,172.280869
0.0062,0.0031,69.5620426,69.5620426,0.08,0,172.554921
0.00624,0.00312,69.7386062,69.7386062,0.04,0,178.659603
0.00628,0.00314,69.9148601,69.9148601,0.04,0,178.922486
0.00632,0.00316,70.0915809,70.0915809,0.04,0,179.159878
0.00636,0.00318,70.2665321,70.2665321,0.04,0,179.390529
0.0064,0.0032,70.4414407,70.4414407,0.04,0,179.607882
0.00644,0.00322,70.6230812,70.6230812,0.08,0,179.784238
0.00648,0.00324,70.8050576,70.8050576,0.04,0,185.320321
0.00652,0.00326,70.9882204,70.9882204,0.04,0,185.51078
0.00656,0.00328,71.1740357,71.1740357,0.04,0,185.76363
0.0066,0.0033,71.3590764,71.3590764,0.04,0,185.989204
0.00664,0.00332,71.5449022,71.5449022,0.04,0,186.225817
0.00668,0.00334,71.7306712,71.7306712,0.08,0,186.427883
0.00672,0.00336,71.9158753,71.9158753,0.04,0,191.987911
0.00676,0.00338,72.1022937,72.1022937,0.04,0,192.256542
0.0068,0.0034,72.2875207,72.2875207,0.04,0,192.521864
0.00684,0.00342,72.4755975,72.4755975,0.04,0,192.735071
0.00688,0.00344,72.659013,72.659013,0.04,0,192.99602
0.00692,0.00346,72.8456972,72.8456972,0.08,0,193.198613
0.00696,0.00348,73.0303268,73.0303268,0.04,0,200.127129
0.007,0.0035,73.215311,73.215311,0.04,0,201.062157
0.00704,0.00352,73.4002853,73.4002853,0.04,0,201.349108
0.00708,0.00354,73.5849389,73.5849389,0.04,0,202.347015
0.00712,0.00356,73.7696864,73.7696864,0.04,0,202.665864
0.00716,0.00358,73.9543652,73.9543652,0.08,0,203.010343
0.0072,0.0036,74.1387702,74.1387702,0.04,0,208.098005
0.00724,0.00362,74.3230562,74.3230562,0.04,0,208.388982
0.00728,0.00364,74.5065463,74.5065463,0.04,0,208.66851
0.00732,0.00366,74.6888986,74.6888986,0.04,0,208.943869
0.00736,0.00368,74.8709925,74.8709925,0.04,0,209.209499
0.0074,0.0037,75.0528974,75.0528974,0.08,0,209.478758
0.00744,0.00372,75.2346594,75.2346594,0.04,0,215.423409
0.00748,0.00374,75.416203,75.416203,0.04,0,215.755355
0.0075,0.00375,75.5066478,75.5066478,0.02,0,221.699312
0.00752,0.00376,75.5975792,75.5975792,0.02,0,221.919551
0.00754,0.00377,75.6885364,75.6885364,0.02,0,222.105342
0.00756,0.00378,75.7794336,75.7794336,0.02,0,222.289424
0.00758,0.00379,75.8702236,75.8702236,0.02,0,222.509592
0.0076,0.0038,75.9608814,75.9608814,0.04,0,222.756215
0.00764,0.00382,76.1419253,76.1419253,0.04,0,223.026164
0.00768,0.00384,76.3226304,76.3226304,0.04,0,223.338996
0.00772,0.00386,76.5035967,76.5035967,0.04,0,223.683489
0.00776,0.00388,76.6856254,76.6856254,0.04,0,223.965036
0.0078,0.0039,76.8667387,76.8667387,0.04,0,224.809116
0.00784,0.00392,77.0477572,77.0477572,0.08,0,225.828374
0.00788,0.00394,77.228348,77.228348,0.04,0,231.168892
0.00792,0.00396,77.409916,77.409916,0.04,0,231.955253
