s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
5e-05,2.5e-05,12.479202,12.479202,0.05,0,12.8614104
0.0001,5e-05,13.2917374,13.2917374,0.05,0,12.9506848
0.00015,7.5e-05,14.1042728,14.1042728,0.05,0,13.051003
0.0002,0.0001,14.9168082,14.9168082,0.05,0,13.1355822
0.00025,0.000125,15.7293436,15.7293436,0.05,0,13.2514923
0.0003,0.00015,16.541879,16.541879,0.1,0,13.354691
0.00035,0.000175,17.3544143,17.3544143,0.05,0,19.1922541
0.0004,0.0002,18.1669497,18.1669497,0.05,0,19.31145
0.00045,0.000225,18.9794851,18.9794851,0.05,0,19.4265444
0.0005,0.00025,19.7919997,19.7919997,0.05,0,19.5895636
0.00055,0.000275,20.604501,20.604501,0.05,0,19.7480567
0.0006,0.0003,21.417006,21.417006,0.1,0,19.9076366
0.00065,0.000325,22.229523,22.229523,0.05,0,26.8901632
0.0007,0.00035,23.0420601,23.0420601,0.05,0,27.0372491
0.00075,0.000375,23.8546271,23.8546271,0.05,0,27.1557941
0.0008,0.0004,24.6672381,24.6672381,0.05,0,27.2713983
0.00085,0.000425,25.4799129,25.4799129,0.05,0,27.3909636
0.0009,0.00045,26.2926754,26.2926754,0.1,0,27.5065205
0.00095,0.000475,27.1055477,27.1055477,0.05,0,33.4707153
0.001,0.0005,27.917019,27.917019,0.05,0,33.6367524
0.00105,0.000525,28.7294746,28.7294746,0.05,0,33.8212318
0.0011,0.00055,29.5425788,29.5425788,0.05,0,34.0537353
0.00115,0.000575,30.3493542,30.3493542,0.05,0,34.2294242
0.0012,0.0006,31.157073,31.157073,0.1,0,34.3987491
0.00125,0.000625,31.9647564,31.9647564,0.05,0,40.0208504
0.0013,0.00065,32.772409,32.772409,0.05,0,40.2054961
0.00135,0.000675,33.5800334,33.5800334,0.05,0,40.3780973
0.0014,0.0007,34.3875905,34.3875905,0.05,0,40.5456772
0.00145,0.000725,35.1875372,35.1875372,0.05,0,40.7209878
0.0015,0.00075,35.9788119,35.9788119,0.1,0,40.8931289
0.00155,0.000775,36.7659232,36.7659232,0.05,0,46.8599787
0.0016,0.0008,37.5423739,37.5423739,0.05,0,47.0256662
0.00165,0.000825,38.3163148,38.3163148,0.05,0,47.2617762
0.0017,0.00085,39.0849457,39.0849457,0.05,0,47.4191897
0.00175,0.000875,39.8467692,39.8467692,0.05,0,47.5772555
0.0018,0.0009,40.6020725,40.6020725,0.1,0,47.7143834
0.00185,0.000925,41.3342554,41.3342554,0.05,0,53.1154449
0.0019,0.00095,42.0480151,42.0480151,0.05,0,53.2772233
0.00195,0.000975,42.7397425,42.7397425,0.05,0,53.455651
0.002,0.001,43.4043311,43.4043311,0.05,0,53.6447356
0.00205,0.001025,43.9928572,43.9928572,0.05,0,53.8413148
0.0021,0.00105,44.552191,44.552191,0.1,0,54.0168867
0.00215,0.001075,45.092078,45.092078,0.05,0,60.0672002
0.0022,0.0011,45.6146631,45.6146631,0.05,0,60.2493534
0.00225,0.001125,46.1237239,46.1237239,0.05,0,60.4574225
0.0023,0.00115,46.6168314,46.6168314,0.05,0,60.6510057
0.00235,0.001175,47.1062776,47.1062776,0.05,0,60.8337915
0.0024,0.0012,47.5803868,47.5803868,0.1,0,61.0075324
