s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.1508334,11.1508334,0.02,0,0.154350519
4e-05,2e-05,11.4683335,11.4683335,0.02,0,0.316482544
6e-05,3e-05,11.7858336,11.7858336,0.02,0,0.461091518
8e-05,4e-05,12.1033337,12.1033337,0.02,0,0.595164776
0.0001,5e-05,12.4208338,12.4208338,0.02,0,0.731760025
0.00012,6e-05,12.7383339,12.7383339,0.04,0,0.870319605
0.00016,8e-05,13.373334,13.373334,0.04,0,1.03656077
0.0002,0.0001,14.0083342,14.0083342,0.04,0,1.20461869
0.00024,0.00012,14.6433344,14.6433344,0.04,0,1.34619236
0.00028,0.00014,15.2783345,15.2783345,0.04,0,1.46823788
0.00032,0.00016,15.9133347,15.9133347,0.04,0,1.61774468
0.00036,0.00018,16.5483349,16.5483349,0.08,0,1.78718829
0.00044,0.00022,17.8183352,17.8183352,0.08,0,2.06628299
0.00052,0.00026,19.0883356,19.0883356,0.08,0,2.35460281
0.0006,0.0003,20.3583359,20.3583359,0.08,0,2.59627819
0.00068,0.00034,21.6283363,21.6283363,0.08,0,2.85131216
0.00076,0.00038,22.8983366,22.8983366,0.08,0,3.09729791
0.00084,0.00042,24.168337,24.168337,0.16,0,3.37394595
0.00092,0.00046,25.4383373,25.4383373,0.08,0,8.70213389
0.001,0.0005,26.7083377,26.7083377,0.08,0,8.93046379
0.00108,0.00054,27.9784769,27.9784769,0.08,0,9.18378401
0.00116,0.00058,29.2400502,29.2400502,0.08,0,9.53236413
0.00124,0.00062,30.4891533,30.4891533,0.08,0,9.88830018
0.00132,0.00066,31.7333224,31.7333224,0.16,0,10.2831976
0.0014,0.0007,32.9534836,32.9534836,0.08,0,16.4586635
0.00148,0.00074,34.1702081,34.1702081,0.08,0,16.8837523
0.00156,0.00078,35.3786317,35.3786317,0.08,0,17.2318966
0.00164,0.00082,36.5518544,36.5518544,0.08,0,17.5685322
0.00172,0.00086,37.6205002,37.6205002,0.08,0,18.2175505
0.0018,0.0009,38.5354527,38.5354527,0.16,0,19.4194713
0.00188,0.00094,39.3836838,39.3836838,0.08,0,27.7706983
0.00196,0.00098,40.1641075,40.1641075,0.08,0,28.1454105
0.00204,0.00102,40.899974,40.899974,0.08,0,28.7895715
0.00212,0.00106,41.59368,41.59368,0.08,0,29.667115
0.0022,0.0011,42.2544183,42.2544183,0.08,0,30.5261593
0.00228,0.00114,42.8675237,42.8675237,0.16,0,31.2654884
0.00236,0.00118,43.4542208,43.4542208,0.08,0,43.4410639
0.00244,0.00122,44.0236816,44.0236816,0.08,0,43.9079866
0.00252,0.00126,44.5675811,44.5675811,0.08,0,44.4165559
0.0026,0.0013,45.0945597,45.0945597,0.08,0,45.308332
0.00268,0.00134,45.6147494,45.6147494,0.08,0,45.7483649
0.00276,0.00138,46.1056238,46.1056238,0.16,0,46.1721385
0.00284,0.00142,46.5871848,46.5871848,0.08,0,53.1552749
0.00292,0.00146,47.0644922,47.0644922,0.08,0,53.4922309
0.003,0.0015,47.5390636,47.5390636,0.08,0,53.8982465
0.00308,0.00154,48.0115807,48.0115807,0.08,0,54.2950475
0.00316,0.00158,48.4673151,48.4673151,0.08,0,54.7916822
0.00324,0.00162,48.9083573,48.9083573,0.16,0,55.4099905
0.00332,0.00166,49.344464,49.344464,0.08,0,62.5728443
0.0034,0.0017,49.7727827,49.7727827,0.08,0,63.3861003
0.00348,0.00174,50.193255,50.193255,0.08,0,64.4372065
0.00356,0.00178,50.6077799,50.6077799,0.08,0,65.1178858
0.00364,0.00182,50.9955857,50.9955857,0.08,0,66.1688821
