s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
5e-05,2.5e-05,11.6270835,11.6270835,0.05,0,11.2529325
0.0001,5e-05,12.4208338,12.4208338,0.05,0,11.3920543
0.00015,7.5e-05,13.214584,13.214584,0.05,0,11.5268543
0.0002,0.0001,14.0083342,14.0083342,0.05,0,11.6653078
0.00025,0.000125,14.8020844,14.8020844,0.05,0,11.8033752
0.0003,0.00015,15.5958346,15.5958346,0.1,0,11.9390147
0.00035,0.000175,16.3895823,16.3895823,0.05,0,18.3969228
0.0004,0.0002,17.1833149,17.1833149,0.05,0,18.65309
0.00045,0.000225,17.9770392,17.9770392,0.05,0,18.8927734
0.0005,0.00025,18.7707617,18.7707617,0.05,0,19.1475749
0.00055,0.000275,19.5644868,19.5644868,0.05,0,19.3484888
0.0006,0.0003,20.3582173,20.3582173,0.1,0,19.4995837
0.00065,0.000325,21.1519553,21.1519553,0.05,0,25.0141792
0.0007,0.00035,21.9457024,21.9457024,0.05,0,25.2177916
0.00075,0.000375,22.7394769,22.7394769,0.05,0,25.4386506
0.0008,0.0004,23.5333955,23.5333955,0.05,0,25.6651208
0.00085,0.000425,24.327087,24.327087,0.05,0,25.966861
0.0009,0.00045,25.1208372,25.1208372,0.1,0,26.2842147
0.00095,0.000475,25.9145874,25.9145874,0.05,0,31.6077342
0.001,0.0005,26.7083377,26.7083377,0.05,0,31.8985262
0.00105,0.000525,27.5020879,27.5020879,0.05,0,32.2159343
0.0011,0.00055,28.2965782,28.2965782,0.05,0,32.4262531
0.00115,0.000575,29.0840955,29.0840955,0.05,0,32.6449587
0.0012,0.0006,29.8647723,29.8647723,0.1,0,32.9400918
0.0013,0.00065,31.425244,31.425244,0.1,0,33.5810378
0.0014,0.0007,32.9533521,32.9533521,0.1,0,33.9302802
0.0015,0.00075,34.4731278,34.4731278,0.1,0,34.283509
0.0016,0.0008,35.9691921,35.9691921,0.1,0,34.6048985
0.0017,0.00085,37.3709029,37.3709029,0.1,0,34.9224329
0.0018,0.0009,38.5349593,38.5349593,0.2,0,35.2442284
0.0019,0.00095,39.5882565,39.5882565,0.1,0,41.5072005
0.002,0.001,40.5345168,40.5345168,0.1,0,41.8779445
0.0021,0.00105,41.4236445,41.4236445,0.1,0,42.2897
0.0022,0.0011,42.2557452,42.2557452,0.1,0,42.827636
0.0023,0.00115,43.0189175,43.0189175,0.1,0,43.9065304
0.00235,0.001175,43.3848631,43.3848631,0.05,0,49.5957472
0.0024,0.0012,43.7426676,43.7426676,0.05,0,49.9142826
0.00245,0.001225,44.0941351,44.0941351,0.05,0,50.1548815
0.0025,0.00125,44.4339679,44.4339679,0.05,0,50.424695
0.00255,0.001275,44.7629848,44.7629848,0.05,0,50.6518056
0.0026,0.0013,45.0895851,45.0895851,0.1,0,50.8766677
0.0027,0.00135,45.7381169,45.7381169,0.1,0,52.1965342
0.00275,0.001375,46.0410965,46.0410965,0.05,0,57.9614422
0.0028,0.0014,46.3397517,46.3397517,0.05,0,58.253654
0.00285,0.001425,46.6387117,46.6387117,0.05,0,58.4971852
0.0029,0.00145,46.9360341,46.9360341,0.05,0,58.7948928
0.00295,0.001475,47.2318956,47.2318956,0.05,0,59.1541018
0.003,0.0015,47.527727,47.527727,0.1,0,59.4744251
0.00305,0.001525,47.8235117,47.8235117,0.05,0,65.0973597
0.0031,0.00155,48.1160023,48.1160023,0.05,0,65.5617146
0.00315,0.001575,48.3987944,48.3987944,0.05,0,66.0391235
0.0032,0.0016,48.6760153,48.6760153,0.05,0,66.5550461
0.00325,0.001625,48.9497963,48.9497963,0.05,0,66.9887233
0.0033,0.00165,49.222007,49.222007,0.1,0,67.5391734
0.0034,0.0017,49.764793,49.764793,0.1,0,68.639792
0.00345,0.001725,50.0280896,50.0280896,0.05,0,75.642436
0.0035,0.00175,50.2896187,50.2896187,0.05,0,76.39096
0.00355,0.001775,50.5457529,50.5457529,0.05,0,77.0731354
0.0036,0.0018,50.7914028,50.7914028,0.05,0,77.8465912
0.00365,0.001825,51.0325953,51.0325953,0.05,0,78.6114295
0.0037,0.00185,51.2666914,51.2666914,0.1,0,79.1454735
0.0038,0.0019,51.7350784,51.7350784,0.1,0,81.0426662
0.00385,0.001925,51.9691811,51.9691811,0.05,0,88.9088929
0.0039,0.00195,52.2028686,52.2028686,0.05,0,89.6387923
0.00395,0.001975,52.432676,52.432676,0.05,0,90.3016093
0.004,0.002,52.6646371,52.6646371,0.05,0,90.9923518
0.00405,0.002025,52.8925167,52.8925167,0.05,0,91.7498944
0.0041,0.00205,53.1183998,53.1183998,0.1,0,92.4525838
0.0042,0.0021,53.569155,53.569155,0.1,0,94.4096377
0.00425,0.002125,53.7940726,53.7940726,0.05,0,102.173981
0.0043,0.00215,54.0108989,54.0108989,0.05,0,102.866232
0.00435,0.002175,54.2258948,54.2258948,0.05,0,104.159475
0.0044,0.0022,54.4420263,54.4420263,0.05,0,105.055966
0.00445,0.002225,54.6502104,54.6502104,0.05,0,106.36797
0.0045,0.00225,54.8544286,54.8544286,0.1,0,107.196153
0.00455,0.002275,55.1844588,55.1844588,0.05,1,118.484406
0.0046,0.0023,55.2948817,55.2948817,0.05,0,119.737222
0.00465,0.002325,55.490352,55.490352,0.05,0,121.451022
0.0047,0.00235,55.6862019,55.6862019,0.05,0,122.424748
0.00475,0.002375,55.8836503,55.8836503,0.05,0,124.073533
0.0048,0.0024,56.084446,56.084446,0.1,0,124.767082
0.00485,0.002425,56.2869935,56.2869935,0.05,0,131.83617
0.0049,0.00245,56.4899253,56.4899253,0.05,0,132.607053
0.00495,0.002475,56.6927818,56.6927818,0.05,0,133.268105
0.005,0.0025,56.8953123,56.8953123,0.05,0,133.90331
0.00505,0.002525,57.0991152,57.0991152,0.05,0,134.587896
0.0051,0.00255,57.304558,57.304558,0.1,0,135.258804
0.0052,0.0026,57.7745928,57.7745928,0.1,1,139.310781
0.00525,0.002625,58.0025646,58.0025646,0.05,1,150.750625
0.0053,0.00265,58.2479813,58.2479813,0.05,1,155.649069
0.00535,0.002675,58.4852831,58.4852831,0.05,1,160.184334
0.0054,0.0027,58.7087652,58.7087652,0.05,1,164.909055
0.00545,0.002725,58.8556659,58.8556659,0.05,0,166.36422
0.0055,0.00275,58.9999379,58.9999379,0.1,0,167.689227
0.0056,0.0028,59.4822848,59.4822848,0.1,1,173.775267
0.0057,0.00285,59.9388584,59.9388584,0.1,0,175.642071
0.00575,0.002875,60.1578993,60.1578993,0.05,0,182.570773
0.0058,0.0029,60.3705881,60.3705881,0.05,0,182.979646
0.00585,0.002925,60.5771376,60.5771376,0.05,0,183.405973
0.0059,0.00295,60.7777186,60.7777186,0.05,0,183.956659
0.00595,0.002975,60.973271,60.973271,0.05,0,184.544999
0.006,0.003,61.1644901,61.1644901,0.1,0,185.12437
0.0061,0.00305,61.5409152,61.5409152,0.1,0,186.82712
0.0062,0.0031,61.9035483,61.9035483,0.1,0,189.112728
0.00625,0.003125,62.082561,62.082561,0.05,0,199.809946
0.0063,0.00315,62.26039,62.26039,0.05,0,200.872705
0.00635,0.003175,62.4353318,62.4353318,0.05,0,201.973952
0.0064,0.0032,62.6075207,62.6075207,0.05,0,203.348793
0.00645,0.003225,62.7776334,62.7776334,0.05,0,205.188137
0.0065,0.00325,62.9454215,62.9454215,0.1,0,209.075212
0.00655,0.003275,63.1101439,63.1101439,0.05,0,232.586855
0.0066,0.0033,63.2736269,63.2736269,0.05,0,236.029774
0.00665,0.003325,63.4350326,63.4350326,0.05,0,239.295944
0.0067,0.00335,63.5983528,63.5983528,0.05,0,240.970608
0.00675,0.003375,63.7570004,63.7570004,0.05,0,243.859283
0.0068,0.0034,63.9161187,63.9161187,0.1,0,245.332565
0.00685,0.003425,64.0718221,64.0718221,0.05,0,262.088671
0.0069,0.00345,64.2266047,64.2266047,0.05,0,264.903622
0.00695,0.003475,64.3820696,64.3820696,0.05,0,268.473758
0.007,0.0035,64.5394835,64.5394835,0.05,0,273.397901
0.00705,0.003525,64.6961656,64.6961656,0.05,0,276.377106
0.0071,0.00355,64.8518837,64.8518837,0.1,0,279.77092
0.0072,0.0036,65.169175,65.169175,0.1,0,283.752853
0.00725,0.003625,65.3244247,65.3244247,0.05,0,310.480162
0.0073,0.00365,65.478568,65.478568,0.05,0,316.145062
0.00735,0.003675,65.635201,65.635201,0.05,0,320.858393
0.0074,0.0037,65.7894254,65.7894254,0.05,0,325.957236
0.00745,0.003725,65.9456079,65.9456079,0.05,0,331.003352
0.0075,0.00375,66.1008635,66.1008635,0.1,0,335.612788
0.0076,0.0038,66.413016,66.413016,0.1,0,341.431168
0.0077,0.00385,66.7213956,66.7213956,0.1,0,347.367324
0.0078,0.0039,67.0279429,67.0279429,0.1,0,352.482893
0.00785,0.003925,67.1776387,67.1776387,0.05,0,387.427757
0.0079,0.00395,67.325847,67.325847,0.05,0,391.635617
0.00795,0.003975,67.4730596,67.4730596,0.05,0,396.66841
0.008,0.004,67.6216688,67.6216688,0.05,0,398.444799
0.00805,0.004025,67.768971,67.768971,0.05,0,400.116389
0.0081,0.00405,67.9148097,67.9148097,0.1,0,401.278252
0.00815,0.004075,68.0602759,68.0602759,0.05,0,408.5679
0.0082,0.0041,68.2015684,68.2015684,0.05,0,409.814662
0.00825,0.004125,68.344217,68.344217,0.05,0,410.899137
0.0083,0.00415,68.4808055,68.4808055,0.05,0,411.876325
0.00835,0.004175,68.6280894,68.6280894,0.05,0,412.577904
0.0084,0.0042,68.765675,68.765675,0.1,0,413.826494
0.0085,0.00425,69.052461,69.052461,0.1,0,414.946084
0.0086,0.0043,69.3122707,69.3122707,0.1,0,416.521319
0.0087,0.00435,69.5590919,69.5590919,0.1,0,418.084608
0.0088,0.0044,69.7929893,69.7929893,0.1,0,420.080637
0.00885,0.004425,69.907991,69.907991,0.05,0,426.861039
0.0089,0.00445,70.0266375,70.0266375,0.05,0,428.350693
0.00895,0.004475,70.1460527,70.1460527,0.05,0,429.729763
0.009,0.0045,70.2669381,70.2669381,0.05,0,431.27204
0.00905,0.004525,70.3909578,70.3909578,0.05,0,432.769702
0.0091,0.00455,70.519278,70.519278,0.1,0,433.596027
0.0092,0.0046,70.7881769,70.7881769,0.1,0,434.968674
0.0093,0.00465,71.0648901,71.0648901,0.1,0,436.357236
0.0094,0.0047,71.3476677,71.3476677,0.1,0,437.555187
0.0095,0.00475,71.6352007,71.6352007,0.1,0,439.003418
0.0096,0.0048,72.0854229,72.0854229,0.1,1,442.473516
0.0097,0.00485,72.5199926,72.5199926,0.2,0,443.504702
0.0098,0.0049,72.935148,72.935148,0.1,0,449.51263
0.0099,0.00495,73.3167862,73.3167862,0.1,0,450.057662
0.01,0.005,73.6760209,73.6760209,0.1,0,450.788487
0.0101,0.00505,74.017709,74.017709,0.1,0,451.913746
0.0102,0.0051,74.3367306,74.3367306,0.1,0,452.946409
0.0103,0.00515,74.6321551,74.6321551,0.2,0,454.062355
