s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,15.7240738,15.7240738,0.2,0,0.114858627
0.0004,0.0002,18.9481476,18.9481476,0.2,0,0.211630106
0.0006,0.0003,22.1722214,22.1722214,0.2,0,0.292331219
0.0008,0.0004,25.3962952,25.3962952,0.2,0,0.372861624
0.001,0.0005,28.6119742,28.6119742,0.2,0,0.480777979
0.0012,0.0006,31.8038478,31.8038478,0.4,0,0.575353384
0.0016,0.0008,38.0826306,38.0826306,0.4,0,0.668891668
0.002,0.001,43.5081887,43.5081887,0.4,0,0.798178196
0.0024,0.0012,47.4532534,47.4532534,0.4,0,0.933044672
0.0028,0.0014,50.6293335,50.6293335,0.4,0,1.07412338
0.0032,0.0016,53.3384322,53.3384322,0.4,0,1.22971034
0.0036,0.0018,55.7825985,55.7825985,0.8,0,1.37377119
0.004,0.002,57.9546031,57.9546031,0.4,0,6.14397526
0.0044,0.0022,59.9136563,59.9136563,0.4,0,6.42566085
0.0048,0.0024,61.7784744,61.7784744,0.4,0,6.70242119
0.0052,0.0026,63.5932804,63.5932804,0.4,0,6.95854402
0.0056,0.0028,65.3115739,65.3115739,0.4,0,7.22529793
0.006,0.003,66.9882194,66.9882194,0.8,0,7.57182431
0.0068,0.0034,70.3671904,70.3671904,0.8,1,11.4968209
0.0076,0.0038,73.7380637,73.7380637,0.8,0,11.7391739
0.0084,0.0042,76.7483229,76.7483229,0.8,0,12.0777583
0.0092,0.0046,79.4534402,79.4534402,0.8,0,12.6519556
0.01,0.005,81.9466145,81.9466145,0.8,0,13.1480215
0.0108,0.0054,84.3200577,84.3200577,1,0,13.6252687
0.0118,0.0059,87.169341,87.169341,1,1,17.028403
0.0128,0.0064,89.8558851,89.8558851,1,1,20.3909023
0.0133,0.00665,91.1501975,91.1501975,0.5,0,25.5599976
0.0138,0.0069,92.3884528,92.3884528,0.5,0,25.7749548
0.0143,0.00715,93.5932383,93.5932383,0.5,0,26.0065854
0.0148,0.0074,94.7730559,94.7730559,0.5,0,26.2284603
0.0153,0.00765,95.9334285,95.9334285,0.5,0,26.4469523
0.0158,0.0079,97.0801173,97.0801173,1,0,26.6023204
0.0163,0.00815,98.209994,98.209994,0.5,0,30.9034672
0.0168,0.0084,99.3201337,99.3201337,0.5,0,31.1069531
0.0173,0.00865,100.400764,100.400764,0.5,0,31.3189414
0.0178,0.0089,101.454391,101.454391,0.5,0,31.4779732
0.0183,0.00915,102.482863,102.482863,0.5,0,31.623981
0.0188,0.0094,103.487906,103.487906,1,0,31.867584
0.0198,0.0099,105.425468,105.425468,1,1,35.1187375
0.0203,0.01015,106.366314,106.366314,0.5,0,39.5848064
0.0208,0.0104,107.287895,107.287895,0.5,0,39.7969048
0.0213,0.01065,108.192372,108.192372,0.5,0,40.0165901
0.0218,0.0109,109.072083,109.072083,0.5,0,40.2660627
0.0223,0.01115,109.9246,109.9246,0.5,0,40.4992716
0.0228,0.0114,110.759696,110.759696,1,0,40.7848399
0.0233,0.01165,111.577404,111.577404,0.5,0,45.5280144
0.0238,0.0119,112.376422,112.376422,0.5,0,45.7440939
0.0243,0.01215,113.16052,113.16052,0.5,0,45.9612553
0.0248,0.0124,113.930716,113.930716,0.5,0,46.1953628
0.0253,0.01265,114.685452,114.685452,0.5,0,46.4040546
0.0258,0.0129,115.419633,115.419633,1,0,46.5801256
0.0263,0.01315,116.142839,116.142839,0.5,0,50.8655128
0.0268,0.0134,116.850341,116.850341,0.5,0,51.0891066
0.0273,0.01365,117.544776,117.544776,0.5,0,51.363445
0.0278,0.0139,118.226928,118.226928,0.5,0,51.6196737
0.0283,0.01415,118.895929,118.895929,0.5,0,51.8210301
0.0288,0.0144,119.554701,119.554701,1,0,52.0932703
0.0293,0.01465,120.200484,120.200484,0.5,0,56.5608282
0.0298,0.0149,120.834974,120.834974,0.5,0,56.826442
0.0303,0.01515,121.458925,121.458925,0.5,0,57.0535879
0.0308,0.0154,122.068297,122.068297,0.5,0,57.284559
0.0313,0.01565,122.667195,122.667195,0.5,0,57.50564
0.0318,0.0159,123.251092,123.251092,1,0,57.7168338
0.0323,0.01615,123.824252,123.824252,0.5,0,62.3567514
0.0328,0.0164,124.383323,124.383323,0.5,0,62.5840211
0.0333,0.01665,124.927854,124.927854,0.5,0,62.8136261
0.0338,0.0169,125.462654,125.462654,0.5,0,63.0462348
0.0343,0.01715,125.987514,125.987514,0.5,0,63.2718446
0.0348,0.0174,126.500366,126.500366,1,0,63.5416465
0.0353,0.01765,127.008097,127.008097,0.5,0,67.8785782
0.0358,0.0179,127.509445,127.509445,0.5,0,68.095293
0.0363,0.01815,127.996661,127.996661,0.5,0,68.292285
0.0368,0.0184,128.473898,128.473898,0.5,0,68.5489297
0.0373,0.01865,128.938644,128.938644,0.5,0,68.8521807
0.0378,0.0189,129.396064,129.396064,1,0,69.1259358
0.0383,0.01915,129.843199,129.843199,0.5,0,73.9358191
0.0388,0.0194,130.27652,130.27652,0.5,0,74.2114968
0.0393,0.01965,130.697394,130.697394,0.5,0,74.5178022
0.0398,0.0199,131.110351,131.110351,0.5,0,74.8259487
0.0403,0.02015,131.515154,131.515154,0.5,0,75.1328557
0.0408,0.0204,131.904914,131.904914,1,0,75.4965012
0.0413,0.02065,132.287619,132.287619,0.5,0,81.0929027
0.0418,0.0209,132.664837,132.664837,0.5,1,85.4517021
0.0423,0.02115,133.026982,133.026982,0.5,1,89.4938979
0.0428,0.0214,133.384235,133.384235,0.5,1,93.7138009
0.0433,0.02165,133.735553,133.735553,0.5,1,97.9393282
0.0438,0.0219,134.082288,134.082288,1,1,101.906144
0.0443,0.02215,134.417363,134.417363,0.5,1,111.074929
0.04455,0.022275,134.578088,134.578088,0.25,0,116.950943
0.0448,0.0224,134.731343,134.731343,0.25,0,117.273787
0.04505,0.022525,134.871461,134.871461,0.25,0,117.58763
0.0453,0.02265,135.010375,135.010375,0.25,0,117.900762
0.04555,0.022775,135.145104,135.145104,0.25,0,118.200871
0.0458,0.0229,135.277855,135.277855,0.5,0,118.49337
0.0463,0.02315,135.525782,135.525782,0.5,1,122.535956
0.04655,0.023275,135.65451,135.65451,0.25,0,127.676347
0.0468,0.0234,135.766298,135.766298,0.25,0,127.984113
0.04705,0.023525,135.874583,135.874583,0.25,0,128.314928
0.0473,0.02365,135.976938,135.976938,0.25,0,128.605876
0.04755,0.023775,136.069503,136.069503,0.25,0,128.904299
0.0478,0.0239,136.160244,136.160244,0.5,0,129.216977
0.0483,0.02415,136.325505,136.325505,0.5,1,133.566962
0.04855,0.024275,136.412325,136.412325,0.25,0,138.915468
0.0488,0.0244,136.487155,136.487155,0.25,0,139.214794
0.04905,0.024525,136.559158,136.559158,0.25,0,139.523442
0.0493,0.02465,136.629376,136.629376,0.25,0,139.817088
0.04955,0.024775,136.696844,136.696844,0.25,0,140.093337
0.0498,0.0249,136.756698,136.756698,0.5,0,140.422597
0.05005,0.025025,136.812554,136.812554,0.25,0,145.965715
0.0503,0.02515,136.865052,136.865052,0.25,0,146.315719
0.05055,0.025275,136.914992,136.914992,0.25,0,146.644607
0.0508,0.0254,136.963414,136.963414,0.25,0,146.938724
0.05105,0.025525,137.009221,137.009221,0.25,0,147.190516
0.0513,0.02565,137.051425,137.051425,0.5,0,147.432078
0.05155,0.025775,137.088734,137.088734,0.25,0,153.091902
0.0518,0.0259,137.125519,137.125519,0.25,0,153.428577
0.05205,0.026025,137.1605,137.1605,0.25,0,153.971713
0.0523,0.02615,137.194765,137.194765,0.25,0,154.370038
0.05255,0.026275,137.228544,137.228544,0.25,0,154.809754
0.0528,0.0264,137.262129,137.262129,0.5,0,155.109287
0.05305,0.026525,137.29316,137.29316,0.25,0,160.563071
0.0533,0.02665,137.324195,137.324195,0.25,0,160.927527
0.05355,0.026775,137.354698,137.354698,0.25,0,161.285449
