s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9916808,0.02,0,0.14582181
4e-05,2e-05,12.316695,0.02,0,0.337075233
6e-05,3e-05,12.6417091,0.02,0,0.521724939
8e-05,4e-05,12.9667233,0.02,0,0.662353992
0.0001,5e-05,13.2917374,0.02,0,0.859621286
0.00012,6e-05,13.6167516,0.04,0,1.02423143
0.00016,8e-05,14.2667799,0.04,0,1.12983799
0.0002,0.0001,14.9168082,0.04,0,1.23179841
0.00024,0.00012,15.5668365,0.04,0,1.325845
0.00028,0.00014,16.2168648,0.04,0,1.44594479
0.00032,0.00016,16.8668931,0.04,0,1.60681796
0.00036,0.00018,17.5169214,0.08,0,1.7464447
0.0004,0.0002,18.1669497,0.04,0,5.38053584
0.00044,0.00022,18.816978,0.04,0,5.48706698
0.00048,0.00024,19.4670063,0.04,0,5.59811902
0.00052,0.00026,20.1170346,0.04,0,5.70514965
0.00056,0.00028,20.7670629,0.04,0,5.81668472
0.0006,0.0003,21.4170889,0.08,0,5.96865392
0.00064,0.00032,22.0671022,0.04,0,12.6695437
0.00068,0.00034,22.7171121,0.04,0,12.8150904
0.00072,0.00036,23.3671208,0.04,0,12.9693911
0.00076,0.00038,24.0171305,0.04,0,13.1454756
0.0008,0.0004,24.6671436,0.04,0,13.3285706
0.00084,0.00042,25.3171632,0.08,0,13.489136
0.00088,0.00044,25.9671936,0.04,0,18.7505906
0.00092,0.00046,26.6172423,0.04,0,18.8933475
0.00096,0.00048,27.2673212,0.04,0,19.1162302
0.001,0.0005,27.9174488,0.04,0,19.3466327
0.00104,0.00052,28.5676477,0.04,0,19.6700876
0.00108,0.00054,29.2179277,0.08,0,19.9445221
0.00112,0.00056,29.8654586,0.04,0,27.2506711
0.00116,0.00058,30.5118567,0.04,0,27.389246
0.0012,0.0006,31.1580185,0.04,0,27.5298274
0.00124,0.00062,31.8038862,0.04,0,27.68489
0.00128,0.00064,32.4500085,0.04,0,27.8395603
0.00132,0.00066,33.0961105,0.08,0,27.9998178
0.00136,0.00068,33.7421931,0.04,0,34.3192565
0.0014,0.0007,34.3882483,0.04,0,34.5158353
0.00144,0.00072,35.0284882,0.04,0,34.6994989
0.00148,0.00074,35.66384,0.04,0,34.8894677
0.00152,0.00076,36.2953209,0.04,0,35.1212366
0.00156,0.00078,36.9233269,0.08,0,35.2688141
0.0016,0.0008,37.5435337,0.04,0,41.3264761
0.00164,0.00082,38.162153,0.04,0,41.4934101
0.00168,0.00084,38.7781771,0.04,0,41.760345
0.00172,0.00086,39.3913222,0.04,0,41.9447613
0.00176,0.00088,39.998209,0.04,0,42.131758
0.0018,0.0009,40.6012451,0.08,0,42.3306537
0.00184,0.00092,41.1896426,0.04,0,51.9191799
0.00188,0.00094,41.765056,0.04,0,52.1883647
0.00192,0.00096,42.327816,0.04,0,52.4284594
0.00196,0.00098,42.8731549,0.04,0,53.2139573
0.002,0.001,43.4044523,0.04,0,53.5799155
0.00204,0.00102,43.8802436,0.08,0,53.98666
0.00212,0.00106,44.7705875,0.08,0,54.3641374
0.00216,0.00108,45.1969164,0.04,0,60.515342
0.0022,0.0011,45.6145329,0.04,0,60.6936507
0.00224,0.00112,46.0233122,0.04,0,60.8545747
0.00228,0.00114,46.4202339,0.04,0,61.0161366
0.00232,0.00116,46.8132664,0.04,0,61.1869776
0.00236,0.00118,47.2041121,0.08,0,61.3595369
0.0024,0.0012,47.580809,0.04,0,68.5685248
0.00244,0.00122,47.9480894,0.04,0,68.785114
0.00248,0.00124,48.3095616,0.04,0,68.9930317
0.00252,0.00126,48.6658804,0.04,0,69.2274218
0.00256,0.00128,49.01782,0.04,0,69.4329011
0.0026,0.0013,49.3621176,0.08,0,69.6345532
0.00264,0.00132,49.6975618,0.04,0,76.1745436
0.00268,0.00134,50.0221338,0.04,0,76.4522955
0.00272,0.00136,50.3415431,0.04,0,76.669178
0.00276,0.00138,50.6570116,0.04,0,76.8864386
0.0028,0.0014,50.9696762,0.04,0,77.3024707
0.00284,0.00142,51.2797436,0.08,0,77.832324
0.00288,0.00144,51.5874527,0.04,0,85.979557
0.00292,0.00146,51.8920703,0.04,0,86.2282336
0.00296,0.00148,52.1946948,0.04,0,86.7623384
0.003,0.0015,52.4954561,0.04,0,87.262872
0.00304,0.00152,52.7917333,0.04,0,87.7329032
0.00308,0.00154,53.0852006,0.08,0,88.1939707
0.00312,0.00156,53.3764354,0.04,0,101.258296
0.00316,0.00158,53.6630979,0.04,0,101.615878
0.0032,0.0016,53.9397924,0.04,0,101.996901
0.00324,0.00162,54.2142517,0.04,0,102.403954
0.00328,0.00164,54.4861639,0.04,0,102.753082
0.00332,0.00166,54.7552949,0.08,0,103.067184
0.00336,0.00168,55.0226584,0.04,0,118.610908
0.0034,0.0017,55.2881594,0.04,0,119.987836
0.00344,0.00172,55.5501514,0.04,0,120.38791
0.00348,0.00174,55.8084627,0.04,0,121.229953
0.00352,0.00176,56.063213,0.04,0,122.30168
0.00356,0.00178,56.3159737,0.08,0,122.998498
0.0036,0.0018,56.5671283,0.04,0,136.2754
0.00364,0.00182,56.8165726,0.04,0,136.500482
0.00368,0.00184,57.0634552,0.04,0,136.71717
0.00372,0.00186,57.3087925,0.04,0,137.134166
0.00376,0.00188,57.5511576,0.04,0,137.627592
0.0038,0.0019,57.7870831,0.08,0,138.097006
0.00384,0.00192,58.019109,0.04,0,147.880364
0.00388,0.00194,58.2493004,0.04,0,148.105609
0.00392,0.00196,58.4778589,0.04,0,148.335006
0.00396,0.00198,58.705005,0.04,0,148.552652
0.004,0.002,58.9305986,0.04,0,148.779545
0.00404,0.00202,59.1530773,0.08,0,148.998327
0.00408,0.00204,59.3733131,0.04,0,155.150082
0.00412,0.00206,59.5921613,0.04,0,155.387257
0.00416,0.00208,59.8100789,0.04,0,155.775951
0.0042,0.0021,60.02652,0.04,0,156.198977
0.00424,0.00212,60.2410492,0.04,0,156.612566
0.00428,0.00214,60.4542832,0.08,0,156.859009
0.00432,0.00216,60.6662173,0.04,0,164.402068
0.00436,0.00218,60.8767689,0.04,0,164.704473
0.0044,0.0022,61.0864479,0.04,0,164.925474
0.00444,0.00222,61.2951572,0.04,0,165.157914
0.00448,0.00224,61.502691,0.04,0,165.384015
0.00452,0.00226,61.7087535,0.08,0,165.632438
0.00456,0.00228,61.9139977,0.04,0,174.152511
0.0046,0.0023,62.1183695,0.04,0,174.628245
0.00464,0.00232,62.32198,0.04,0,175.149535
0.00468,0.00234,62.5248488,0.04,0,175.584301
0.00472,0.00236,62.7267798,0.04,0,176.016287
0.00476,0.00238,62.9283965,0.08,0,176.350049
0.0048,0.0024,63.128976,0.04,0,184.279984
0.00484,0.00242,63.3276431,0.04,0,184.550587
0.00488,0.00244,63.52697,0.04,0,184.925892
0.00492,0.00246,63.7243752,0.04,0,185.301383
0.00496,0.00248,63.9201316,0.04,0,185.785279
0.005,0.0025,64.1150374,0.08,0,186.633068
0.00504,0.00252,64.3064345,0.04,0,210.801337
0.00508,0.00254,64.4950633,0.04,0,212.130719
0.00512,0.00256,64.6819175,0.04,0,212.756977
0.00516,0.00258,64.8685904,0.04,0,213.312737
0.0052,0.0026,65.0552576,0.04,0,214.089243
0.00524,0.00262,65.2414202,0.08,0,215.034527
0.00528,0.00264,65.4269655,0.04,0,234.67549
0.00532,0.00266,65.6117603,0.04,0,235.253419
0.00536,0.00268,65.7955679,0.04,0,235.997811
0.0054,0.0027,65.9789897,0.04,0,236.89165
0.00544,0.00272,66.162388,0.04,0,237.782959
0.00548,0.00274,66.3453446,0.08,0,238.925476
0.00552,0.00276,66.5280515,0.04,0,249.045025
0.00556,0.00278,66.7101768,0.04,0,249.936487
0.0056,0.0028,66.8918974,0.04,0,250.762715
0.00564,0.00282,67.0721029,0.04,0,251.400665
0.00568,0.00284,67.2507843,0.04,0,252.102096
