s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.1526263,0.02,0,0.149568558
4e-05,2e-05,11.4719194,0.02,0,0.303675175
6e-05,3e-05,11.7912124,0.02,0,0.452366829
8e-05,4e-05,12.1105054,0.02,0,0.603112698
0.0001,5e-05,12.4297984,0.02,0,0.752197742
0.00012,6e-05,12.7490914,0.04,0,0.901511908
0.00014,7e-05,13.0683844,0.02,0,11.9579694
0.00016,8e-05,13.3876774,0.02,0,12.2312491
0.00018,9e-05,13.7069705,0.02,0,12.5009503
0.0002,0.0001,14.0262635,0.02,0,12.7721076
0.00022,0.00011,14.3455565,0.02,0,13.0383816
0.00024,0.00012,14.6648495,0.04,0,13.3227205
0.00026,0.00013,14.9841425,0.02,0,23.8990145
0.00028,0.00014,15.3034355,0.02,0,24.1444454
0.0003,0.00015,15.6227286,0.02,0,24.3918493
0.00032,0.00016,15.9420216,0.02,0,24.6332395
0.00034,0.00017,16.2613146,0.02,0,24.8750904
0.00036,0.00018,16.5806076,0.04,0,25.1213019
0.00038,0.00019,16.8999006,0.02,0,35.9411333
0.0004,0.0002,17.2191936,0.02,0,36.1950076
0.00042,0.00021,17.5384866,0.02,0,36.4559567
0.00044,0.00022,17.8577797,0.02,0,36.703593
0.00046,0.00023,18.1770702,0.02,0,37.0496314
0.00048,0.00024,18.4963588,0.04,0,37.3390951
0.0005,0.00025,18.8156468,0.02,0,48.1131685
0.00052,0.00026,19.1349346,0.02,0,48.4362886
0.00054,0.00027,19.4542224,0.02,0,48.7537456
0.00056,0.00028,19.7735105,0.02,0,49.0424936
0.00058,0.00029,20.0927991,0.02,0,49.3900676
0.0006,0.0003,20.4120887,0.04,0,49.6993172
0.00062,0.00031,20.7313794,0.02,0,64.0063038
0.00064,0.00032,21.0506717,0.02,0,64.3614604
0.00066,0.00033,21.3699661,0.02,0,64.6879416
0.00068,0.00034,21.6892632,0.02,0,65.016047
0.0007,0.00035,22.008564,0.02,0,65.4288957
0.00072,0.00036,22.3278697,0.04,0,65.7698264
0.00074,0.00037,22.6471818,0.02,0,78.1150947
0.00076,0.00038,22.9665024,0.02,0,78.4355123
0.00078,0.00039,23.2858339,0.02,0,78.7483959
0.0008,0.0004,23.6051785,0.02,0,79.0849259
0.00082,0.00041,23.9245367,0.02,0,79.3953044
0.00084,0.00042,24.2439053,0.04,0,79.6941521
0.00086,0.00043,24.5623736,0.02,0,92.826818
0.00088,0.00044,24.8810269,0.02,0,93.1241221
0.0009,0.00045,25.1994822,0.02,0,93.4211345
0.00092,0.00046,25.517934,0.02,0,93.7104969
0.00094,0.00047,25.8363823,0.02,0,94.0153606
