# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 0.15 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
4e-05,12.9520716,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,0.352985417,0,-29.1246941,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,14.8801789,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,0.352985417,0,-33.2662806,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00018,17.4509887,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,0.352985417,0,-38.788396,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00034,22.5926082,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,0.352985417,0,-49.8326268,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00058,30.3050375,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,0.352985417,0,-66.3989729,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0009,40.1994931,0.000238280186,85313.9822,0.000238168721,1600,0,1580,20,0,0,0,-0.0391840121,10,-88.382072,4.40795668e-08,0,120,3,-0.0391840121,1.5,-0.5,109,8,-0.0324228186,0.5,-1.5,109,6,-0.0324226065,0.5,-1.5,99,4,-0.029491638,-0.5,-1.5,99,2,-0.0294866367,-0.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0013,47.7885011,0.000238213631,85424.602,-0.00355936325,1600,0,1527,73,0,0,0,-0.0542377208,57,-104.470172,2.02104615e-08,0,119,2,-0.0542377208,1.5,-1.5,89,6,-0.0532477216,-1.5,-1.5,89,8,-0.0532475666,-1.5,-1.5,108,6,-0.0459720585,0.5,-2.5,108,8,-0.045971355,0.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0017,53.1770861,0.000237807586,85570.2317,-0.00198508672,1600,0,1539,61,0,0,0,-0.0507415702,56,-114.472084,2.03371779e-08,0,107,8,-0.0507415702,0.5,-3.5,107,6,-0.0507390664,0.5,-3.5,108,7,-0.0496719604,0.5,-2.5,108,5,-0.0496704779,0.5,-2.5,89,6,-0.0490558725,-1.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0021,57.5392038,0.000237460626,85766.2742,-0.00326511893,1600,0,1514,86,0,0,0,-0.0570601567,78,-121.654732,4.10560359e-08,0,118,1,-0.0570601567,1.5,-2.5,118,3,-0.0570601356,1.5,-2.5,88,7,-0.0564662564,-1.5,-2.5,88,5,-0.0564656971,-1.5,-2.5,117,2,-0.0541603164,1.5,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00235,59.9078897,0.000237458507,85832.6799,-0.010558023,1600,0,1505,95,0,0,0,-0.05456797,79,-125.389436,3.79770248e-08,0,106,8,-0.05456797,0.5,-4.64451687,106,6,-0.0545675976,0.5,-4.64451687,107,5,-0.0523387766,0.5,-3.5,107,7,-0.0523387327,0.5,-3.5,96,4,-0.0520630917,-0.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
