# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 0.15 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
4e-05,12.9520716,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-29.1246941,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,14.8801789,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-33.2662806,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00018,17.4509887,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-38.788396,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00034,22.5926082,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-49.8326268,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00058,30.3050375,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-66.3989729,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0009,40.1998643,0.000238234048,85331.3957,0.000237999346,1600,0,1581,19,0,0,0,0.0016262599,0,-88.382375,1.63388836e-08,0,99,2,0.0016262599,-0.5,-1.5,120,2,0.00211877859,1.5,-0.5,90,8,0.00276243102,-1.5,-0.5,108,6,0.00986503901,0.5,-2.5,109,5,0.0110248418,0.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0011,44.433174,0.000237748581,85552.79,-0.00113968994,1600,0,1545,55,0,0,0,-0.0205676597,36,-97.6244528,1.99142129e-08,0,90,5,-0.0205676597,-1.5,-0.5,90,7,-0.0205675378,-1.5,-0.5,120,3,-0.0170984754,1.5,-0.5,120,1,-0.0170982412,1.5,-0.5,90,6,-0.0138608461,-1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0014,49.2828979,0.000238292973,85409.4089,-0.00321790724,1600,0,1522,78,0,0,0,-0.039586235,49,-107.418886,3.98676764e-08,0,90,7,-0.039586235,-1.5,-0.5,98,4,-0.0271588911,-0.5,-2.5,98,2,-0.0271588407,-0.5,-2.5,99,3,-0.0257061605,-0.5,-1.5,99,1,-0.0257054758,-0.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0018,54.3528242,0.000237552708,85724.0038,-0.00744331806,1600,0,1506,94,0,0,0,-0.0458583813,78,-116.462181,5.96977763e-08,0,89,7,-0.0458583813,-1.5,-1.5,89,5,-0.0458579095,-1.5,-1.5,119,1,-0.0406636662,1.5,-1.5,119,3,-0.0406627888,1.5,-1.5,97,2,-0.0342440439,-0.5,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0022,58.5311407,0.000237893385,85607.4897,-1.09139946e-05,1600,0,1529,71,0,0,0,-0.0520323774,45,-123.216221,2.02523536e-09,0,120,2,-0.0520323774,1.5,-0.5,120,4,-0.0520322605,1.5,-0.5,90,8,-0.048926891,-1.5,-0.5,90,6,-0.0489267234,-1.5,-0.5,96,2,-0.0434891094,-0.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
