# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 1 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
4e-05,12.9520716,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-29.1246941,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,14.8801789,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-33.2662806,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00018,17.4509887,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-38.788396,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00034,22.5926082,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-49.8326268,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00058,30.3050375,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-66.3989729,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0009,40.5882766,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-88.4874345,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0013,51.8376479,0.000238193467,85374.245,0.000236327559,1600,0,1555,45,0,0,0,-0.0144915658,31,-113.430515,1.33642441e-08,0,90,7,-0.0144915658,-1.5,-0.5,120,3,-0.011718512,1.5,-0.5,99,2,-0.0106889579,-0.5,-1.5,99,4,-0.010688571,-0.5,-1.5,120,7,-0.00628107817,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00155,56.5145926,0.00023753676,85648.4612,-0.00313521457,1600,0,1538,62,0,0,0,-0.03356112,48,-123.172049,4.44810388e-08,0,120,3,-0.03356112,1.5,-0.5,120,1,-0.0335605161,1.5,-0.5,90,5,-0.0322002818,-1.5,-0.5,90,7,-0.0321996642,-1.5,-0.5,98,4,-0.0242381893,-0.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0018,60.4096645,0.000237244679,85811.9588,-0.00643658222,1600,0,1506,94,0,0,0,-0.0417283122,78,-130.795691,1.04463895e-07,0,120,1,-0.0417283122,1.5,-0.5,120,3,-0.0417257747,1.5,-0.5,90,7,-0.0400137077,-1.5,-0.5,120,4,-0.0342540291,1.5,-0.5,120,2,-0.0342540071,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0022,65.5803529,0.000237670455,85679.8948,-0.00697880941,1600,0,1507,93,0,0,0,-0.0426792906,81,-139.999548,4.65726627e-08,0,89,5,-0.0426792906,-1.5,-1.5,97,2,-0.0365172778,-0.5,-3.5,97,4,-0.0365171095,-0.5,-3.5,90,7,-0.0353974379,-1.5,-0.5,90,5,-0.035394835,-1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
