# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 0.5 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
4e-05,12.9520716,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-29.1246941,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,14.8801789,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-33.2662806,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00018,17.4509887,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-38.788396,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00034,22.5926082,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-49.8326268,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00058,30.3050375,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-66.3989729,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0009,40.1998402,0.000238241853,85327.3371,0.00023803829,1600,0,1580,20,0,0,0,0.00162672317,0,-88.3819883,1.36037398e-09,0,99,4,0.00162672317,-0.5,-1.5,99,2,0.00162675723,-0.5,-1.5,109,8,0.00641065667,0.5,-1.5,109,6,0.00641066265,0.5,-1.5,108,6,0.00986532194,0.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0013,47.7883892,0.000237500985,85671.8266,-0.00305346006,1600,0,1537,63,0,0,0,-0.0367854451,49,-104.471427,8.38781501e-09,0,120,3,-0.0367854451,1.5,-0.5,120,1,-0.036785294,1.5,-0.5,90,7,-0.0347467715,-1.5,-0.5,90,5,-0.0347466258,-1.5,-0.5,98,4,-0.0249685851,-0.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0017,53.1769271,0.00023788658,85563.7955,-0.00180626734,1600,0,1535,65,0,0,0,-0.0457493432,57,-114.4727,7.73669485e-11,0,120,4,-0.0457493432,1.5,-0.5,120,2,-0.0457493426,1.5,-0.5,120,3,-0.0362519198,1.5,-0.5,120,1,-0.0362519144,1.5,-0.5,109,5,-0.0274869149,0.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0021,57.5391456,0.000236629415,86073.115,-0.00536522888,1600,0,1516,84,0,0,0,-0.0504713304,72,-121.654389,2.7662628e-08,0,120,4,-0.0504713304,1.5,-0.5,120,2,-0.050471242,1.5,-0.5,119,3,-0.049489952,1.5,-1.5,119,1,-0.0494899364,1.5,-1.5,118,4,-0.0483906369,1.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0025,61.2348475,0.000237038942,85970.8667,-0.00266976394,1600,0,1505,95,0,0,0,-0.0535389074,66,-127.542422,2.13226849e-10,0,120,4,-0.0535389074,1.5,-0.5,120,2,-0.0535388876,1.5,-0.5,118,3,-0.0506783129,1.5,-2.5,118,1,-0.0506783123,1.5,-2.5,88,7,-0.0487655016,-1.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
