# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 5 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
4e-05,12.9520716,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-29.1246941,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,14.8801789,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-33.2662806,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00018,17.4509887,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-38.788396,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00034,22.5926082,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-49.8326268,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00058,30.3050375,0.000238293867,85290.1791,0.000238293867,1600,0,1600,0,0,0,0,1.375,0,-66.3989729,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0009,40.1998424,0.000238241854,85327.3372,0.00023803829,1600,0,1580,20,0,0,0,0.00162669305,0,-88.3819916,2.33259973e-09,0,99,4,0.00162669305,-0.5,-1.5,99,2,0.00162675388,-0.5,-1.5,109,6,0.00641059933,0.5,-1.5,109,8,0.00641061421,0.5,-1.5,108,8,0.00986540434,0.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0013,47.7884184,0.000237457402,85675.5591,-0.00229171309,1600,0,1543,57,0,0,0,-0.0367820616,41,-104.47192,2.80496247e-08,0,120,1,-0.0367820616,1.5,-0.5,120,3,-0.036781597,1.5,-0.5,90,5,-0.0347458825,-1.5,-0.5,90,7,-0.0347454147,-1.5,-0.5,98,4,-0.0249683935,-0.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0017,53.1769049,0.000236254102,86226.7688,-0.00947084651,1600,0,1492,108,0,0,0,-0.0496824095,90,-114.472941,6.28732357e-10,0,119,4,-0.0496824095,1.5,-1.5,119,2,-0.049682377,1.5,-1.5,89,6,-0.048837204,-1.5,-1.5,89,8,-0.0488371501,-1.5,-1.5,120,2,-0.0457508323,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0021,57.5391444,0.000236407349,86167.0299,-0.00701882046,1600,0,1512,88,0,0,0,-0.0504712808,73,-121.654605,2.79471204e-08,0,120,2,-0.0504712808,1.5,-0.5,120,4,-0.0504708159,1.5,-0.5,119,1,-0.0494920106,1.5,-1.5,119,3,-0.0494914226,1.5,-1.5,118,4,-0.0483898257,1.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0025,61.2349129,0.000236731928,86141.0674,-0.00575435065,1600,0,1490,110,0,0,0,-0.0535379956,74,-127.542903,3.29395118e-08,0,120,4,-0.0535379956,1.5,-0.5,120,2,-0.0535379689,1.5,-0.5,118,1,-0.0506788716,1.5,-2.5,118,3,-0.050678106,1.5,-2.5,88,5,-0.0487659521,-1.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
