s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9880179,0.02,0,0.246590614
4e-05,2e-05,12.3093691,0.02,0,0.47032547
6e-05,3e-05,12.6307203,0.02,0,0.7716434
8e-05,4e-05,12.9520716,0.02,0,1.40370107
0.0001,5e-05,13.2734228,0.02,0,2.09107304
0.00012,6e-05,13.594774,0.04,0,2.23096609
0.00016,8e-05,14.2374764,0.04,0,2.51774263
0.0002,0.0001,14.8801789,0.04,0,2.79744792
0.00024,0.00012,15.5228813,0.04,0,3.29405904
0.00028,0.00014,16.1655838,0.04,0,3.90073061
0.00032,0.00016,16.8082862,0.04,0,31.4736905
0.00036,0.00018,17.4509887,0.08,0,31.9721856
0.00044,0.00022,18.7363935,0.08,0,32.4158568
0.00052,0.00026,20.0217984,0.08,0,32.570153
0.0006,0.0003,21.3072033,0.08,0,32.876539
0.00068,0.00034,22.5926082,0.08,0,33.3068826
0.00076,0.00038,23.878001,0.08,0,34.4017806
0.00084,0.00042,25.1633593,0.16,0,35.3869364
0.001,0.0005,27.7342278,0.16,0,36.6797767
0.00116,0.00058,30.3050375,0.16,0,38.2200637
0.00132,0.00066,32.8758473,0.16,0,74.9902287
0.00148,0.00074,35.4466571,0.16,0,75.1523025
0.00164,0.00082,37.9392055,0.16,0,75.3189025
0.0018,0.0009,40.1999087,0.2,0,75.4989648
0.0019,0.00095,41.4007924,0.1,0,78.4148691
0.002,0.001,42.4632511,0.1,0,78.5514205
0.0021,0.00105,43.471305,0.1,0,78.702482
0.0022,0.0011,44.4330769,0.1,0,78.8285427
0.0023,0.00115,45.3273392,0.1,0,78.96401
0.0024,0.0012,46.1845497,0.2,0,79.0893154
0.0026,0.0013,47.795092,0.2,0,85.8303161
0.0028,0.0014,49.282953,0.2,0,86.0039942
0.003,0.0015,50.6639749,0.2,0,86.1670597
0.0032,0.0016,51.9446241,0.2,0,86.3566163
0.0034,0.0017,53.1763039,0.2,0,86.5346446
0.0036,0.0018,54.3528131,0.2,0,86.787848
0.0038,0.0019,55.4574904,0.2,0,87.05194
