s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9880179,0.02,0,0.176289797
4e-05,2e-05,12.3093691,0.02,0,0.386179447
6e-05,3e-05,12.6307203,0.02,0,0.626799822
8e-05,4e-05,12.9520716,0.02,0,0.773498058
0.0001,5e-05,13.2734228,0.02,0,0.927736044
0.00012,6e-05,13.594774,0.04,0,1.06925964
0.00016,8e-05,14.2374764,0.04,0,1.3666985
0.0002,0.0001,14.8801789,0.04,0,1.57697177
0.00024,0.00012,15.5228813,0.04,0,1.79017067
0.00028,0.00014,16.1655838,0.04,0,1.95543027
0.00032,0.00016,16.8082862,0.04,0,2.15071344
0.00036,0.00018,17.4509887,0.08,0,2.33703136
0.00044,0.00022,18.7363935,0.08,0,2.54641366
0.00052,0.00026,20.0217984,0.08,0,2.68926072
0.0006,0.0003,21.3072033,0.08,0,2.80898261
0.00068,0.00034,22.5926082,0.08,0,3.26733923
0.00076,0.00038,23.878001,0.08,0,3.41003919
0.00084,0.00042,25.1633593,0.16,0,3.62618685
0.001,0.0005,27.7342278,0.16,0,4.2209003
0.00116,0.00058,30.3050375,0.16,0,4.78330517
0.00132,0.00066,32.8758473,0.16,0,5.22152567
0.00148,0.00074,35.4466571,0.16,0,5.77480268
0.00164,0.00082,37.9392055,0.16,0,6.05703473
0.0018,0.0009,40.1998443,0.2,0,6.41787267
0.0019,0.00095,41.4007033,0.1,0,17.9717562
0.002,0.001,42.4632505,0.1,0,18.1338279
0.0021,0.00105,43.4712166,0.1,0,18.2766855
0.0022,0.0011,44.4332765,0.1,0,18.4211674
0.0023,0.00115,45.3273366,0.1,0,18.6210554
0.0024,0.0012,46.1845014,0.2,0,18.817049
0.0026,0.0013,47.7951045,0.2,0,19.0458021
0.0028,0.0014,49.2829201,0.2,0,19.2772062
0.003,0.0015,50.6633884,0.2,0,19.4902923
0.0032,0.0016,51.9445792,0.2,0,19.7128718
0.0034,0.0017,53.1762516,0.2,0,19.9742637
0.0036,0.0018,54.3521034,0.2,0,20.3147447
0.0038,0.0019,55.4581416,0.2,0,20.6281645
0.004,0.002,56.5099486,0.2,0,27.5470293
0.0042,0.0021,57.5373795,0.2,0,32.138283
0.0044,0.0022,58.5312195,0.2,0,35.1719937
0.0045,0.00225,59.002107,0.1,0,49.0933521
0.0046,0.0023,59.4578171,0.1,0,49.5986049
0.0047,0.00235,59.9067082,0.1,0,50.0219529
0.0048,0.0024,60.3516284,0.1,0,50.3939924
0.0049,0.00245,60.7879325,0.1,0,50.7265964
0.005,0.0025,61.2217515,0.2,0,51.0656209
0.0052,0.0026,62.0867383,0.2,0,51.5546672
0.0053,0.00265,62.5140713,0.1,0,60.6648881
0.0054,0.0027,62.9395784,0.1,0,61.0605023
0.0055,0.00275,63.3694245,0.1,0,61.4874449
0.0056,0.0028,63.7980737,0.1,0,61.9289081
0.0057,0.00285,64.2177291,0.1,0,62.2931302
0.0058,0.0029,64.6366576,0.2,0,62.9442916
0.0059,0.00295,65.0473385,0.1,0,76.8503969
0.006,0.003,65.4576871,0.1,0,77.7613223
0.0061,0.00305,65.9068352,0.1,0,78.1334898
0.0062,0.0031,66.3948027,0.1,0,78.4216313
0.0063,0.00315,66.8931813,0.1,0,79.0684466
0.0064,0.0032,67.3804968,0.2,0,79.4577868
0.0066,0.0033,68.3051598,0.2,0,80.087518
0.0068,0.0034,69.1802333,0.2,0,81.4908433
0.0069,0.00345,69.5884004,0.1,0,89.7525189
0.007,0.0035,69.9867311,0.1,0,90.2565877
0.0071,0.00355,70.3763965,0.1,0,90.5012777
0.0072,0.0036,70.7579358,0.1,0,91.0572126
0.0073,0.00365,71.1324268,0.1,0,91.4906933
0.0074,0.0037,71.4948592,0.2,0,91.9290793
0.0076,0.0038,72.1855167,0.2,0,92.5199914
0.0078,0.0039,72.8359451,0.2,0,93.2859251
0.008,0.004,73.4586997,0.2,0,93.7602708
0.0082,0.0041,74.0588921,0.2,0,94.2010808
0.0084,0.0042,74.6377721,0.2,0,94.9575016
0.0086,0.0043,75.1965206,0.2,0,95.7837751
0.0088,0.0044,75.7399902,0.2,0,96.2361569
