s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.1508334,0.02,0,0.186547041
4e-05,2e-05,11.4683335,0.02,0,0.385658026
6e-05,3e-05,11.7858336,0.02,0,0.567469835
8e-05,4e-05,12.1033337,0.02,0,0.758334637
0.0001,5e-05,12.4208338,0.02,0,0.950203657
0.00012,6e-05,12.7383339,0.04,0,1.1492033
0.00016,8e-05,13.373334,0.04,0,1.32589054
0.0002,0.0001,14.0083342,0.04,0,1.53328371
0.00024,0.00012,14.6433344,0.04,0,1.74198461
0.00028,0.00014,15.2783345,0.04,0,1.94587207
0.00032,0.00016,15.9133347,0.04,0,2.18085933
0.00036,0.00018,16.5483349,0.08,0,2.38437247
0.00044,0.00022,17.8183352,0.08,0,2.7614603
0.00052,0.00026,19.0883356,0.08,0,3.43634224
0.0006,0.0003,20.3583359,0.08,0,3.76142287
0.00068,0.00034,21.6283363,0.08,0,4.23876882
0.00076,0.00038,22.8983366,0.08,0,4.55477667
0.00084,0.00042,24.168337,0.16,0,4.88647866
0.00092,0.00046,25.4383373,0.08,0,13.437196
0.001,0.0005,26.7083377,0.08,0,13.7829344
0.00108,0.00054,27.9784769,0.08,0,14.2747309
0.00116,0.00058,29.2401127,0.08,0,14.8067229
0.00124,0.00062,30.4891338,0.08,0,15.5563686
0.00132,0.00066,31.7333224,0.16,0,16.234787
0.0014,0.0007,32.9534837,0.08,0,25.9074466
0.00148,0.00074,34.1702081,0.08,0,26.3953655
0.00156,0.00078,35.3786318,0.08,0,26.9227495
0.00164,0.00082,36.552154,0.08,0,27.4051893
0.00172,0.00086,37.6205799,0.08,0,27.9490333
0.0018,0.0009,38.5357658,0.16,0,28.5011296
0.00184,0.00092,38.9680009,0.04,0,45.1628261
0.00188,0.00094,39.3851224,0.04,0,45.5504351
0.00192,0.00096,39.7865264,0.04,0,45.8584156
0.00196,0.00098,40.1658557,0.04,0,46.1679935
0.002,0.001,40.5368216,0.04,0,46.4654765
0.00204,0.00102,40.9018972,0.08,0,46.7788751
0.00212,0.00106,41.59388,0.08,0,47.4178724
0.0022,0.0011,42.2536061,0.08,0,47.9540377
0.00228,0.00114,42.8659578,0.08,0,48.4258914
0.00236,0.00118,43.4519269,0.08,0,48.9132199
0.00244,0.00122,44.0210551,0.08,0,49.4715247
0.00252,0.00126,44.565163,0.16,0,49.9913728
0.0026,0.0013,45.0922327,0.08,0,60.2739756
0.00268,0.00134,45.6124489,0.08,0,61.0742567
0.00276,0.00138,46.1038487,0.08,0,61.7792814
0.00284,0.00142,46.5857287,0.08,0,62.5470054
0.00292,0.00146,47.0635443,0.08,0,62.9920166
0.003,0.0015,47.5383728,0.16,0,63.5040746
0.00308,0.00154,48.0110727,0.08,0,71.7969363
0.00316,0.00158,48.4672483,0.08,0,72.5092175
0.00324,0.00162,48.9084334,0.08,0,73.4801087
0.00332,0.00166,49.3444267,0.08,0,74.2591712
0.0034,0.0017,49.7727937,0.08,0,75.3472137
0.00348,0.00174,50.1931658,0.16,0,76.8789923
0.00356,0.00178,50.6071673,0.08,0,86.1759138
0.00364,0.00182,50.9977208,0.08,0,87.9081993
0.00372,0.00186,51.3710651,0.08,0,89.4816501
0.0038,0.0019,51.7444806,0.08,0,90.7082846
0.00388,0.00194,52.1171999,0.08,0,91.6371925
0.00396,0.00198,52.4888424,0.16,0,92.6956813
0.00404,0.00202,52.8555395,0.08,0,100.984315
0.00412,0.00206,53.2178099,0.08,0,101.648362
0.0042,0.0021,53.5760989,0.08,0,102.315296
0.00428,0.00214,53.929775,0.08,0,102.984158
0.00436,0.00218,54.2760176,0.08,0,105.471513
0.00444,0.00222,54.6178422,0.16,0,107.867769
0.00452,0.00226,54.9634827,0.08,1,123.397959
0.0046,0.0023,55.2801164,0.08,0,126.409225
0.00468,0.00234,55.6038953,0.08,0,128.702525
0.00476,0.00238,55.9253893,0.08,0,130.299767
0.00484,0.00242,56.2863833,0.08,1,136.905704
0.00492,0.00246,56.5993585,0.16,1,146.376176
0.005,0.0025,56.9134029,0.08,0,163.000638
0.00508,0.00254,57.2339265,0.08,0,165.187749
0.00516,0.00258,57.555212,0.08,0,170.879618
0.00524,0.00262,57.895972,0.08,1,183.86398
0.00532,0.00266,58.2601972,0.08,1,191.45104
0.0054,0.0027,58.65572,0.16,1,197.551642
0.00548,0.00274,58.8693526,0.08,0,207.587865
0.00556,0.00278,59.143119,0.08,0,209.15458
0.00564,0.00282,59.4224893,0.08,0,210.747779
0.00572,0.00286,59.8714244,0.08,1,216.278077
0.0058,0.0029,60.2384285,0.08,0,216.924048
0.00588,0.00294,60.5943135,0.16,0,217.978106
0.00596,0.00298,60.9326263,0.08,0,226.435374
0.00604,0.00302,61.255416,0.08,0,227.166251
0.00612,0.00306,61.5660266,0.08,0,228.090101
0.0062,0.0031,61.8624419,0.08,0,229.727509
0.00628,0.00314,62.1515687,0.08,0,231.374546
0.00636,0.00318,62.4421021,0.16,0,232.261729
0.00644,0.00322,62.7248322,0.08,0,242.688223
0.00652,0.00326,62.9993192,0.08,0,243.679628
0.0066,0.0033,63.2666354,0.08,0,244.529268
0.00668,0.00334,63.5263001,0.08,0,245.535437
0.00676,0.00338,63.7828468,0.08,0,246.477838
0.00684,0.00342,64.0347332,0.16,0,247.835058
0.00692,0.00346,64.2823507,0.08,0,257.663329
0.007,0.0035,64.5329936,0.08,0,259.752896
0.00708,0.00354,64.7830968,0.08,0,261.412321
0.00716,0.00358,65.0345861,0.08,0,264.168973
0.00724,0.00362,65.2837426,0.08,0,266.384891
0.00732,0.00366,65.5312943,0.16,0,269.47461
0.0074,0.0037,65.7801227,0.08,0,280.254939
0.00748,0.00374,66.0275998,0.08,0,282.392617
0.00756,0.00378,66.2769074,0.08,0,284.383377
0.00764,0.00382,66.5234133,0.08,0,286.320965
0.00772,0.00386,66.7681896,0.08,0,288.111693
0.0078,0.0039,67.0129688,0.16,0,289.967407
0.00788,0.00394,67.2560205,0.08,0,299.760055
0.00796,0.00398,67.4960201,0.08,0,301.785895
0.00804,0.00402,67.7361497,0.08,0,303.467771
0.00812,0.00406,67.9723134,0.08,0,305.927502
0.0082,0.0041,68.2022162,0.08,0,308.293266
0.00828,0.00414,68.4304827,0.16,0,310.246376
0.00836,0.00418,68.6541533,0.08,0,319.987118
0.00844,0.00422,68.8831746,0.08,0,322.121298
0.00852,0.00426,69.1093857,0.08,0,324.714798
0.0086,0.0043,69.3333951,0.08,0,328.614302
0.00868,0.00434,69.5602534,0.08,0,331.048285
0.00876,0.00438,69.8943602,0.16,1,337.563929
0.00884,0.00442,70.1409917,0.08,1,355.488263
0.00892,0.00446,70.508764,0.08,1,361.106953
0.009,0.0045,70.6754641,0.08,1,366.776048
0.00908,0.00454,71.0194455,0.08,1,371.929904
0.00916,0.00458,71.2611614,0.08,1,377.70644
0.00924,0.00462,71.5342882,0.16,1,383.166999
0.00932,0.00466,71.8235574,0.08,1,395.278939
0.00936,0.00468,71.9355496,0.04,0,403.345247
0.0094,0.0047,72.0644028,0.04,0,404.533893
0.00944,0.00472,72.1922697,0.04,0,406.227312
0.00948,0.00474,72.3168655,0.04,0,407.525205
0.00952,0.00476,72.4412539,0.04,0,409.031771
0.00956,0.00478,72.5678004,0.08,0,410.518038
0.00964,0.00482,72.8210729,0.08,0,411.279292
0.00972,0.00486,73.0724616,0.08,1,415.793894
0.0098,0.0049,73.3146043,0.08,0,416.508862
0.00988,0.00494,73.5472402,0.08,1,421.514879
0.00996,0.00498,73.7603662,0.08,1,426.504093
0.01004,0.00502,73.9915613,0.16,1,431.314098
0.01012,0.00506,74.2019391,0.08,1,444.956933
0.01016,0.00508,74.3064052,0.04,0,456.961451
0.0102,0.0051,74.4071792,0.04,0,457.877321
0.01024,0.00512,74.5060193,0.04,0,459.080638
0.01028,0.00514,74.6022831,0.04,0,460.476869
0.01032,0.00516,74.6969693,0.04,0,462.557822
0.01036,0.00518,74.7907697,0.08,0,464.104779
0.0104,0.0052,74.8838179,0.04,0,482.313449
0.01044,0.00522,74.974162,0.04,0,482.971282
0.01048,0.00524,75.0619856,0.04,0,483.685177
0.01052,0.00526,75.1489712,0.04,0,484.876276
0.01056,0.00528,75.2349952,0.04,0,485.518232
0.0106,0.0053,75.3196884,0.08,0,486.1188
0.01068,0.00534,75.4899349,0.08,0,487.064413
0.01076,0.00538,75.6585319,0.08,0,488.454583
0.01084,0.00542,75.8257254,0.08,0,490.302506
0.01092,0.00546,75.9917869,0.08,0,491.065856
0.011,0.0055,76.1561347,0.08,0,492.785835
0.01108,0.00554,76.3218753,0.16,0,493.588078
0.01112,0.00556,76.4045014,0.04,0,508.773699
0.01116,0.00558,76.4879831,0.04,0,509.253034
0.0112,0.0056,76.5729383,0.04,0,509.648659
0.01124,0.00562,76.6586612,0.04,0,510.098286
0.01128,0.00564,76.744391,0.04,0,510.635425
