s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.1508334,0.02,0,0.168248892
4e-05,2e-05,11.4683335,0.02,0,0.351823092
6e-05,3e-05,11.7858336,0.02,0,0.52038765
8e-05,4e-05,12.1033337,0.02,0,0.692126751
0.0001,5e-05,12.4208338,0.02,0,0.885702133
0.00012,6e-05,12.7383339,0.04,0,1.06098676
0.00016,8e-05,13.373334,0.04,0,1.23518062
0.0002,0.0001,14.0083342,0.04,0,1.40633988
0.00024,0.00012,14.6433344,0.04,0,1.57188368
0.00028,0.00014,15.2783345,0.04,0,1.7372191
0.00032,0.00016,15.9133347,0.04,0,1.90460277
0.00036,0.00018,16.5483349,0.08,0,2.07717037
0.00044,0.00022,17.8183352,0.08,0,2.32906675
0.00052,0.00026,19.0883356,0.08,0,2.68280911
0.0006,0.0003,20.3583359,0.08,0,2.9484241
0.00068,0.00034,21.6283363,0.08,0,3.20559859
0.00076,0.00038,22.8983366,0.08,0,3.49637556
0.00084,0.00042,24.168337,0.16,0,4.0477345
0.00092,0.00046,25.4383373,0.08,0,12.9669375
0.001,0.0005,26.7083377,0.08,0,13.2735026
0.00108,0.00054,27.9784769,0.08,0,13.7001555
0.00116,0.00058,29.2401103,0.08,0,14.1489425
0.00124,0.00062,30.4891337,0.08,0,14.5720525
0.00132,0.00066,31.7333224,0.16,0,14.9972999
0.0014,0.0007,32.9534837,0.08,0,26.4654176
0.00148,0.00074,34.1702081,0.08,0,27.8305438
0.00156,0.00078,35.3786028,0.08,0,28.4054101
0.00164,0.00082,36.551778,0.08,0,29.4199069
0.00172,0.00086,37.6205249,0.08,0,30.3851023
0.0018,0.0009,38.5354961,0.16,0,31.2130139
0.00188,0.00094,39.3840854,0.08,0,45.3880711
0.00192,0.00096,39.7853439,0.04,0,62.9636276
0.00196,0.00098,40.1652998,0.04,0,63.2670801
0.002,0.001,40.5362879,0.04,0,63.5496557
0.00204,0.00102,40.901474,0.04,0,63.8483522
0.00208,0.00104,41.253118,0.04,0,64.2949073
0.00212,0.00106,41.5940598,0.08,0,64.6626122
0.0022,0.0011,42.253526,0.08,0,65.0819621
0.00228,0.00114,42.8656895,0.08,0,65.5242343
0.00236,0.00118,43.4515806,0.08,0,66.5038006
0.00244,0.00122,44.0206945,0.08,0,67.2983897
0.00252,0.00126,44.5645014,0.08,0,68.1206934
0.0026,0.0013,45.09191,0.16,0,69.6373096
0.00268,0.00134,45.6120624,0.08,0,78.7516465
0.00276,0.00138,46.1033565,0.08,0,79.1910803
0.00284,0.00142,46.5853413,0.08,0,79.583149
0.00292,0.00146,47.0630287,0.08,0,79.8970935
0.003,0.0015,47.5381127,0.08,0,80.2763648
0.00308,0.00154,48.0109737,0.16,0,80.644453
0.00316,0.00158,48.4669877,0.08,0,89.0867107
0.00324,0.00162,48.9082742,0.08,0,89.8864205
0.00332,0.00166,49.3443021,0.08,0,90.4450798
0.0034,0.0017,49.7730675,0.08,0,91.1791253
0.00348,0.00174,50.193347,0.08,0,92.129024
0.00356,0.00178,50.6075144,0.16,0,92.8362134
0.00364,0.00182,50.9980194,0.08,0,100.823674
0.00372,0.00186,51.3724771,0.08,0,101.844446
0.0038,0.0019,51.743966,0.08,0,102.958
0.00388,0.00194,52.1176989,0.08,0,104.572765
0.00396,0.00198,52.4873622,0.08,0,105.486381
0.00404,0.00202,52.8557685,0.16,0,106.097441
0.00412,0.00206,53.2179692,0.08,0,113.643313
0.0042,0.0021,53.5759536,0.08,0,119.686176
0.00428,0.00214,53.9305698,0.08,0,121.017147
0.00436,0.00218,54.2765115,0.08,0,133.589805
0.00444,0.00222,54.6176961,0.08,0,139.925249
0.00452,0.00226,54.9431359,0.16,0,143.4318
0.0046,0.0023,55.2713484,0.08,0,163.594805
0.00468,0.00234,55.6260116,0.08,1,171.551534
0.00476,0.00238,55.934244,0.08,0,173.124451
0.00484,0.00242,56.2550599,0.08,0,174.420536
0.00492,0.00246,56.5796247,0.08,0,176.386797
0.005,0.0025,56.9011538,0.16,0,180.655573
0.00508,0.00254,57.2270963,0.08,0,201.791906
0.00516,0.00258,57.5505989,0.08,0,204.672026
0.00524,0.00262,57.8942374,0.08,1,213.555816
0.00532,0.00266,58.3849923,0.08,1,222.356627
0.0054,0.0027,58.5468374,0.08,0,227.826504
0.00548,0.00274,58.8241795,0.16,0,231.688054
0.00556,0.00278,59.1137069,0.08,0,256.129168
0.00564,0.00282,59.4011463,0.08,0,259.952368
0.00572,0.00286,59.6909033,0.08,0,262.046394
0.0058,0.0029,60.0810235,0.08,0,263.163774
