s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.1508334,0.02,0,0.108578444
4e-05,2e-05,11.4683335,0.02,0,0.246645212
6e-05,3e-05,11.7858336,0.02,0,0.355707645
8e-05,4e-05,12.1033337,0.02,0,0.47135067
0.0001,5e-05,12.4208338,0.02,0,0.593430519
0.00012,6e-05,12.7383339,0.04,0,0.703984499
0.00016,8e-05,13.373334,0.04,0,0.829060316
0.0002,0.0001,14.0083342,0.04,0,0.935111523
0.00024,0.00012,14.6433344,0.04,0,1.04872513
0.00028,0.00014,15.2783345,0.04,0,1.18529963
0.00032,0.00016,15.9133347,0.04,0,1.30718946
0.00036,0.00018,16.5483349,0.08,0,1.43785
0.00044,0.00022,17.8183352,0.08,0,1.61619139
0.00052,0.00026,19.0883356,0.08,0,1.88975859
0.0006,0.0003,20.3583359,0.08,0,2.09240413
0.00068,0.00034,21.6283363,0.08,0,2.28652048
0.00076,0.00038,22.8983366,0.08,0,2.4871347
0.00084,0.00042,24.168337,0.16,0,2.65569592
0.00092,0.00046,25.4383373,0.08,0,6.59657288
0.001,0.0005,26.7083377,0.08,0,6.78135037
0.00108,0.00054,27.9784769,0.08,0,6.9915731
0.00116,0.00058,29.2401132,0.08,0,7.21580482
0.00124,0.00062,30.4891322,0.08,0,7.43172789
0.00132,0.00066,31.7333224,0.16,0,7.64051318
0.0014,0.0007,32.9534837,0.08,0,12.0160897
0.00148,0.00074,34.1702081,0.08,0,12.297236
0.00156,0.00078,35.3786452,0.08,0,12.5179346
0.00164,0.00082,36.5525438,0.08,0,13.2219205
0.00172,0.00086,37.6205194,0.08,0,13.5315466
0.0018,0.0009,38.5355174,0.16,0,13.8307717
0.00188,0.00094,39.3836416,0.08,0,17.8172982
0.00192,0.00096,39.7853332,0.04,0,21.7184806
0.00196,0.00098,40.1651351,0.04,0,21.9155436
0.002,0.001,40.5363603,0.04,0,22.0775964
0.00204,0.00102,40.901541,0.04,0,22.2621963
0.00208,0.00104,41.2536688,0.04,0,22.45716
0.00212,0.00106,41.5940566,0.08,0,22.64274
0.0022,0.0011,42.2534998,0.08,0,22.9043264
0.00228,0.00114,42.8653773,0.08,0,23.1385281
0.00236,0.00118,43.4516368,0.08,0,23.4120073
0.00244,0.00122,44.0205306,0.08,0,23.6547086
0.00252,0.00126,44.5645759,0.08,0,23.933377
0.0026,0.0013,45.0923547,0.16,0,24.1920042
0.00268,0.00134,45.6120715,0.08,0,28.3263578
0.00276,0.00138,46.1034133,0.08,0,28.6325948
0.00284,0.00142,46.5853624,0.08,0,28.9024332
0.00292,0.00146,47.0630333,0.08,0,29.1137185
0.003,0.0015,47.5383397,0.08,0,29.3663595
0.00308,0.00154,48.0109133,0.16,0,29.6766295
0.00316,0.00158,48.4669719,0.08,0,33.7883985
0.00324,0.00162,48.9081801,0.08,0,34.2121608
0.00332,0.00166,49.3445001,0.08,0,34.5448737
0.0034,0.0017,49.7731624,0.08,0,35.0215242
0.00348,0.00174,50.1936025,0.08,0,35.7689743
0.00356,0.00178,50.6074808,0.16,0,36.5459542
0.00364,0.00182,50.9982324,0.08,0,41.3176584
0.00372,0.00186,51.3726548,0.08,0,41.8350596
0.0038,0.0019,51.7430179,0.08,0,42.6130877
0.00388,0.00194,52.1171737,0.08,0,43.0363646
0.00396,0.00198,52.4887094,0.08,0,43.5260475
0.00404,0.00202,52.8553323,0.16,0,44.0063903
0.00412,0.00206,53.2186866,0.08,0,48.1384799
0.0042,0.0021,53.577116,0.08,0,48.4782152
0.00428,0.00214,53.9297554,0.08,0,49.280695
0.00436,0.00218,54.2768691,0.08,0,49.6263194
0.00444,0.00222,54.6182984,0.08,0,50.7049429
0.00452,0.00226,54.958443,0.16,1,53.2721236
0.0046,0.0023,55.2788769,0.08,0,57.8501728
0.00468,0.00234,55.6023876,0.08,0,58.6374111
0.00476,0.00238,55.9247178,0.08,0,59.0935977
0.00484,0.00242,56.2495197,0.08,0,59.9097533
0.00492,0.00246,56.5748135,0.08,0,60.7504098
0.005,0.0025,56.9000561,0.16,0,61.6850069
0.00508,0.00254,57.2429857,0.08,1,68.4264829
0.00516,0.00258,57.5577568,0.08,0,69.1349299
0.00524,0.00262,57.8711182,0.08,0,69.9093773
0.00532,0.00266,58.238474,0.08,1,72.383265
0.0054,0.0027,58.6809701,0.08,1,74.7082229
0.00548,0.00274,58.9511581,0.16,0,75.4755094
0.00556,0.00278,59.2660771,0.08,0,80.1098747
0.00564,0.00282,59.582009,0.08,0,80.951093
0.00572,0.00286,59.8950516,0.08,0,82.0469322
0.0058,0.0029,60.2083505,0.08,0,82.7307849
0.00588,0.00294,60.5588738,0.08,0,83.0852568
0.00596,0.00298,60.896916,0.16,0,83.8631649
0.00604,0.00302,61.2219331,0.08,0,88.1597204
0.00612,0.00306,61.5340114,0.08,0,88.5052667
0.0062,0.0031,61.8356186,0.08,0,88.8528759
0.00628,0.00314,62.1315508,0.08,0,89.2043197
0.00636,0.00318,62.4219282,0.08,0,89.5600569
0.00644,0.00322,62.7049698,0.16,0,89.9852531
0.00652,0.00326,62.9803111,0.08,0,94.2219524
0.0066,0.0033,63.2506763,0.08,0,94.6526589
0.00668,0.00334,63.5168613,0.08,0,95.3710659
0.00676,0.00338,63.7817065,0.08,0,95.8463762
0.00684,0.00342,64.0419502,0.08,0,96.263628
0.00692,0.00346,64.2994831,0.16,0,97.0901611
0.007,0.0035,64.5502472,0.08,0,101.265949
0.00708,0.00354,64.797145,0.08,0,101.756193
0.00716,0.00358,65.0443759,0.08,0,102.564005
0.00724,0.00362,65.2913834,0.08,0,103.33695
0.00732,0.00366,65.5364097,0.08,0,104.119776
0.0074,0.0037,65.7825903,0.16,0,104.875234
0.00748,0.00374,66.0296711,0.08,0,109.166387
0.00756,0.00378,66.2776793,0.08,0,109.927436
0.00764,0.00382,66.5231667,0.08,0,110.803969
0.00772,0.00386,66.7673527,0.08,0,111.72648
0.0078,0.0039,67.0103727,0.08,0,112.64459
0.00788,0.00394,67.2518863,0.16,0,113.428174
0.00796,0.00398,67.4899124,0.08,0,118.334033
0.00804,0.00402,67.7269475,0.08,0,119.150584
0.00812,0.00406,67.9636931,0.08,0,119.920065
0.0082,0.0041,68.196147,0.08,0,120.74946
0.00828,0.00414,68.4249149,0.08,0,121.639808
0.00836,0.00418,68.6515693,0.16,0,122.505819
0.00844,0.00422,68.876014,0.08,0,127.426618
0.00852,0.00426,69.0998776,0.08,0,128.429726
0.0086,0.0043,69.3172447,0.08,0,129.534921
0.00868,0.00434,69.6511002,0.08,1,132.810235
0.00876,0.00438,69.9166072,0.08,1,135.223146
0.00884,0.00442,70.1807888,0.16,1,138.753381
0.00892,0.00446,70.4021983,0.08,1,146.077088
0.00896,0.00448,70.4548049,0.04,0,151.231462
0.009,0.0045,70.5216797,0.04,0,152.214328
0.00904,0.00452,70.5919267,0.04,0,152.991644
0.00908,0.00454,70.6680062,0.04,0,153.666631
0.00912,0.00456,70.7493849,0.04,0,154.475996
0.00916,0.00458,70.8234865,0.08,0,155.522047
0.00924,0.00462,71.0383749,0.08,1,158.470312
0.00932,0.00466,71.3184977,0.08,1,161.851533
0.0094,0.0047,71.5305108,0.08,1,165.503854
0.00944,0.00472,71.5215279,0.04,1,172.298512
0.00948,0.00474,71.6347764,0.04,0,172.690154
0.00952,0.00476,71.7254816,0.04,0,173.083105
0.00956,0.00478,71.8132767,0.04,0,173.423428
0.0096,0.0048,71.9052215,0.04,0,173.786563
0.00964,0.00482,72.0012478,0.08,0,174.109404
0.00968,0.00484,72.1023458,0.04,0,178.568419
0.00972,0.00486,72.2067144,0.04,0,178.890893
0.00976,0.00488,72.3101513,0.04,0,179.608556
0.0098,0.0049,72.4275429,0.04,0,179.97918
0.00984,0.00492,72.5618076,0.04,0,180.278953
0.00988,0.00494,72.6837714,0.08,0,180.664591
0.00996,0.00498,72.9807433,0.08,0,181.534622
0.01004,0.00502,73.3367315,0.08,0,182.38632
0.01012,0.00506,73.6713193,0.08,0,183.160844
0.0102,0.0051,73.9850644,0.08,0,183.954888
0.01028,0.00514,74.2776354,0.08,0,184.407492
0.01036,0.00518,74.5514132,0.16,0,185.186441
0.01044,0.00522,74.8041578,0.08,0,189.48466
0.01052,0.00526,75.0423212,0.08,0,190.246773
0.0106,0.0053,75.2697706,0.08,0,191.025314
0.01068,0.00534,75.4864077,0.08,0,191.832607
