s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,18.3063204,0.2,0,0.0361485481
0.0004,0.0002,21.6126407,0.2,0,0.0805780888
0.0006,0.0003,24.9189611,0.2,0,0.119128227
0.0008,0.0004,28.2252815,0.2,0,0.171685219
0.001,0.0005,31.5316019,0.2,0,0.211703777
0.0012,0.0006,34.8379222,0.4,0,0.286236286
0.0016,0.0008,41.2910022,0.4,0,0.348578453
0.002,0.001,47.0783665,0.4,0,0.452521563
0.0024,0.0012,51.8530639,0.4,0,0.563287973
0.0028,0.0014,56.0435173,0.4,0,0.682059288
0.0032,0.0016,59.4093861,0.4,0,0.849150658
0.0036,0.0018,62.3630863,0.8,0,1.00357914
0.0044,0.0022,67.592899,0.8,0,1.19743896
0.0052,0.0026,72.0198553,0.8,0,1.38736749
0.006,0.003,76.0519969,0.8,0,1.63111472
0.0068,0.0034,79.8146834,0.8,0,1.9033339
0.0076,0.0038,83.275915,0.8,0,2.18916655
0.0084,0.0042,86.5729359,1,0,2.43183255
0.0094,0.0047,90.3416514,1,0,3.12256026
0.0104,0.0052,93.8430586,1,0,4.21159935
0.0114,0.0057,97.1635002,1,0,5.88655519
0.0124,0.0062,100.338284,1,0,7.04315948
0.0134,0.0067,103.319413,1,0,8.10573173
0.0144,0.0072,106.061607,1,0,9.1738596
0.0154,0.0077,108.631536,1,0,10.2801359
0.0164,0.0082,111.062964,1,0,11.4093008
0.0174,0.0087,113.335062,1,0,12.4667835
0.0184,0.0092,115.464147,1,0,13.6207523
0.0194,0.0097,117.462981,1,0,15.1627736
0.0204,0.0102,119.347013,1,1,18.0266159
0.0214,0.0107,121.148793,1,1,20.6549933
0.0224,0.0112,122.862301,1,1,23.1265593
