# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 5 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0004,28.2252815,0.00155085562,6045.19875,0.00155085562,1600,0,1600,0,0,0,0,0.352985417,0,-47.1147868,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.001,47.0783677,0.00155004446,6052.49955,0.00154880733,1600,0,1560,40,0,0,0,-0.0416608916,38,-76.7836014,4.7179141e-08,0,119,8,-0.0416608916,1.5,-1.5,119,6,-0.0416606897,1.5,-1.5,89,4,-0.0416097581,-1.5,-1.5,89,2,-0.0416096258,-1.5,-1.5,120,6,-0.0311265378,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0018,62.3630772,0.00154969795,6058.7677,0.00154660152,1600,0,1546,54,0,0,0,-0.0593135003,44,-101.918087,2.35953528e-09,0,87,2,-0.0593135003,-1.5,-3.5,87,4,-0.0593134798,-1.5,-3.5,86,4,-0.047846053,-1.5,-4.64451687,86,2,-0.0478460522,-1.5,-4.64451687,87,8,-0.0413994947,-1.5,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0034,79.8151129,0.00152544847,6184.15366,0.000876161743,1600,0,1417,183,0,0,0,-0.0657848808,158,-131.820196,6.95208678e-08,0,116,6,-0.0657848808,1.5,-4.64451687,116,8,-0.0657848758,1.5,-4.64451687,86,4,-0.0650765011,-1.5,-4.64451687,86,2,-0.0650764888,-1.5,-4.64451687,85,4,-0.06445008,-1.5,-6.11983775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0052,93.8428501,0.00153416372,6124.59734,0.00145611307,1600,0,1506,94,0,0,0,-0.060764747,84,-155.539581,2.71611303e-08,0,100,5,-0.060764747,-0.5,-0.5,100,7,-0.0607644717,-0.5,-0.5,110,1,-0.0596415129,0.5,-0.5,110,3,-0.05964135,0.5,-0.5,79,5,-0.0579703596,-2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0072,106.061735,0.00137417889,6909.32597,-0.0297913573,1600,0,1245,355,0,0,0,-0.0654009309,340,-176.779911,2.21061512e-08,0,86,3,-0.0654009309,-1.5,-4.64451687,86,1,-0.0654009267,-1.5,-4.64451687,124,6,-0.0650495133,2.63853418,-8.02157615,124,8,-0.0650495117,2.63853418,-8.02157615,74,4,-0.0642596137,-2.63853418,-8.02157615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0092,115.464517,0.00150276224,6257.89274,0.00142465078,1600,0,1484,116,0,0,0,-0.0681540392,96,-194.225187,8.36572825e-08,0,79,6,-0.0681540392,-2.63853418,-1.5,79,8,-0.0681528405,-2.63853418,-1.5,129,2,-0.0675229409,2.63853418,-1.5,129,4,-0.0675219566,2.63853418,-1.5,68,5,-0.0572335329,-4.09252017,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0112,122.863015,0.00146642737,6477.23798,-0.0137432169,1600,0,1343,257,0,0,0,-0.0630304532,225,-208.378815,8.82933215e-07,0,73,4,-0.0630304532,-2.63853418,-10.4729811,73,2,-0.0630303965,-2.63853418,-10.4729811,74,4,-0.0628377712,-2.63853418,-8.02157615,74,2,-0.0628377163,-2.63853418,-8.02157615,74,3,-0.0609976679,-2.63853418,-8.02157615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0117,124.489857,0.00144780063,6527.18712,-0.00923151044,1600,0,1382,218,0,0,0,-0.0703313477,204,-211.549717,8.21783315e-07,0,68,7,-0.0703313477,-4.09252017,-2.5,68,5,-0.070330933,-4.09252017,-2.5,138,1,-0.06972775,4.09252017,-2.5,138,3,-0.0697277007,4.09252017,-2.5,116,6,-0.0636762822,1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0132,128.871036,0.00145679581,6512.50528,-0.00878795901,1600,0,1373,227,0,0,0,-0.061811379,193,-220.195736,7.2795643e-07,0,125,7,-0.061811379,2.63853418,-6.11983775,125,5,-0.0618112778,2.63853418,-6.11983775,75,3,-0.0614228422,-2.63853418,-6.11983775,75,1,-0.0614226426,-2.63853418,-6.11983775,137,1,-0.0611224779,4.09252017,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
