# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 10 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0004,28.2252815,0.00155085562,6045.19875,0.00155085562,1600,0,1600,0,0,0,0,0.352985417,0,-47.1147868,0,0,1,1,0.352985417,-26.4626081,-17.706199,1,2,0.352985417,-26.4626081,-17.706199,1,3,0.352985417,-26.4626081,-17.706199,1,4,0.352985417,-26.4626081,-17.706199,1,5,0.352985417,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.001,47.9272082,0.00155026168,6048.33258,0.00155008737,1600,0,1592,8,0,0,0,-0.0283991747,8,-78.2920948,4.89129318e-09,0,119,2,-0.0283991747,1.5,-1.5,119,4,-0.0283991735,1.5,-1.5,89,6,-0.0276186241,-1.5,-1.5,89,8,-0.0276186129,-1.5,-1.5,120,4,-0.0085207791,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0018,68.1386405,0.00155080181,6054.27594,0.0015473619,1600,0,1528,72,0,0,0,-0.0584729675,58,-110.038224,2.79543221e-09,0,88,1,-0.0584729675,-1.5,-2.5,88,3,-0.0584729246,-1.5,-2.5,89,1,-0.0569269428,-1.5,-1.5,118,8,-0.0561540821,1.5,-2.5,118,6,-0.0561539755,1.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0034,89.3061863,0.0015256564,6163.51239,-0.00643243973,1600,0,1456,144,0,0,0,-0.0650285689,142,-146.2586,2.00155853e-08,0,117,7,-0.0650285689,1.5,-3.5,117,5,-0.065028528,1.5,-3.5,87,3,-0.0640638701,-1.5,-3.5,87,1,-0.0640638421,-1.5,-3.5,86,4,-0.061133529,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0052,105.602808,0.0014944974,6298.12702,-0.0154847776,1600,0,1423,177,0,0,0,-0.0645880935,176,-173.812202,6.59774771e-08,0,116,8,-0.0645880935,1.5,-4.64451687,116,6,-0.0645880727,1.5,-4.64451687,86,4,-0.064045909,-1.5,-4.64451687,86,2,-0.064045859,-1.5,-4.64451687,116,5,-0.0627579781,1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0072,119.570131,0.00149075866,6313.61046,-0.014076192,1600,0,1422,178,0,0,0,-0.0652815335,178,-197.474701,3.13701843e-08,0,116,6,-0.0652815335,1.5,-4.64451687,116,8,-0.0652815335,1.5,-4.64451687,86,4,-0.0643224852,-1.5,-4.64451687,86,2,-0.0643224754,-1.5,-4.64451687,86,3,-0.0641730034,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0092,131.048962,0.00146094693,6483.28619,-0.0177934204,1600,0,1372,228,0,0,0,-0.0652696124,207,-217.899869,1.32176262e-07,0,124,6,-0.0652696124,2.63853418,-8.02157615,124,8,-0.065269603,2.63853418,-8.02157615,74,4,-0.0645127212,-2.63853418,-8.02157615,74,2,-0.0645127186,-2.63853418,-8.02157615,129,2,-0.063682956,2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0112,140.17657,0.00146556956,6457.61299,-0.0061006457,1600,0,1408,192,0,0,0,-0.0681456954,168,-235.006684,8.17691724e-08,0,79,6,-0.0681456954,-2.63853418,-1.5,79,8,-0.0681453995,-2.63853418,-1.5,129,4,-0.0675276652,2.63853418,-1.5,129,2,-0.0675274425,2.63853418,-1.5,74,2,-0.06440873,-2.63853418,-8.02157615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0117,142.165311,0.00146455255,6438.02831,-0.011072601,1600,0,1375,225,0,0,0,-0.067697352,223,-238.781679,4.02555132e-08,0,79,8,-0.067697352,-2.63853418,-1.5,79,6,-0.0676969233,-2.63853418,-1.5,117,5,-0.0669688855,1.5,-3.5,117,7,-0.0669688823,1.5,-3.5,87,3,-0.0663020188,-1.5,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0132,147.629238,0.00147678087,6374.77778,0.000280652173,1600,0,1456,144,0,0,0,-0.0686385997,128,-249.372323,6.64746865e-08,0,68,7,-0.0686385997,-4.09252017,-2.5,68,5,-0.0686385744,-4.09252017,-2.5,138,1,-0.0680193835,4.09252017,-2.5,138,3,-0.0680193697,4.09252017,-2.5,79,8,-0.065660056,-2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0152,153.880672,0.00119958841,7976.4354,-0.0345388862,1600,0,1115,485,0,0,0,-0.0712803244,447,-261.665827,6.5775679e-08,0,138,3,-0.0712803244,4.09252017,-2.5,138,1,-0.0712803061,4.09252017,-2.5,79,5,-0.0689164807,-2.63853418,-1.5,79,7,-0.0689164663,-2.63853418,-1.5,129,3,-0.0686798997,2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0172,159.068673,0.00145113107,6496.32417,0.000387121435,1600,0,1443,157,0,0,0,-0.0720071111,142,-272.065557,1.16030127e-07,0,129,1,-0.0720071111,2.63853418,-1.5,68,7,-0.0717993378,-4.09252017,-2.5,68,5,-0.0717992817,-4.09252017,-2.5,138,1,-0.071241528,4.09252017,-2.5,138,3,-0.0712414773,4.09252017,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0192,163.615477,0.0013630573,6916.13653,-0.0085726078,1600,0,1423,177,0,0,0,-0.0739698154,161,-281.313937,1.02175476e-06,0,129,3,-0.0739698154,2.63853418,-1.5,129,1,-0.0739692009,2.63853418,-1.5,138,3,-0.0699581444,4.09252017,-2.5,138,1,-0.0699580507,4.09252017,-2.5,129,7,-0.0669304433,2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0212,167.68168,0.00136695466,6971.41811,-0.0155444491,1600,0,1259,341,0,0,0,-0.069005336,291,-289.462064,7.56536463e-07,0,68,7,-0.069005336,-4.09252017,-2.5,68,5,-0.0690051323,-4.09252017,-2.5,138,1,-0.0684673809,4.09252017,-2.5,138,3,-0.0684670633,4.09252017,-2.5,78,3,-0.066636074,-2.63853418,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0232,171.151209,0.00151678711,6229.56884,-0.0111528961,1600,0,1444,156,0,0,0,-0.0681715256,120,-296.394722,1.32674042e-06,0,68,5,-0.0681715256,-4.09252017,-2.5,68,7,-0.0681711033,-4.09252017,-2.5,138,3,-0.067642365,4.09252017,-2.5,138,1,-0.0676418364,4.09252017,-2.5,128,5,-0.0659791371,2.63853418,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
