# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 10 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0004,28.2252815,0.00155085562,6045.19875,0.00155085562,1600,0,1600,0,0,0,0,1.375,0,-47.1147868,0,0,1,1,1.375,-26.4626081,-17.706199,1,2,1.375,-26.4626081,-17.706199,1,3,1.375,-26.4626081,-17.706199,1,4,1.375,-26.4626081,-17.706199,1,5,1.375,-26.4626081,-17.706199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.001,47.0784172,0.00154919599,6057.29603,0.00154642934,1600,0,1546,54,0,0,0,-0.0516426037,16,-76.7836647,4.30332499e-08,0,120,6,-0.0516426037,1.5,-0.5,120,8,-0.0516426002,1.5,-0.5,90,4,-0.0456559674,-1.5,-0.5,90,2,-0.0456559377,-1.5,-0.5,119,8,-0.0328963516,1.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0018,62.3634042,0.00154176137,6096.83391,-0.00107682396,1600,0,1502,98,0,0,0,-0.0618633592,52,-101.918412,1.34307947e-08,0,119,7,-0.0618633592,1.5,-1.5,119,5,-0.0618631093,1.5,-1.5,120,6,-0.0596829899,1.5,-0.5,120,8,-0.0596828922,1.5,-0.5,89,1,-0.05959531,-1.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0034,79.8151977,0.00154491204,6075.7648,-0.000997261535,1600,0,1543,57,0,0,0,-0.0606257532,43,-131.820465,6.39861438e-08,0,120,8,-0.0606257532,1.5,-0.5,120,6,-0.0606255925,1.5,-0.5,120,5,-0.0593840815,1.5,-0.5,120,7,-0.059384079,1.5,-0.5,90,4,-0.0446356394,-1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0052,93.8431693,0.00148665649,6363.60159,-0.00506607053,1600,0,1357,243,0,0,0,-0.0792625422,200,-155.538871,1.00936638e-09,0,110,1,-0.0792625422,0.5,-0.5,110,3,-0.0792625205,0.5,-0.5,100,7,-0.0769279673,-0.5,-0.5,100,5,-0.0769279591,-0.5,-0.5,119,5,-0.0717680575,1.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0072,106.061896,0.00152665533,6154.33169,-0.00477247302,1600,0,1510,90,0,0,0,-0.0790483632,58,-176.779229,3.82729407e-08,0,110,3,-0.0790483632,0.5,-0.5,110,1,-0.0790483445,0.5,-0.5,100,7,-0.0768544934,-0.5,-0.5,100,5,-0.0768544445,-0.5,-0.5,120,7,-0.0754810366,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0092,115.465693,0.00153447733,6125.22674,-0.00629970622,1600,0,1521,79,0,0,0,-0.0788954439,53,-194.22432,4.99555945e-08,0,120,7,-0.0788954439,1.5,-0.5,120,5,-0.0788949342,1.5,-0.5,90,3,-0.078844709,-1.5,-0.5,90,1,-0.0788445175,-1.5,-0.5,120,8,-0.0771025436,1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0112,122.85749,0.00153316487,6126.35189,-0.00772447099,1600,0,1530,70,0,0,0,-0.079239108,44,-208.387541,1.34808966e-07,0,120,8,-0.079239108,1.5,-0.5,120,6,-0.0792378967,1.5,-0.5,90,4,-0.0791863056,-1.5,-0.5,90,2,-0.0791857008,-1.5,-0.5,90,3,-0.075728042,-1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0117,124.478021,0.00149914664,6290.6216,-0.00798636628,1600,0,1468,132,0,0,0,-0.0793937789,56,-211.547032,4.09027728e-08,0,120,8,-0.0793937789,1.5,-0.5,120,6,-0.0793937484,1.5,-0.5,90,2,-0.0793318572,-1.5,-0.5,90,4,-0.0793311817,-1.5,-0.5,130,1,-0.0743487231,2.63853418,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0132,128.85946,0.00151207142,6252.60057,-0.008639387,1600,0,1441,159,0,0,0,-0.0792280471,100,-220.200335,6.05662062e-08,0,120,8,-0.0792280471,1.5,-0.5,120,6,-0.0792270481,1.5,-0.5,90,4,-0.079191443,-1.5,-0.5,90,2,-0.0791910727,-1.5,-0.5,130,3,-0.0747081362,2.63853418,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0152,133.76291,0.00153148497,6135.83978,-0.00946969477,1600,0,1534,66,0,0,0,-0.0782207664,42,-230.0435,8.24789223e-08,0,120,8,-0.0782207664,1.5,-0.5,120,6,-0.0782183927,1.5,-0.5,90,2,-0.0781985047,-1.5,-0.5,90,4,-0.078198335,-1.5,-0.5,130,3,-0.073499154,2.63853418,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0172,138.046451,0.001498354,6302.57866,-0.0110611008,1600,0,1450,150,0,0,0,-0.0764185795,88,-238.689304,1.10018927e-07,0,120,6,-0.0764185795,1.5,-0.5,90,2,-0.0764182658,-1.5,-0.5,120,8,-0.0764182162,1.5,-0.5,90,4,-0.0764161871,-1.5,-0.5,130,1,-0.0745620622,2.63853418,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0192,141.639825,0.00147943173,6394.44295,-0.0108223565,1600,0,1411,189,0,0,0,-0.0778170794,133,-245.91869,1.39857828e-10,0,69,8,-0.0778170794,-4.09252017,-1.5,69,6,-0.0778170788,-4.09252017,-1.5,118,7,-0.0770232214,1.5,-2.5,118,5,-0.0770232199,1.5,-2.5,130,3,-0.075602135,2.63853418,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0212,144.402283,0.00145188454,6549.48523,-0.0113456517,1600,0,1344,256,0,0,0,-0.0790859342,155,-251.422851,1.35619376e-10,0,69,6,-0.0790859342,-4.09252017,-1.5,69,8,-0.0790859337,-4.09252017,-1.5,130,3,-0.0757136558,2.63853418,-0.5,130,1,-0.0757136496,2.63853418,-0.5,88,3,-0.0739232476,-1.5,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0232,146.472453,0.00126466446,7510.09691,-0.0117387344,1600,0,1289,311,0,0,0,-0.0786095195,230,-255.524375,7.69216086e-11,0,69,8,-0.0786095195,-4.09252017,-1.5,69,6,-0.0786095184,-4.09252017,-1.5,130,3,-0.0761512243,2.63853418,-0.5,130,1,-0.0761512239,2.63853418,-0.5,79,7,-0.0757169822,-2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0252,147.786841,0.00143818829,6589.89919,-0.0135255719,1600,0,1377,223,0,0,0,-0.0757486608,140,-257.99147,1.46056864e-07,0,130,3,-0.0757486608,2.63853418,-0.5,130,1,-0.0757481832,2.63853418,-0.5,99,4,-0.0756577566,-0.5,-1.5,99,2,-0.0756576388,-0.5,-1.5,79,5,-0.0753341716,-2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0272,148.534594,0.00146307708,6469.60795,-0.0106972869,1600,0,1397,203,0,0,0,-0.076494231,121,-259.392359,1.82175497e-10,0,99,4,-0.076494231,-0.5,-1.5,99,2,-0.0764942293,-0.5,-1.5,130,1,-0.0752729338,2.63853418,-0.5,130,3,-0.0752729302,2.63853418,-0.5,79,7,-0.0748660675,-2.63853418,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
