s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,18.3063204,0.2,0,0.0520255566
0.0004,0.0002,21.6126407,0.2,0,0.0906636715
0.0006,0.0003,24.9189611,0.2,0,0.163188219
0.0008,0.0004,28.2252815,0.2,0,0.211296558
0.001,0.0005,31.5316019,0.2,0,0.252336264
0.0012,0.0006,34.8379222,0.4,0,0.290360451
0.0016,0.0008,41.2910022,0.4,0,0.359682322
0.002,0.001,47.0783665,0.4,0,0.44400692
0.0024,0.0012,51.8530639,0.4,0,0.545613527
0.0028,0.0014,56.0435173,0.4,0,0.645677805
0.0032,0.0016,59.4093861,0.4,0,0.777648926
0.0036,0.0018,62.3630863,0.8,0,0.920571804
0.0044,0.0022,67.592899,0.8,0,1.23433471
0.0052,0.0026,72.0198553,0.8,0,1.42411613
0.006,0.003,76.0519969,0.8,0,1.65124702
0.0068,0.0034,79.8146834,0.8,0,1.87442636
0.0076,0.0038,83.275915,0.8,0,2.08562088
0.0084,0.0042,86.5729359,1,0,2.26221228
0.0094,0.0047,90.3416514,1,0,2.80731654
0.0104,0.0052,93.8430586,1,0,3.81183004
0.0114,0.0057,97.1635002,1,0,4.93131876
0.0124,0.0062,100.338284,1,0,6.00015879
0.0134,0.0067,103.319413,1,0,7.11430883
0.0144,0.0072,106.061607,1,0,8.1924119
0.0154,0.0077,108.631536,1,0,9.48665762
0.0164,0.0082,111.063065,1,0,11.522567
0.0174,0.0087,113.33443,1,0,12.5330222
0.0184,0.0092,115.464438,1,0,13.8215737
0.0194,0.0097,117.460025,1,0,15.0652754
0.0204,0.0102,119.347356,1,1,17.8425424
0.0214,0.0107,121.150497,1,1,20.2321465
0.0224,0.0112,122.86365,1,1,22.5540259
0.0234,0.0117,124.482546,1,1,24.9899588
0.0244,0.0122,126.015786,1,1,27.3562427
0.0254,0.0127,127.482173,1,1,29.7336318
0.0264,0.0132,128.868655,1,1,32.1572433
0.0274,0.0137,130.171801,1,1,34.9090948
0.0284,0.0142,131.421604,1,1,37.6891441
0.0294,0.0147,132.615339,1,1,39.9214315
0.0304,0.0152,133.773158,1,1,42.1206107
0.0314,0.0157,134.907185,1,1,44.4639666
0.0324,0.0162,136.002878,1,1,47.0207236
0.0334,0.0167,137.068743,1,1,49.6473103
0.0344,0.0172,138.071278,1,1,52.2523539
0.0354,0.0177,139.031336,1,1,55.119024
0.0364,0.0182,139.96698,1,1,58.1423097
0.0374,0.0187,140.855467,1,1,60.6129904
