s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,15.7240738,0.2,0,0.0465271473
0.0004,0.0002,18.9481476,0.2,0,0.0880534649
0.0006,0.0003,22.1722214,0.2,0,0.129391432
0.0008,0.0004,25.3962952,0.2,0,0.177430391
0.001,0.0005,28.6119792,0.2,0,0.243927479
0.0012,0.0006,31.8037247,0.4,0,0.311017513
0.0016,0.0008,38.0833288,0.4,0,0.403508425
0.002,0.001,43.5083528,0.4,0,0.521165133
0.0024,0.0012,47.4530265,0.4,0,0.643340826
0.0028,0.0014,50.6297072,0.4,0,0.796448469
0.0032,0.0016,53.3398663,0.4,0,0.943125248
0.0036,0.0018,55.7825652,0.8,0,1.11893725
0.004,0.002,57.9543963,0.4,0,6.95067596
0.0044,0.0022,59.9135298,0.4,0,7.28920174
0.0048,0.0024,61.7788642,0.4,0,7.673388
0.0052,0.0026,63.5926823,0.4,0,8.1437757
0.0056,0.0028,65.3126014,0.4,0,8.56916761
0.006,0.003,66.9888572,0.8,0,8.91760325
0.0068,0.0034,70.3644363,0.8,1,13.8737128
0.0076,0.0038,73.7370501,0.8,1,19.1641717
0.0084,0.0042,76.7420888,0.8,1,23.969981
0.0092,0.0046,79.4543213,0.8,1,28.6288097
0.01,0.005,81.9471421,0.8,1,33.3555901
0.0108,0.0054,84.3172125,1,1,38.264879
0.0113,0.00565,85.7732054,0.5,0,45.2860587
0.0118,0.0059,87.198149,0.5,0,45.8032544
0.0123,0.00615,88.5775047,0.5,0,46.4013741
0.0128,0.0064,89.9017632,0.5,0,47.0382304
0.0133,0.00665,91.1767195,0.5,0,47.6882946
0.0138,0.0069,92.4073498,1,0,48.3650548
0.0143,0.00715,93.6091121,0.5,0,55.3592768
0.0148,0.0074,94.7854717,0.5,0,56.0393305
0.0153,0.00765,95.9447253,0.5,0,56.6751738
0.0158,0.0079,97.0885982,0.5,0,57.4692051
0.0163,0.00815,98.2189993,0.5,0,58.0668309
0.0168,0.0084,99.3284702,1,0,58.7131867
0.0178,0.0089,101.417798,1,1,63.5523343
0.0183,0.00915,102.48071,0.5,0,70.511935
0.0188,0.0094,103.487938,0.5,0,71.1411383
0.0193,0.00965,104.47408,0.5,0,71.7529879
0.0198,0.0099,105.434798,0.5,0,72.4685485
0.0203,0.01015,106.374599,0.5,0,73.1873052
0.0208,0.0104,107.295859,1,0,73.8692825
0.0213,0.01065,108.201759,0.5,0,82.2031386
0.0218,0.0109,109.080029,0.5,0,84.0220218
0.0223,0.01115,109.933806,0.5,0,85.768523
0.0228,0.0114,110.765886,0.5,0,87.8003316
0.0233,0.01165,111.581748,0.5,0,89.6020684
0.0238,0.0119,112.381747,1,0,91.3676291
0.0243,0.01215,113.165483,0.5,0,99.2992909
0.0248,0.0124,113.935118,0.5,0,101.160211
0.0253,0.01265,114.688418,0.5,0,103.022052
0.0258,0.0129,115.426266,0.5,0,104.917524
0.0263,0.01315,116.147365,0.5,0,106.820531
0.0268,0.0134,116.854885,1,0,108.692365
0.0273,0.01365,117.54871,0.5,0,116.606475
0.0278,0.0139,118.230844,0.5,0,118.580757
0.0283,0.01415,118.899862,0.5,0,120.542782
0.0288,0.0144,119.558161,0.5,0,122.429662
0.0293,0.01465,120.203909,0.5,0,124.431448
0.0298,0.0149,120.838157,1,0,126.409051
0.0308,0.0154,122.058032,1,1,130.880621
0.0313,0.01565,122.666957,0.5,0,138.555503
0.0318,0.0159,123.254116,0.5,0,140.44948
0.0323,0.01615,123.825419,0.5,0,142.438487
0.0328,0.0164,124.383229,0.5,0,144.500635
0.0333,0.01665,124.928605,0.5,0,146.509861
0.0338,0.0169,125.463815,1,0,148.42867
0.0343,0.01715,125.986601,0.5,0,156.973598
0.0348,0.0174,126.50049,0.5,0,159.038675
0.0353,0.01765,127.008174,0.5,0,161.07761
0.0358,0.0179,127.508619,0.5,0,163.15625
0.0363,0.01815,127.9974,0.5,0,165.166802
0.0368,0.0184,128.47377,1,0,167.163047
0.0373,0.01865,128.938355,0.5,0,175.599278
0.0378,0.0189,129.394848,0.5,0,177.735153
0.0383,0.01915,129.841974,0.5,0,179.998582
0.0388,0.0194,130.275634,0.5,0,182.27808
0.0393,0.01965,130.696445,0.5,0,184.579635
0.0398,0.0199,131.109393,1,0,187.722041
0.0403,0.02015,131.489007,0.5,1,214.024694
0.0408,0.0204,131.902992,0.5,0,219.517351
0.0413,0.02065,132.288109,0.5,1,230.94806
0.0418,0.0209,132.637743,0.5,1,240.153973
0.0423,0.02115,133.021904,0.5,1,246.517044
0.0428,0.0214,133.339201,1,1,251.369649
0.0433,0.02165,133.731608,0.5,1,263.282068
0.0438,0.0219,134.077981,0.5,1,267.457504
0.0443,0.02215,134.415083,0.5,1,271.401757
0.04455,0.022275,134.575366,0.25,0,277.835253
0.0448,0.0224,134.729194,0.25,0,278.084299
0.04505,0.022525,134.871381,0.25,0,278.368209
0.0453,0.02265,135.008523,0.25,0,278.605975
0.04555,0.022775,135.143686,0.25,0,278.895748
0.0458,0.0229,135.276292,0.5,0,279.180837
0.0463,0.02315,135.523675,0.5,1,284.374584
0.0468,0.0234,135.770773,0.5,1,289.578947
0.0473,0.02365,135.980391,0.5,1,294.461301
0.0478,0.0239,136.148672,0.5,1,299.348424
