s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,15.7240738,0.2,0,0.083578825
0.0004,0.0002,18.9481476,0.2,0,0.201429367
0.0006,0.0003,22.1722214,0.2,0,0.292480707
0.0008,0.0004,25.3962952,0.2,0,0.393032789
0.001,0.0005,28.6119792,0.2,0,0.569587231
0.0012,0.0006,31.8037247,0.4,0,0.711578846
0.0016,0.0008,38.0833288,0.4,0,0.904695988
0.002,0.001,43.5083528,0.4,0,1.37188029
0.0024,0.0012,47.4530265,0.4,0,1.82871795
0.0028,0.0014,50.6297072,0.4,0,2.20775867
0.0032,0.0016,53.3398663,0.4,0,2.59113383
0.0036,0.0018,55.7825652,0.8,0,3.02797031
0.004,0.002,57.9543963,0.4,0,12.7286921
0.0044,0.0022,59.9135298,0.4,0,13.0966244
0.0048,0.0024,61.7788642,0.4,0,13.4902239
0.0052,0.0026,63.5926823,0.4,0,13.9223211
0.0056,0.0028,65.3126014,0.4,0,14.3618836
0.006,0.003,66.9888572,0.8,0,14.727978
0.0068,0.0034,70.3644363,0.8,1,22.2526827
0.0076,0.0038,73.7370501,0.8,1,32.1401074
0.0084,0.0042,76.7420888,0.8,1,40.3222089
0.0092,0.0046,79.4543213,0.8,1,45.7309279
0.01,0.005,81.9471421,0.8,1,51.0854127
0.0108,0.0054,84.3172125,1,1,56.5446751
0.0113,0.00565,85.7732054,0.5,0,63.9808984
0.0118,0.0059,87.198149,0.5,0,64.4631667
0.0123,0.00615,88.5775047,0.5,0,64.9674649
0.0128,0.0064,89.9017632,0.5,0,65.5028505
0.0133,0.00665,91.1767195,0.5,0,66.1199782
0.0138,0.0069,92.4073498,1,0,66.8363502
0.0143,0.00715,93.6091121,0.5,0,73.8186836
0.0148,0.0074,94.7854717,0.5,0,74.5414574
0.0153,0.00765,95.9447253,0.5,0,75.1243501
0.0158,0.0079,97.0885982,0.5,0,75.8767321
0.0163,0.00815,98.2189993,0.5,0,76.4781847
0.0168,0.0084,99.3284702,1,0,77.1850834
0.0178,0.0089,101.417798,1,1,82.205045
0.0183,0.00915,102.48071,0.5,0,89.0869658
0.0188,0.0094,103.487938,0.5,0,89.6940413
0.0193,0.00965,104.47408,0.5,0,90.3091631
0.0198,0.0099,105.434798,0.5,0,90.9231684
0.0203,0.01015,106.374599,0.5,0,91.5786362
0.0206,0.0103,106.931449,0.6,0,91.8971529
