s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2.5e-06,1.25e-06,11.8263646,0.0025,1,22.7418163
5e-06,2.5e-06,11.8339807,0.0025,0,22.8819649
7.5e-06,3.75e-06,11.8585309,0.0025,0,23.1469388
1e-05,5e-06,11.8812856,0.0025,0,23.2802708
1.25e-05,6.25e-06,11.9027132,0.0025,0,23.3950574
1.5e-05,7.5e-06,11.9242877,0.005,0,23.4949498
2e-05,1e-05,11.9617313,0.005,0,23.8475156
2.5e-05,1.25e-05,11.998287,0.005,0,24.0657892
3e-05,1.5e-05,12.0350607,0.005,0,24.3264916
3.5e-05,1.75e-05,12.0708071,0.005,0,24.5167625
4e-05,2e-05,12.1051181,0.005,0,24.7971072
4.5e-05,2.25e-05,12.1349841,0.01,1,28.5356143
5.5e-05,2.75e-05,12.2045119,0.01,0,28.9960618
6.5e-05,3.25e-05,12.2678558,0.01,0,29.9487696
7.5e-05,3.75e-05,12.3313754,0.01,0,30.4734139
8.5e-05,4.25e-05,12.3935446,0.01,0,31.0190053
9.5e-05,4.75e-05,12.4603106,0.01,1,36.4547396
0.000105,5.25e-05,12.5270527,0.02,1,42.1356902
0.000125,6.25e-05,12.6363114,0.02,1,51.1859801
0.000145,7.25e-05,12.7540076,0.02,1,60.7203579
0.000165,8.25e-05,12.8618217,0.02,1,69.7394998
0.000185,9.25e-05,12.9762009,0.02,0,71.1260996
0.000205,0.0001025,13.0875188,0.02,0,72.5038733
0.000225,0.0001125,13.1981861,0.04,0,73.8533931
0.000265,0.0001325,13.4167264,0.04,0,76.2078891
0.000305,0.0001525,13.6308663,0.04,0,79.007313
0.000345,0.0001725,13.8426147,0.04,0,81.395308
0.000385,0.0001925,14.0499011,0.04,0,83.8608494
0.000425,0.0002125,14.2548328,0.04,0,86.2860899
0.000465,0.0002325,14.4565318,0.08,0,89.1748168
0.000545,0.0002725,14.8544333,0.08,0,90.4324939
0.000625,0.0003125,15.2454278,0.08,0,91.6211898
0.000705,0.0003525,15.6293,0.08,0,92.8299522
0.000785,0.0003925,16.0073933,0.08,0,94.1086595
0.000865,0.0004325,16.3795857,0.08,0,95.3584929
0.000945,0.0004725,16.7472375,0.16,0,96.7096107
0.001105,0.0005525,17.4694867,0.16,0,99.2370019
0.001265,0.0006325,18.1770308,0.16,0,101.815243
